,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Faux,Scythe,27,27,1.0,100%,16.63,16.63,449,3,5.54,5.54
Aveuglement,Incapacitor,27,27,1.0,100%,16.33,16.33,441,3,5.44,5.44
Armure d'Obsidienne,Obsidian Battle Plate,19,27,0.7,70%,20.0,14.07,380,2,10.0,7.04
Lame Affutée,Sharp Blade,24,27,0.89,89%,14.25,12.67,342,3,4.75,4.22
Économe Sagesse du Trésorier,Treasurer's Wisdom,20,27,0.74,74%,17.0,12.59,340,2,8.5,6.29
Faux Assoiffées,Thirsty Scythes,11,27,0.41,41%,25.0,10.19,275,3,8.33,3.4
Lame Insatiable,Fast Furious Blade,17,27,0.63,63%,16.0,10.07,272,2,8.0,5.04
Parchemin Secret,Secret Scroll,14,27,0.52,52%,18.0,9.33,252,2,9.0,4.67
Bâton de Conquête,Conquering Staff,9,27,0.33,33%,24.0,8.0,216,2,12.0,4.0
Hache Frénétique,Berseker Ax,15,27,0.56,56%,14.0,7.78,210,2,7.0,3.89
Épée Obscure,Swords of Darkness,14,27,0.52,52%,15.0,7.78,210,1,15.0,7.78
Frappe Chirurgicale,Accurate Sword,13,27,0.48,48%,16.0,7.7,208,1,16.0,7.7
Esprit de l'Écuyer,Spirit of the Squire,24,27,0.89,89%,8.0,7.11,192,3,2.67,2.37
Épées Jumelles,Twin Swords,14,27,0.52,52%,13.57,7.04,190,1,13.57,7.04
Explosion Arcanique,Arcane Explosive,15,27,0.56,56%,12.0,6.67,180,1,12.0,6.67
Chasseresse d'Âmes,Huntress of Souls,9,27,0.33,33%,19.0,6.33,171,1,19.0,6.33
Tombeau Rocheux,Rock Tomb,17,27,0.63,63%,10.0,6.3,170,1,10.0,6.3
Le Croque-mort,The Undertaker,12,27,0.44,44%,14.0,6.22,168,1,14.0,6.22
Elan de Fureur,Rampage Momentum,11,27,0.41,41%,15.0,6.11,165,2,7.5,3.06
Enchaînement Éclair,Unstoppable Lightning,9,27,0.33,33%,18.0,6.0,162,1,18.0,6.0
Couronne du Roi Nain,Crown of the Dwarf King,12,27,0.44,44%,13.0,5.78,156,0,Gratuit,Gratuit
Sabre Versatile,Versatil Saber,14,27,0.52,52%,11.0,5.7,154,1,11.0,5.7
Griffes Démoniaques,Demon Claws,9,27,0.33,33%,17.0,5.67,153,1,17.0,5.67
Triple Météore,Trimeteor,5,27,0.19,19%,30.0,5.56,150,0,Gratuit,Gratuit
Marteleur précis,Precise Hammer,8,27,0.3,30%,18.0,5.33,144,1,18.0,5.33
Danse Macabre,Dance of Death,16,27,0.59,59%,8.0,4.74,128,1,8.0,4.74
Esprit Guerrier,Spirit of the Warrior,8,27,0.3,30%,16.0,4.74,128,1,16.0,4.74
Décharge Élémentaire,Elemental Discharge,7,27,0.26,26%,18.0,4.67,126,1,18.0,4.67
Ascension Divine,Divine Ascent,4,27,0.15,15%,25.0,3.7,100,3,8.33,1.23
Épé Sainte,Holy Sword,10,27,0.37,37%,10.0,3.7,100,0,Gratuit,Gratuit
Lance Triplée,Triple Spear,5,27,0.19,19%,20.0,3.7,100,0,Gratuit,Gratuit
Masse Colossale,Colossal Mace,9,27,0.33,33%,11.0,3.67,99,0,Gratuit,Gratuit
Totem du Gardien,Guardian Totem,27,27,1.0,100%,3.63,3.63,98,3,1.21,1.21
Armure d'Immortel,Immortal Breastplate,7,27,0.26,26%,14.0,3.63,98,1,14.0,3.63
Griffes Sauvages,Wild Claw,27,27,1.0,100%,3.63,3.63,98,3,1.21,1.21
Lance Doublée,Dual Spear,11,27,0.41,41%,8.0,3.26,88,0,Gratuit,Gratuit
Glaive Vindicatif,Large Sword of Hate,4,27,0.15,15%,20.0,2.96,80,1,20.0,2.96
Soif de Sang,Thirsty Dagger,4,27,0.15,15%,15.0,2.22,60,0,Gratuit,Gratuit
Pillard Féroce,Savage Looter,3,27,0.11,11%,20.0,2.22,60,1,20.0,2.22
Coup de Mort,Death Helper,6,27,0.22,22%,10.0,2.22,60,1,10.0,2.22
Désintégrateur Magnétique,Magnetic Disintegrator,5,27,0.19,19%,11.0,2.04,55,0,Gratuit,Gratuit
Masse de Siège,Siege Mace,3,27,0.11,11%,16.0,1.78,48,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,3,27,0.11,11%,15.0,1.67,45,0,Gratuit,Gratuit
Bâton du Conquérant,Staff of Conquered Worlds,4,27,0.15,15%,11.0,1.63,44,0,Gratuit,Gratuit
Destruction Royale,Royal Destroyer,4,27,0.15,15%,11.0,1.63,44,0,Gratuit,Gratuit
Esprit omniprésent,Omnipresent Spirit,2,27,0.07,7%,18.0,1.33,36,2,9.0,0.67
Œil de Lynx,Hawk's Eye,4,27,0.15,15%,8.0,1.19,32,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,2,27,0.07,7%,15.0,1.11,30,2,7.5,0.56
Chasseur d'Âmes,Soul Hunter,2,27,0.07,7%,15.0,1.11,30,1,15.0,1.11
Adrénaline Arcanique,Arcane Adrenaline,1,27,0.04,4%,16.0,0.59,16,1,16.0,0.59
Bâton Élémentaire,Earthly Staff,1,27,0.04,4%,15.0,0.56,15,0,Gratuit,Gratuit
Force Divine,Divine Impetu,1,27,0.04,4%,11.0,0.41,11,0,Gratuit,Gratuit
