,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Faux,Scythe,226,226,1.0,100%,15.62,15.62,3531,3,5.21,5.21
Armure d'Obsidienne,Obsidian Battle Plate,128,226,0.57,57%,20.0,11.33,2560,2,10.0,5.67
Aveuglement,Incapacitor,221,226,0.98,98%,10.83,10.59,2394,3,3.61,3.53
Économe Sagesse du Trésorier,Treasurer's Wisdom,136,226,0.6,60%,17.0,10.23,2312,2,8.5,5.12
Lame Affutée,Sharp Blade,207,226,0.92,92%,10.86,9.94,2247,3,3.62,3.31
Hache Frénétique,Berseker Ax,151,226,0.67,67%,14.0,9.35,2114,2,7.0,4.67
Esprit de l'Écuyer,Spirit of the Squire,193,226,0.85,85%,9.19,7.85,1773,3,3.06,2.62
Adrénaline Arcanique,Arcane Adrenaline,95,226,0.42,42%,16.0,6.73,1520,1,16.0,6.73
Ascension Divine,Divine Ascent,60,226,0.27,27%,25.0,6.64,1500,3,8.33,2.21
Faux Assoiffées,Thirsty Scythes,56,226,0.25,25%,25.0,6.19,1400,3,8.33,2.06
Lame Insatiable,Fast Furious Blade,84,226,0.37,37%,16.0,5.95,1344,2,8.0,2.98
Épée Obscure,Swords of Darkness,71,226,0.31,31%,15.0,4.71,1065,1,15.0,4.71
Totem du Gardien,Guardian Totem,226,226,1.0,100%,4.25,4.25,960,3,1.42,1.42
Épées Jumelles,Twin Swords,71,226,0.31,31%,12.96,4.07,920,1,12.96,4.07
Parchemin Secret,Secret Scroll,49,226,0.22,22%,18.0,3.9,882,2,9.0,1.95
Sabre Versatile,Versatil Saber,79,226,0.35,35%,11.0,3.85,869,1,11.0,3.85
Le Marionnettiste,The Puppeteer,40,226,0.18,18%,20.0,3.54,800,2,10.0,1.77
Elan de Fureur,Rampage Momentum,53,226,0.23,23%,15.0,3.52,795,2,7.5,1.76
Danse Macabre,Dance of Death,92,226,0.41,41%,8.0,3.26,736,1,8.0,3.26
Griffes Sauvages,Wild Claw,200,226,0.88,88%,3.42,3.03,684,3,1.14,1.01
Glaive Vindicatif,Large Sword of Hate,34,226,0.15,15%,20.0,3.01,680,1,20.0,3.01
Explosion Arcanique,Arcane Explosive,56,226,0.25,25%,12.0,2.97,672,1,12.0,2.97
Coup de Mort,Death Helper,67,226,0.3,30%,10.0,2.96,670,1,10.0,2.96
Marteleur précis,Precise Hammer,36,226,0.16,16%,18.0,2.87,648,1,18.0,2.87
Armure d'Immortel,Immortal Breastplate,45,226,0.2,20%,14.0,2.79,630,1,14.0,2.79
Chasseresse d'Âmes,Huntress of Souls,28,226,0.12,12%,19.0,2.35,532,1,19.0,2.35
Esprit omniprésent,Omnipresent Spirit,29,226,0.13,13%,18.0,2.31,522,2,9.0,1.16
Chasseur d'Âmes,Soul Hunter,33,226,0.15,15%,15.0,2.19,495,1,15.0,2.19
Griffes Démoniaques,Demon Claws,29,226,0.13,13%,17.0,2.18,493,1,17.0,2.18
Esquive Salvatrice,Evasive Protection,32,226,0.14,14%,15.0,2.12,480,0,Gratuit,Gratuit
Enchaînement Éclair,Unstoppable Lightning,26,226,0.12,12%,18.0,2.07,468,1,18.0,2.07
Assistance Divine,Sacred Help,23,226,0.1,10%,20.0,2.04,460,2,10.0,1.02
Aura Légendaire,Legend Aura,11,226,0.05,5%,40.0,1.95,440,3,13.33,0.65
Le Croque-mort,The Undertaker,30,226,0.13,13%,14.0,1.86,420,1,14.0,1.86
Épé Sainte,Holy Sword,40,226,0.18,18%,10.0,1.77,400,0,Gratuit,Gratuit
Lance Doublée,Dual Spear,49,226,0.22,22%,8.0,1.73,392,0,Gratuit,Gratuit
Désintégrateur Magnétique,Magnetic Disintegrator,35,226,0.15,15%,11.0,1.7,385,0,Gratuit,Gratuit
Tombeau Rocheux,Rock Tomb,37,226,0.16,16%,10.0,1.64,370,1,10.0,1.64
Bâton de Conquête,Conquering Staff,15,226,0.07,7%,24.0,1.59,360,2,12.0,0.8
Instinct Sanguinaire,Bloody Instinct,23,226,0.1,10%,15.0,1.53,345,2,7.5,0.77
Destruction Royale,Royal Destroyer,30,226,0.13,13%,11.0,1.46,330,0,Gratuit,Gratuit
Soif de Sang,Thirsty Dagger,22,226,0.1,10%,15.0,1.46,330,0,Gratuit,Gratuit
Couronne du Roi Nain,Crown of the Dwarf King,22,226,0.1,10%,13.0,1.27,286,0,Gratuit,Gratuit
Force Divine,Divine Impetu,24,226,0.11,11%,11.0,1.17,264,0,Gratuit,Gratuit
Œil de Lynx,Hawk's Eye,31,226,0.14,14%,8.0,1.1,248,0,Gratuit,Gratuit
Pillard Féroce,Savage Looter,12,226,0.05,5%,20.0,1.06,240,1,20.0,1.06
Masse Colossale,Colossal Mace,20,226,0.09,9%,11.0,0.97,220,0,Gratuit,Gratuit
Bâton Élémentaire,Earthly Staff,14,226,0.06,6%,15.0,0.93,210,0,Gratuit,Gratuit
Triple Météore,Trimeteor,5,226,0.02,2%,30.0,0.66,150,0,Gratuit,Gratuit
Masse de Siège,Siege Mace,8,226,0.04,4%,16.0,0.57,128,0,Gratuit,Gratuit
Mental d'Acier,Steel Aura,7,226,0.03,3%,18.0,0.56,126,2,9.0,0.28
Lance Triplée,Triple Spear,5,226,0.02,2%,20.0,0.44,100,0,Gratuit,Gratuit
Amulette Omnisciente,Omnipresent Amulet,8,226,0.04,4%,11.0,0.39,88,0,Gratuit,Gratuit
Pluie de Météorites,Meteorites,1,226,0.0,0%,70.0,0.31,70,0,Gratuit,Gratuit
Frappe Chirurgicale,Accurate Sword,3,226,0.01,1%,16.0,0.21,48,1,16.0,0.21
Bâton du Conquérant,Staff of Conquered Worlds,2,226,0.01,1%,11.0,0.1,22,0,Gratuit,Gratuit
Décharge Élémentaire,Elemental Discharge,1,226,0.0,0%,18.0,0.08,18,1,18.0,0.08
Être de Lumière,Being of Light,1,226,0.0,0%,18.0,0.08,18,1,18.0,0.08
Le Traqueur,The Stalker,1,226,0.0,0%,18.0,0.08,18,3,6.0,0.03
