,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Totem du Gardien,Guardian Totem,226,226,1.0,100%,17.35,17.35,3922,3,5.78,5.78
Aveuglement,Incapacitor,224,226,0.99,99%,16.79,16.65,3762,3,5.6,5.55
Le Traqueur,The Stalker,198,226,0.88,88%,18.0,15.77,3564,3,6.0,5.26
Esprit de l'Écuyer,Spirit of the Squire,214,226,0.95,95%,13.54,12.82,2898,3,4.51,4.27
Vision Céleste,Heavenly Vision,113,226,0.5,50%,22.0,11.0,2486,2,11.0,5.5
Armure d'Obsidienne,Obsidian Battle Plate,107,226,0.47,47%,20.0,9.47,2140,2,10.0,4.74
Le Visionnaire,The Visionary,117,226,0.52,52%,18.0,9.32,2106,2,9.0,4.66
Œil de Lynx,Hawk's Eye,208,226,0.92,92%,8.0,7.36,1664,0,Gratuit,Gratuit
Bâton de Conquête,Conquering Staff,64,226,0.28,28%,24.0,6.8,1536,2,12.0,3.4
Coup de Mort,Death Helper,133,226,0.59,59%,10.0,5.88,1330,1,10.0,5.88
Esprit omniprésent,Omnipresent Spirit,58,226,0.26,26%,18.0,4.62,1044,2,9.0,2.31
Assistance Divine,Sacred Help,51,226,0.23,23%,20.0,4.51,1020,2,10.0,2.25
Amulette Omnisciente,Omnipresent Amulet,90,226,0.4,40%,11.0,4.38,990,0,Gratuit,Gratuit
Sabre Versatile,Versatil Saber,81,226,0.36,36%,11.0,3.94,891,1,11.0,3.94
Le Marionnettiste,The Puppeteer,38,226,0.17,17%,20.0,3.36,760,2,10.0,1.68
Instinct Sanguinaire,Bloody Instinct,49,226,0.22,22%,15.0,3.25,735,2,7.5,1.62
Armure d'Immortel,Immortal Breastplate,45,226,0.2,20%,14.0,2.79,630,1,14.0,2.79
Lame Affutée,Sharp Blade,108,226,0.48,48%,4.92,2.35,531,3,1.64,0.78
Force Divine,Divine Impetu,44,226,0.19,19%,11.0,2.14,484,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,25,226,0.11,11%,15.0,1.66,375,0,Gratuit,Gratuit
Faux,Scythe,167,226,0.74,74%,1.99,1.47,332,3,0.66,0.49
Marteleur précis,Precise Hammer,17,226,0.08,8%,18.0,1.35,306,1,18.0,1.35
Être de Lumière,Being of Light,17,226,0.08,8%,18.0,1.35,306,1,18.0,1.35
Bâton du Conquérant,Staff of Conquered Worlds,27,226,0.12,12%,11.0,1.31,297,0,Gratuit,Gratuit
Masse de Siège,Siege Mace,17,226,0.08,8%,16.0,1.2,272,0,Gratuit,Gratuit
Soif de Sang,Thirsty Dagger,10,226,0.04,4%,15.0,0.66,150,0,Gratuit,Gratuit
Hache Frénétique,Berseker Ax,9,226,0.04,4%,14.0,0.56,126,2,7.0,0.28
Épée Obscure,Swords of Darkness,6,226,0.03,3%,15.0,0.4,90,1,15.0,0.4
Désintégrateur Magnétique,Magnetic Disintegrator,8,226,0.04,4%,11.0,0.39,88,0,Gratuit,Gratuit
Bâton Élémentaire,Earthly Staff,5,226,0.02,2%,15.0,0.33,75,0,Gratuit,Gratuit
Ascension Divine,Divine Ascent,3,226,0.01,1%,25.0,0.33,75,3,8.33,0.11
Épées Jumelles,Twin Swords,6,226,0.03,3%,11.67,0.31,70,1,11.67,0.31
Destruction Royale,Royal Destroyer,5,226,0.02,2%,11.0,0.24,55,0,Gratuit,Gratuit
Économe Sagesse du Trésorier,Treasurer's Wisdom,3,226,0.01,1%,17.0,0.23,51,2,8.5,0.12
Danse Macabre,Dance of Death,6,226,0.03,3%,8.0,0.21,48,1,8.0,0.21
Elan de Fureur,Rampage Momentum,3,226,0.01,1%,15.0,0.2,45,2,7.5,0.1
Chasseur d'Âmes,Soul Hunter,3,226,0.01,1%,15.0,0.2,45,1,15.0,0.2
Aura Légendaire,Legend Aura,1,226,0.0,0%,40.0,0.18,40,3,13.33,0.06
Enchaînement Éclair,Unstoppable Lightning,2,226,0.01,1%,18.0,0.16,36,1,18.0,0.16
Frappe Chirurgicale,Accurate Sword,2,226,0.01,1%,16.0,0.14,32,1,16.0,0.14
Lance Doublée,Dual Spear,4,226,0.02,2%,8.0,0.14,32,0,Gratuit,Gratuit
Triple Météore,Trimeteor,1,226,0.0,0%,30.0,0.13,30,0,Gratuit,Gratuit
Le Croque-mort,The Undertaker,2,226,0.01,1%,14.0,0.12,28,1,14.0,0.12
Lance Triplée,Triple Spear,1,226,0.0,0%,20.0,0.09,20,0,Gratuit,Gratuit
Épé Sainte,Holy Sword,2,226,0.01,1%,10.0,0.09,20,0,Gratuit,Gratuit
Esprit Guerrier,Spirit of the Warrior,1,226,0.0,0%,16.0,0.07,16,1,16.0,0.07
Adrénaline Arcanique,Arcane Adrenaline,1,226,0.0,0%,16.0,0.07,16,1,16.0,0.07
Griffes Sauvages,Wild Claw,10,226,0.04,4%,1.6,0.07,16,3,0.53,0.02
Tombeau Rocheux,Rock Tomb,1,226,0.0,0%,10.0,0.04,10,1,10.0,0.04
