,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Aveuglement,Incapacitor,214,216,0.99,99%,17.34,17.18,3711,3,5.78,5.73
Faux,Scythe,216,216,1.0,100%,16.16,16.16,3491,3,5.39,5.39
Armure d'Obsidienne,Obsidian Battle Plate,127,216,0.59,59%,20.0,11.76,2540,2,10.0,5.88
Économe Sagesse du Trésorier,Treasurer's Wisdom,149,216,0.69,69%,17.0,11.73,2533,2,8.5,5.87
Lame Affutée,Sharp Blade,197,216,0.91,91%,12.84,11.71,2529,3,4.28,3.9
Faux Assoiffées,Thirsty Scythes,93,216,0.43,43%,25.0,10.76,2325,3,8.33,3.59
Lame Insatiable,Fast Furious Blade,133,216,0.62,62%,16.0,9.85,2128,2,8.0,4.92
Hache Frénétique,Berseker Ax,146,216,0.68,68%,14.0,9.46,2044,2,7.0,4.73
Bâton de Conquête,Conquering Staff,66,216,0.31,31%,24.0,7.33,1584,2,12.0,3.67
Esprit de l'Écuyer,Spirit of the Squire,178,216,0.82,82%,8.49,7.0,1512,3,2.83,2.33
Épée Obscure,Swords of Darkness,100,216,0.46,46%,15.0,6.94,1500,1,15.0,6.94
Parchemin Secret,Secret Scroll,83,216,0.38,38%,18.0,6.92,1494,2,9.0,3.46
Épées Jumelles,Twin Swords,100,216,0.46,46%,13.8,6.39,1380,1,13.8,6.39
Chasseresse d'Âmes,Huntress of Souls,70,216,0.32,32%,19.0,6.16,1330,1,19.0,6.16
Explosion Arcanique,Arcane Explosive,110,216,0.51,51%,12.0,6.11,1320,1,12.0,6.11
Frappe Chirurgicale,Accurate Sword,81,216,0.38,38%,16.0,6.0,1296,1,16.0,6.0
Esprit Guerrier,Spirit of the Warrior,79,216,0.37,37%,16.0,5.85,1264,1,16.0,5.85
Griffes Démoniaques,Demon Claws,74,216,0.34,34%,17.0,5.82,1258,1,17.0,5.82
Elan de Fureur,Rampage Momentum,74,216,0.34,34%,15.0,5.14,1110,2,7.5,2.57
Marteleur précis,Precise Hammer,61,216,0.28,28%,18.0,5.08,1098,1,18.0,5.08
Tombeau Rocheux,Rock Tomb,107,216,0.5,50%,10.0,4.95,1070,1,10.0,4.95
Totem du Gardien,Guardian Totem,216,216,1.0,100%,4.66,4.66,1006,3,1.55,1.55
Aura Légendaire,Legend Aura,24,216,0.11,11%,40.0,4.44,960,3,13.33,1.48
Enchaînement Éclair,Unstoppable Lightning,51,216,0.24,24%,18.0,4.25,918,1,18.0,4.25
Danse Macabre,Dance of Death,112,216,0.52,52%,8.0,4.15,896,1,8.0,4.15
Sabre Versatile,Versatil Saber,78,216,0.36,36%,11.0,3.97,858,1,11.0,3.97
Le Croque-mort,The Undertaker,59,216,0.27,27%,14.0,3.82,826,1,14.0,3.82
Triple Météore,Trimeteor,27,216,0.12,12%,30.0,3.75,810,0,Gratuit,Gratuit
Ascension Divine,Divine Ascent,32,216,0.15,15%,25.0,3.7,800,3,8.33,1.23
Armure d'Immortel,Immortal Breastplate,56,216,0.26,26%,14.0,3.63,784,1,14.0,3.63
Couronne du Roi Nain,Crown of the Dwarf King,58,216,0.27,27%,13.0,3.49,754,0,Gratuit,Gratuit
Glaive Vindicatif,Large Sword of Hate,37,216,0.17,17%,20.0,3.43,740,1,20.0,3.43
Désintégrateur Magnétique,Magnetic Disintegrator,64,216,0.3,30%,11.0,3.26,704,0,Gratuit,Gratuit
Griffes Sauvages,Wild Claw,201,216,0.93,93%,3.48,3.24,699,3,1.16,1.08
Destruction Royale,Royal Destroyer,58,216,0.27,27%,11.0,2.95,638,0,Gratuit,Gratuit
Masse Colossale,Colossal Mace,55,216,0.25,25%,11.0,2.8,605,0,Gratuit,Gratuit
Lance Triplée,Triple Spear,27,216,0.12,12%,20.74,2.59,560,0,Gratuit,Gratuit
Esprit omniprésent,Omnipresent Spirit,31,216,0.14,14%,18.0,2.58,558,2,9.0,1.29
Coup de Mort,Death Helper,55,216,0.25,25%,10.0,2.55,550,1,10.0,2.55
Lance Doublée,Dual Spear,66,216,0.31,31%,8.0,2.44,528,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,35,216,0.16,16%,15.0,2.43,525,0,Gratuit,Gratuit
Bâton Élémentaire,Earthly Staff,33,216,0.15,15%,15.0,2.29,495,0,Gratuit,Gratuit
Épé Sainte,Holy Sword,49,216,0.23,23%,10.0,2.27,490,0,Gratuit,Gratuit
Œil de Lynx,Hawk's Eye,60,216,0.28,28%,8.0,2.22,480,0,Gratuit,Gratuit
Bâton du Conquérant,Staff of Conquered Worlds,43,216,0.2,20%,11.0,2.19,473,0,Gratuit,Gratuit
Décharge Élémentaire,Elemental Discharge,26,216,0.12,12%,18.0,2.17,468,1,18.0,2.17
Soif de Sang,Thirsty Dagger,28,216,0.13,13%,15.0,1.94,420,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,26,216,0.12,12%,15.0,1.81,390,2,7.5,0.91
Pillard Féroce,Savage Looter,17,216,0.08,8%,20.0,1.57,340,1,20.0,1.57
Force Divine,Divine Impetu,27,216,0.12,12%,11.0,1.38,297,0,Gratuit,Gratuit
Pluie de Météorites,Meteorites,4,216,0.02,2%,70.0,1.3,280,0,Gratuit,Gratuit
Chasseur d'Âmes,Soul Hunter,18,216,0.08,8%,15.0,1.25,270,1,15.0,1.25
Masse de Siège,Siege Mace,15,216,0.07,7%,16.0,1.11,240,0,Gratuit,Gratuit
Le Traqueur,The Stalker,6,216,0.03,3%,18.0,0.5,108,3,6.0,0.17
Assistance Divine,Sacred Help,5,216,0.02,2%,20.0,0.46,100,2,10.0,0.23
Astéroïde Fatal,Final Asteroid,1,216,0.0,0%,100.0,0.46,100,0,Gratuit,Gratuit
Le Marionnettiste,The Puppeteer,4,216,0.02,2%,20.0,0.37,80,2,10.0,0.18
Amulette Omnisciente,Omnipresent Amulet,6,216,0.03,3%,11.0,0.31,66,0,Gratuit,Gratuit
Vision Céleste,Heavenly Vision,3,216,0.01,1%,22.0,0.31,66,2,11.0,0.15
Adrénaline Arcanique,Arcane Adrenaline,2,216,0.01,1%,16.0,0.15,32,1,16.0,0.15
Le Visionnaire,The Visionary,1,216,0.0,0%,18.0,0.08,18,2,9.0,0.04
Être de Lumière,Being of Light,1,216,0.0,0%,18.0,0.08,18,1,18.0,0.08
