,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Faux,Scythe,18,18,1.0,100%,15.22,15.22,274,3,5.07,5.07
Armure d'Obsidienne,Obsidian Battle Plate,10,18,0.56,56%,20.0,11.11,200,2,10.0,5.55
Aveuglement,Incapacitor,18,18,1.0,100%,10.5,10.5,189,3,3.5,3.5
Ascension Divine,Divine Ascent,7,18,0.39,39%,25.0,9.72,175,3,8.33,3.24
Économe Sagesse du Trésorier,Treasurer's Wisdom,7,18,0.39,39%,17.0,6.61,119,2,8.5,3.31
Hache Frénétique,Berseker Ax,8,18,0.44,44%,14.0,6.22,112,2,7.0,3.11
Esprit de l'Écuyer,Spirit of the Squire,14,18,0.78,78%,7.5,5.83,105,3,2.5,1.94
Assistance Divine,Sacred Help,5,18,0.28,28%,20.0,5.56,100,2,10.0,2.78
Faux Assoiffées,Thirsty Scythes,4,18,0.22,22%,25.0,5.56,100,3,8.33,1.85
Lame Affutée,Sharp Blade,11,18,0.61,61%,8.73,5.33,96,3,2.91,1.78
Totem du Gardien,Guardian Totem,18,18,1.0,100%,4.56,4.56,82,3,1.52,1.52
Instinct Sanguinaire,Bloody Instinct,5,18,0.28,28%,15.0,4.17,75,2,7.5,2.08
Lame Insatiable,Fast Furious Blade,4,18,0.22,22%,16.0,3.56,64,2,8.0,1.78
Adrénaline Arcanique,Arcane Adrenaline,4,18,0.22,22%,16.0,3.56,64,1,16.0,3.56
Chasseresse d'Âmes,Huntress of Souls,3,18,0.17,17%,19.0,3.17,57,1,19.0,3.17
Armure d'Immortel,Immortal Breastplate,4,18,0.22,22%,14.0,3.11,56,1,14.0,3.11
Sabre Versatile,Versatil Saber,5,18,0.28,28%,11.0,3.06,55,1,11.0,3.06
Griffes Démoniaques,Demon Claws,3,18,0.17,17%,17.0,2.83,51,1,17.0,2.83
Griffes Sauvages,Wild Claw,14,18,0.78,78%,3.21,2.5,45,3,1.07,0.83
Elan de Fureur,Rampage Momentum,3,18,0.17,17%,15.0,2.5,45,2,7.5,1.25
Le Croque-mort,The Undertaker,3,18,0.17,17%,14.0,2.33,42,1,14.0,2.33
Le Marionnettiste,The Puppeteer,2,18,0.11,11%,20.0,2.22,40,2,10.0,1.11
Danse Macabre,Dance of Death,4,18,0.22,22%,8.0,1.78,32,1,8.0,1.78
Coup de Mort,Death Helper,3,18,0.17,17%,10.0,1.67,30,1,10.0,1.67
Épée Obscure,Swords of Darkness,2,18,0.11,11%,15.0,1.67,30,1,15.0,1.67
Bâton de Conquête,Conquering Staff,1,18,0.06,6%,24.0,1.33,24,2,12.0,0.67
Œil de Lynx,Hawk's Eye,3,18,0.17,17%,8.0,1.33,24,0,Gratuit,Gratuit
Glaive Vindicatif,Large Sword of Hate,1,18,0.06,6%,20.0,1.11,20,1,20.0,1.11
Épées Jumelles,Twin Swords,2,18,0.11,11%,10.0,1.11,20,1,10.0,1.11
Épé Sainte,Holy Sword,2,18,0.11,11%,10.0,1.11,20,0,Gratuit,Gratuit
Être de Lumière,Being of Light,1,18,0.06,6%,18.0,1.0,18,1,18.0,1.0
Parchemin Secret,Secret Scroll,1,18,0.06,6%,18.0,1.0,18,2,9.0,0.5
Esprit omniprésent,Omnipresent Spirit,1,18,0.06,6%,18.0,1.0,18,2,9.0,0.5
Mental d'Acier,Steel Aura,1,18,0.06,6%,18.0,1.0,18,2,9.0,0.5
Masse de Siège,Siege Mace,1,18,0.06,6%,16.0,0.89,16,0,Gratuit,Gratuit
Lance Doublée,Dual Spear,2,18,0.11,11%,8.0,0.89,16,0,Gratuit,Gratuit
Chasseur d'Âmes,Soul Hunter,1,18,0.06,6%,15.0,0.83,15,1,15.0,0.83
Esquive Salvatrice,Evasive Protection,1,18,0.06,6%,15.0,0.83,15,0,Gratuit,Gratuit
Explosion Arcanique,Arcane Explosive,1,18,0.06,6%,12.0,0.67,12,1,12.0,0.67
Force Divine,Divine Impetu,1,18,0.06,6%,11.0,0.61,11,0,Gratuit,Gratuit
Tombeau Rocheux,Rock Tomb,1,18,0.06,6%,10.0,0.56,10,1,10.0,0.56
