,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Faux,Scythe,27,27,1.0,100%,14.89,14.89,402,3,4.96,4.96
Armure d'Obsidienne,Obsidian Battle Plate,17,27,0.63,63%,20.0,12.59,340,2,10.0,6.29
Économe Sagesse du Trésorier,Treasurer's Wisdom,17,27,0.63,63%,17.0,10.7,289,2,8.5,5.35
Lame Affutée,Sharp Blade,25,27,0.93,93%,11.52,10.67,288,3,3.84,3.56
Hache Frénétique,Berseker Ax,20,27,0.74,74%,14.0,10.37,280,2,7.0,5.18
Aveuglement,Incapacitor,25,27,0.93,93%,10.68,9.89,267,3,3.56,3.3
Esprit de l'Écuyer,Spirit of the Squire,23,27,0.85,85%,10.3,8.78,237,3,3.43,2.93
Lame Insatiable,Fast Furious Blade,14,27,0.52,52%,16.0,8.3,224,2,8.0,4.15
Parchemin Secret,Secret Scroll,12,27,0.44,44%,18.0,8.0,216,2,9.0,4.0
Explosion Arcanique,Arcane Explosive,17,27,0.63,63%,12.0,7.56,204,1,12.0,7.56
Ascension Divine,Divine Ascent,8,27,0.3,30%,25.0,7.41,200,3,8.33,2.47
Glaive Vindicatif,Large Sword of Hate,8,27,0.3,30%,20.0,5.93,160,1,20.0,5.93
Sabre Versatile,Versatil Saber,14,27,0.52,52%,11.0,5.7,154,1,11.0,5.7
Frappe Chirurgicale,Accurate Sword,8,27,0.3,30%,16.0,4.74,128,1,16.0,4.74
Chasseur d'Âmes,Soul Hunter,8,27,0.3,30%,15.0,4.44,120,1,15.0,4.44
Enchaînement Éclair,Unstoppable Lightning,6,27,0.22,22%,18.0,4.0,108,1,18.0,4.0
Elan de Fureur,Rampage Momentum,7,27,0.26,26%,15.0,3.89,105,2,7.5,1.95
Danse Macabre,Dance of Death,13,27,0.48,48%,8.0,3.85,104,1,8.0,3.85
Coup de Mort,Death Helper,10,27,0.37,37%,10.0,3.7,100,1,10.0,3.7
Totem du Gardien,Guardian Totem,27,27,1.0,100%,3.59,3.59,97,3,1.2,1.2
Griffes Démoniaques,Demon Claws,5,27,0.19,19%,17.0,3.15,85,1,17.0,3.15
Assistance Divine,Sacred Help,4,27,0.15,15%,20.0,2.96,80,2,10.0,1.48
Couronne du Roi Nain,Crown of the Dwarf King,6,27,0.22,22%,13.0,2.89,78,0,Gratuit,Gratuit
Désintégrateur Magnétique,Magnetic Disintegrator,7,27,0.26,26%,11.0,2.85,77,0,Gratuit,Gratuit
Chasseresse d'Âmes,Huntress of Souls,4,27,0.15,15%,19.0,2.81,76,1,19.0,2.81
Faux Assoiffées,Thirsty Scythes,3,27,0.11,11%,25.0,2.78,75,3,8.33,0.93
Épées Jumelles,Twin Swords,4,27,0.15,15%,17.5,2.59,70,1,17.5,2.59
Masse Colossale,Colossal Mace,6,27,0.22,22%,11.0,2.44,66,0,Gratuit,Gratuit
Destruction Royale,Royal Destroyer,6,27,0.22,22%,11.0,2.44,66,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,4,27,0.15,15%,15.0,2.22,60,2,7.5,1.11
Épée Obscure,Swords of Darkness,4,27,0.15,15%,15.0,2.22,60,1,15.0,2.22
Soif de Sang,Thirsty Dagger,4,27,0.15,15%,15.0,2.22,60,0,Gratuit,Gratuit
Armure d'Immortel,Immortal Breastplate,4,27,0.15,15%,14.0,2.07,56,1,14.0,2.07
Mental d'Acier,Steel Aura,3,27,0.11,11%,18.0,2.0,54,2,9.0,1.0
Marteleur précis,Precise Hammer,3,27,0.11,11%,18.0,2.0,54,1,18.0,2.0
Esprit Guerrier,Spirit of the Warrior,3,27,0.11,11%,16.0,1.78,48,1,16.0,1.78
Bâton de Conquête,Conquering Staff,2,27,0.07,7%,24.0,1.78,48,2,12.0,0.89
Le Croque-mort,The Undertaker,3,27,0.11,11%,14.0,1.56,42,1,14.0,1.56
Aura Légendaire,Legend Aura,1,27,0.04,4%,40.0,1.48,40,3,13.33,0.49
Tombeau Rocheux,Rock Tomb,4,27,0.15,15%,10.0,1.48,40,1,10.0,1.48
Le Marionnettiste,The Puppeteer,2,27,0.07,7%,20.0,1.48,40,2,10.0,0.74
Adrénaline Arcanique,Arcane Adrenaline,2,27,0.07,7%,16.0,1.19,32,1,16.0,1.19
Esquive Salvatrice,Evasive Protection,2,27,0.07,7%,15.0,1.11,30,0,Gratuit,Gratuit
Bâton Élémentaire,Earthly Staff,2,27,0.07,7%,15.0,1.11,30,0,Gratuit,Gratuit
Épé Sainte,Holy Sword,3,27,0.11,11%,10.0,1.11,30,0,Gratuit,Gratuit
Griffes Sauvages,Wild Claw,18,27,0.67,67%,1.39,0.93,25,3,0.46,0.31
Pillard Féroce,Savage Looter,1,27,0.04,4%,20.0,0.74,20,1,20.0,0.74
Décharge Élémentaire,Elemental Discharge,1,27,0.04,4%,18.0,0.67,18,1,18.0,0.67
Esprit omniprésent,Omnipresent Spirit,1,27,0.04,4%,18.0,0.67,18,2,9.0,0.34
Lance Doublée,Dual Spear,2,27,0.07,7%,8.0,0.59,16,0,Gratuit,Gratuit
Masse de Siège,Siege Mace,1,27,0.04,4%,16.0,0.59,16,0,Gratuit,Gratuit
Œil de Lynx,Hawk's Eye,2,27,0.07,7%,8.0,0.59,16,0,Gratuit,Gratuit
Amulette Omnisciente,Omnipresent Amulet,1,27,0.04,4%,11.0,0.41,11,0,Gratuit,Gratuit
