,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Faux,Scythe,22,22,1.0,100%,15.73,15.73,346,3,5.24,5.24,3.93,3.93
Totem Équivalent,Equivalent Totem,22,22,1.0,100%,15.32,15.32,337,2,7.66,7.66,5.11,5.11
Lame Affutée,Sharp Blade,18,22,0.82,82%,14.0,11.45,252,3,4.67,3.82,3.5,2.86
Armure d'Obsidienne,Obsidian Battle Plate,12,22,0.55,55%,20.0,10.91,240,2,10.0,5.46,6.67,3.64
Économe Sagesse du Trésorier,Treasurer's Wisdom,14,22,0.64,64%,17.0,10.82,238,2,8.5,5.41,5.67,3.61
Marteau Collecteur,Collecting Hammer,13,22,0.59,59%,17.85,10.55,232,2,8.93,5.28,5.95,3.52
Lame Insatiable,Fast Furious Blade,12,22,0.55,55%,16.0,8.73,192,2,8.0,4.37,5.33,2.91
Épée Obscure,Swords of Darkness,11,22,0.5,50%,17.0,8.5,187,1,17.0,8.5,8.5,4.25
Hache Frénétique,Berseker Ax,13,22,0.59,59%,14.0,8.27,182,2,7.0,4.13,4.67,2.76
Aveuglement,Incapacitor,22,22,1.0,100%,8.05,8.05,177,3,2.68,2.68,2.01,2.01
Esprit Guerrier,Spirit of the Warrior,10,22,0.45,45%,16.0,7.27,160,1,16.0,7.27,8.0,3.63
Esprit de l'Écuyer,Spirit of the Squire,18,22,0.82,82%,8.17,6.68,147,3,2.72,2.23,2.04,1.67
Parchemin Secret,Secret Scroll,8,22,0.36,36%,18.0,6.55,144,2,9.0,3.27,6.0,2.18
Tombeau Rocheux,Rock Tomb,13,22,0.59,59%,10.0,5.91,130,1,10.0,5.91,5.0,2.96
Marteleur précis,Precise Hammer,7,22,0.32,32%,18.0,5.73,126,1,18.0,5.73,9.0,2.87
Elan de Fureur,Rampage Momentum,8,22,0.36,36%,15.0,5.45,120,2,7.5,2.73,5.0,1.82
Explosion Arcanique,Arcane Explosive,10,22,0.45,45%,12.0,5.45,120,1,12.0,5.45,6.0,2.73
Masse Colossale,Colossal Mace,8,22,0.36,36%,14.5,5.27,116,0,Gratuit,Gratuit,14.5,5.27
Sabre Versatile,Versatil Saber,10,22,0.45,45%,11.0,5.0,110,1,11.0,5.0,5.5,2.5
Couronne du Roi Nain,Crown of the Dwarf King,8,22,0.36,36%,13.0,4.73,104,0,Gratuit,Gratuit,13.0,4.73
Faux Assoiffées,Thirsty Scythes,4,22,0.18,18%,25.0,4.55,100,3,8.33,1.52,6.25,1.14
Enchaînement Éclair,Unstoppable Lightning,5,22,0.23,23%,18.0,4.09,90,1,18.0,4.09,9.0,2.04
Totem du Gardien,Guardian Totem,17,22,0.77,77%,4.76,3.68,81,3,1.59,1.23,1.19,0.92
Danse Macabre,Dance of Death,10,22,0.45,45%,8.0,3.64,80,1,8.0,3.64,4.0,1.82
Désintégrateur Magnétique,Magnetic Disintegrator,7,22,0.32,32%,11.0,3.5,77,0,Gratuit,Gratuit,11.0,3.5
Chasseresse d'Âmes,Huntress of Souls,4,22,0.18,18%,19.0,3.45,76,1,19.0,3.45,9.5,1.73
Bâton de Conquête,Conquering Staff,3,22,0.14,14%,24.0,3.27,72,2,12.0,1.64,8.0,1.09
Griffes Démoniaques,Demon Claws,4,22,0.18,18%,17.0,3.09,68,1,17.0,3.09,8.5,1.54
Triple Météore,Trimeteor,2,22,0.09,9%,30.0,2.73,60,0,Gratuit,Gratuit,30.0,2.73
Faux Parfaite,Perfect Scythe,4,22,0.18,18%,15.0,2.73,60,0,Gratuit,Gratuit,15.0,2.73
Œil de Lynx,Hawk's Eye,6,22,0.27,27%,9.33,2.55,56,0,Gratuit,Gratuit,9.33,2.55
Décharge Élémentaire,Elemental Discharge,3,22,0.14,14%,18.0,2.45,54,1,18.0,2.45,9.0,1.23
Épé Sainte,Holy Sword,5,22,0.23,23%,10.0,2.27,50,0,Gratuit,Gratuit,10.0,2.27
Ascension Divine,Divine Ascent,2,22,0.09,9%,25.0,2.27,50,3,8.33,0.76,6.25,0.57
Armure d'Immortel,Immortal Breastplate,3,22,0.14,14%,16.0,2.18,48,1,16.0,2.18,8.0,1.09
Coup de Mort,Death Helper,4,22,0.18,18%,11.5,2.09,46,1,11.5,2.09,5.75,1.04
Soif de Sang,Thirsty Dagger,3,22,0.14,14%,15.0,2.05,45,0,Gratuit,Gratuit,15.0,2.05
Aura Légendaire,Legend Aura,1,22,0.05,5%,40.0,1.82,40,3,13.33,0.61,10.0,0.46
Bâton du Conquérant,Staff of Conquered Worlds,3,22,0.14,14%,11.0,1.5,33,0,Gratuit,Gratuit,11.0,1.5
Gantelet Impérieux,Imperious Gauntlet,1,22,0.05,5%,30.0,1.36,30,1,30.0,1.36,15.0,0.68
Griffes Sauvages,Wild Claw,14,22,0.64,64%,1.93,1.23,27,3,0.64,0.41,0.48,0.31
Chasseur d'Âmes,Soul Hunter,1,22,0.05,5%,20.0,0.91,20,1,20.0,0.91,10.0,0.46
Esprit omniprésent,Omnipresent Spirit,1,22,0.05,5%,18.0,0.82,18,2,9.0,0.41,6.0,0.27
Masse de Siège,Siege Mace,1,22,0.05,5%,16.0,0.73,16,0,Gratuit,Gratuit,16.0,0.73
Force Divine,Divine Impetu,1,22,0.05,5%,11.0,0.5,11,0,Gratuit,Gratuit,11.0,0.5
