,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,18,18,1.0,100%,11.78,11.78,212,2,5.89,5.89,3.93,3.93
Vision Céleste,Heavenly Vision,9,18,0.5,50%,22.0,11.0,198,2,11.0,5.5,7.33,3.67
Aveuglement,Incapacitor,18,18,1.0,100%,10.83,10.83,195,3,3.61,3.61,2.71,2.71
Totem du Gardien,Guardian Totem,13,18,0.72,72%,13.08,9.44,170,3,4.36,3.15,3.27,2.36
Esprit de l'Écuyer,Spirit of the Squire,16,18,0.89,89%,9.94,8.83,159,3,3.31,2.94,2.48,2.21
Œil de Lynx,Hawk's Eye,17,18,0.94,94%,9.06,8.56,154,0,Gratuit,Gratuit,9.06,8.56
Le Traqueur,The Stalker,8,18,0.44,44%,18.0,8.0,144,3,6.0,2.67,4.5,2.0
Armure d'Obsidienne,Obsidian Battle Plate,6,18,0.33,33%,20.0,6.67,120,2,10.0,3.33,6.67,2.22
Bâton de Conquête,Conquering Staff,4,18,0.22,22%,24.0,5.33,96,2,12.0,2.67,8.0,1.78
Coup de Mort,Death Helper,7,18,0.39,39%,12.14,4.72,85,1,12.14,4.72,6.07,2.36
Le Visionnaire,The Visionary,4,18,0.22,22%,18.0,4.0,72,2,9.0,2.0,6.0,1.33
Esprit omniprésent,Omnipresent Spirit,4,18,0.22,22%,18.0,4.0,72,2,9.0,2.0,6.0,1.33
Bâton du Conquérant,Staff of Conquered Worlds,4,18,0.22,22%,11.0,2.44,44,0,Gratuit,Gratuit,11.0,2.44
Le Marionnettiste,The Puppeteer,2,18,0.11,11%,20.0,2.22,40,2,10.0,1.11,6.67,0.74
Lame Affutée,Sharp Blade,7,18,0.39,39%,5.14,2.0,36,3,1.71,0.67,1.28,0.5
Marteau Collecteur,Collecting Hammer,4,18,0.22,22%,7.75,1.72,31,2,3.88,0.86,2.58,0.57
Armure d'Immortel,Immortal Breastplate,2,18,0.11,11%,15.0,1.67,30,1,15.0,1.67,7.5,0.83
Faux,Scythe,18,18,1.0,100%,1.67,1.67,30,3,0.56,0.56,0.42,0.42
Sabre Versatile,Versatil Saber,2,18,0.11,11%,11.0,1.22,22,1,11.0,1.22,5.5,0.61
Adrénaline Arcanique,Arcane Adrenaline,1,18,0.06,6%,16.0,0.89,16,1,16.0,0.89,8.0,0.45
Force Divine,Divine Impetu,1,18,0.06,6%,15.0,0.83,15,0,Gratuit,Gratuit,15.0,0.83
Chasseur d'Âmes,Soul Hunter,1,18,0.06,6%,15.0,0.83,15,1,15.0,0.83,7.5,0.41
Amulette Omnisciente,Omnipresent Amulet,1,18,0.06,6%,15.0,0.83,15,0,Gratuit,Gratuit,15.0,0.83
Griffes Sauvages,Wild Claw,1,18,0.06,6%,10.0,0.56,10,3,3.33,0.19,2.5,0.14
