,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,25,25,1.0,100%,15.96,15.96,399,2,7.98,7.98,5.32,5.32
Faux,Scythe,25,25,1.0,100%,12.84,12.84,321,3,4.28,4.28,3.21,3.21
Armure d'Obsidienne,Obsidian Battle Plate,13,25,0.52,52%,20.0,10.4,260,2,10.0,5.2,6.67,3.47
Faux Parfaite,Perfect Scythe,13,25,0.52,52%,15.0,7.8,195,0,Gratuit,Gratuit,15.0,7.8
Lame Affutée,Sharp Blade,21,25,0.84,84%,7.57,6.36,159,3,2.52,2.12,1.89,1.59
Esprit de l'Écuyer,Spirit of the Squire,20,25,0.8,80%,6.9,5.52,138,3,2.3,1.84,1.73,1.38
Ascension Divine,Divine Ascent,5,25,0.2,20%,25.0,5.0,125,3,8.33,1.67,6.25,1.25
Assistance Divine,Sacred Help,6,25,0.24,24%,20.0,4.8,120,2,10.0,2.4,6.67,1.6
Aveuglement,Incapacitor,23,25,0.92,92%,5.22,4.8,120,3,1.74,1.6,1.3,1.2
Économe Sagesse du Trésorier,Treasurer's Wisdom,7,25,0.28,28%,17.0,4.76,119,2,8.5,2.38,5.67,1.59
Hache Frénétique,Berseker Ax,8,25,0.32,32%,14.0,4.48,112,2,7.0,2.24,4.67,1.49
Chasseur d'Âmes,Soul Hunter,6,25,0.24,24%,17.5,4.2,105,1,17.5,4.2,8.75,2.1
Épée Obscure,Swords of Darkness,6,25,0.24,24%,17.0,4.08,102,1,17.0,4.08,8.5,2.04
Gantelet Impérieux,Imperious Gauntlet,3,25,0.12,12%,30.0,3.6,90,1,30.0,3.6,15.0,1.8
Totem du Gardien,Guardian Totem,20,25,0.8,80%,4.2,3.36,84,3,1.4,1.12,1.05,0.84
Armure d'Immortel,Immortal Breastplate,5,25,0.2,20%,15.6,3.12,78,1,15.6,3.12,7.8,1.56
Explosion Arcanique,Arcane Explosive,6,25,0.24,24%,12.0,2.88,72,1,12.0,2.88,6.0,1.44
Sabre Versatile,Versatil Saber,6,25,0.24,24%,11.0,2.64,66,1,11.0,2.64,5.5,1.32
Désintégrateur Magnétique,Magnetic Disintegrator,6,25,0.24,24%,11.0,2.64,66,0,Gratuit,Gratuit,11.0,2.64
Marteau Collecteur,Collecting Hammer,6,25,0.24,24%,10.5,2.52,63,2,5.25,1.26,3.5,0.84
Faux Assoiffées,Thirsty Scythes,2,25,0.08,8%,25.0,2.0,50,3,8.33,0.67,6.25,0.5
Esprit Guerrier,Spirit of the Warrior,3,25,0.12,12%,16.0,1.92,48,1,16.0,1.92,8.0,0.96
Elan de Fureur,Rampage Momentum,3,25,0.12,12%,15.0,1.8,45,2,7.5,0.9,5.0,0.6
Être de Lumière,Being of Light,2,25,0.08,8%,18.0,1.44,36,1,18.0,1.44,9.0,0.72
Marteleur précis,Precise Hammer,2,25,0.08,8%,18.0,1.44,36,1,18.0,1.44,9.0,0.72
Mental d'Acier,Steel Aura,2,25,0.08,8%,18.0,1.44,36,2,9.0,0.72,6.0,0.48
Coup de Mort,Death Helper,3,25,0.12,12%,11.0,1.32,33,1,11.0,1.32,5.5,0.66
Danse Macabre,Dance of Death,4,25,0.16,16%,8.0,1.28,32,1,8.0,1.28,4.0,0.64
Triple Météore,Trimeteor,1,25,0.04,4%,30.0,1.2,30,0,Gratuit,Gratuit,30.0,1.2
Soif de Sang,Thirsty Dagger,2,25,0.08,8%,15.0,1.2,30,0,Gratuit,Gratuit,15.0,1.2
Œil de Lynx,Hawk's Eye,3,25,0.12,12%,9.33,1.12,28,0,Gratuit,Gratuit,9.33,1.12
Chasseresse d'Âmes,Huntress of Souls,1,25,0.04,4%,19.0,0.76,19,1,19.0,0.76,9.5,0.38
Enchaînement Éclair,Unstoppable Lightning,1,25,0.04,4%,18.0,0.72,18,1,18.0,0.72,9.0,0.36
Griffes Démoniaques,Demon Claws,1,25,0.04,4%,17.0,0.68,17,1,17.0,0.68,8.5,0.34
Lame Insatiable,Fast Furious Blade,1,25,0.04,4%,16.0,0.64,16,2,8.0,0.32,5.33,0.21
Adrénaline Arcanique,Arcane Adrenaline,1,25,0.04,4%,16.0,0.64,16,1,16.0,0.64,8.0,0.32
Griffes Sauvages,Wild Claw,9,25,0.36,36%,1.33,0.48,12,3,0.44,0.16,0.33,0.12
Masse Colossale,Colossal Mace,1,25,0.04,4%,11.0,0.44,11,0,Gratuit,Gratuit,11.0,0.44
Épé Sainte,Holy Sword,1,25,0.04,4%,10.0,0.4,10,0,Gratuit,Gratuit,10.0,0.4
