,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Faux,Scythe,20,20,1.0,100%,16.15,16.15,323,3,5.38,5.38,4.04,4.04
Totem Équivalent,Equivalent Totem,20,20,1.0,100%,15.85,15.85,317,2,7.92,7.92,5.28,5.28
Lame Affutée,Sharp Blade,19,20,0.95,95%,15.79,15.0,300,3,5.26,5.0,3.95,3.75
Armure d'Obsidienne,Obsidian Battle Plate,14,20,0.7,70%,20.0,14.0,280,2,10.0,7.0,6.67,4.67
Économe Sagesse du Trésorier,Treasurer's Wisdom,15,20,0.75,75%,17.0,12.75,255,2,8.5,6.38,5.67,4.25
Hache Frénétique,Berseker Ax,18,20,0.9,90%,14.0,12.6,252,2,7.0,6.3,4.67,4.2
Esprit Guerrier,Spirit of the Warrior,13,20,0.65,65%,16.0,10.4,208,1,16.0,10.4,8.0,5.2
Aura Légendaire,Legend Aura,5,20,0.25,25%,40.0,10.0,200,3,13.33,3.33,10.0,2.5
Lame Insatiable,Fast Furious Blade,12,20,0.6,60%,16.0,9.6,192,2,8.0,4.8,5.33,3.2
Épée Obscure,Swords of Darkness,11,20,0.55,55%,17.0,9.35,187,1,17.0,9.35,8.5,4.67
Elan de Fureur,Rampage Momentum,12,20,0.6,60%,15.0,9.0,180,2,7.5,4.5,5.0,3.0
Enchaînement Éclair,Unstoppable Lightning,10,20,0.5,50%,18.0,9.0,180,1,18.0,9.0,9.0,4.5
Explosion Arcanique,Arcane Explosive,14,20,0.7,70%,12.0,8.4,168,1,12.0,8.4,6.0,4.2
Marteau Collecteur,Collecting Hammer,9,20,0.45,45%,18.56,8.35,167,2,9.28,4.17,6.19,2.78
Esprit de l'Écuyer,Spirit of the Squire,18,20,0.9,90%,8.83,7.95,159,3,2.94,2.65,2.21,1.99
Faux Assoiffées,Thirsty Scythes,6,20,0.3,30%,25.0,7.5,150,3,8.33,2.5,6.25,1.88
Masse Colossale,Colossal Mace,11,20,0.55,55%,13.18,7.25,145,0,Gratuit,Gratuit,13.18,7.25
Tombeau Rocheux,Rock Tomb,14,20,0.7,70%,10.0,7.0,140,1,10.0,7.0,5.0,3.5
Parchemin Secret,Secret Scroll,7,20,0.35,35%,18.0,6.3,126,2,9.0,3.15,6.0,2.1
Sabre Versatile,Versatil Saber,11,20,0.55,55%,11.0,6.05,121,1,11.0,6.05,5.5,3.02
Armure d'Immortel,Immortal Breastplate,8,20,0.4,40%,15.0,6.0,120,1,15.0,6.0,7.5,3.0
Danse Macabre,Dance of Death,15,20,0.75,75%,8.0,6.0,120,1,8.0,6.0,4.0,3.0
Griffes Démoniaques,Demon Claws,6,20,0.3,30%,17.0,5.1,102,1,17.0,5.1,8.5,2.55
Épé Sainte,Holy Sword,10,20,0.5,50%,10.0,5.0,100,0,Gratuit,Gratuit,10.0,5.0
Aveuglement,Incapacitor,16,20,0.8,80%,6.0,4.8,96,3,2.0,1.6,1.5,1.2
Chasseresse d'Âmes,Huntress of Souls,5,20,0.25,25%,19.0,4.75,95,1,19.0,4.75,9.5,2.38
Force Divine,Divine Impetu,7,20,0.35,35%,13.29,4.65,93,0,Gratuit,Gratuit,13.29,4.65
Couronne du Roi Nain,Crown of the Dwarf King,7,20,0.35,35%,13.0,4.55,91,0,Gratuit,Gratuit,13.0,4.55
Marteleur précis,Precise Hammer,5,20,0.25,25%,18.0,4.5,90,1,18.0,4.5,9.0,2.25
Totem du Gardien,Guardian Totem,15,20,0.75,75%,4.27,3.2,64,3,1.42,1.07,1.07,0.8
Faux Parfaite,Perfect Scythe,4,20,0.2,20%,15.0,3.0,60,0,Gratuit,Gratuit,15.0,3.0
Triple Météore,Trimeteor,2,20,0.1,10%,30.0,3.0,60,0,Gratuit,Gratuit,30.0,3.0
Esprit omniprésent,Omnipresent Spirit,3,20,0.15,15%,18.0,2.7,54,2,9.0,1.35,6.0,0.9
Décharge Élémentaire,Elemental Discharge,3,20,0.15,15%,18.0,2.7,54,1,18.0,2.7,9.0,1.35
Ascension Divine,Divine Ascent,2,20,0.1,10%,25.0,2.5,50,3,8.33,0.83,6.25,0.62
Coup de Mort,Death Helper,4,20,0.2,20%,12.25,2.45,49,1,12.25,2.45,6.12,1.23
Assistance Divine,Sacred Help,2,20,0.1,10%,20.0,2.0,40,2,10.0,1.0,6.67,0.67
Griffes Sauvages,Wild Claw,17,20,0.85,85%,2.06,1.75,35,3,0.69,0.58,0.52,0.44
Désintégrateur Magnétique,Magnetic Disintegrator,3,20,0.15,15%,11.0,1.65,33,0,Gratuit,Gratuit,11.0,1.65
Masse de Siège,Siege Mace,1,20,0.05,5%,16.0,0.8,16,0,Gratuit,Gratuit,16.0,0.8
Œil de Lynx,Hawk's Eye,1,20,0.05,5%,10.0,0.5,10,0,Gratuit,Gratuit,10.0,0.5
