,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Faux,Scythe,30,30,1.0,100%,16.07,16.07,482,3,5.36,5.36,4.02,4.02
Totem Équivalent,Equivalent Totem,30,30,1.0,100%,14.83,14.83,445,3,4.94,4.94,3.71,3.71
Hache Frénétique,Berseker Ax,24,30,0.8,80%,16.0,12.8,384,2,8.0,6.4,5.33,4.27
Lame Insatiable,Fast Furious Blade,20,30,0.67,67%,18.0,12.0,360,2,9.0,6.0,6.0,4.0
Lame Affutée,Sharp Blade,28,30,0.93,93%,11.79,11.0,330,3,3.93,3.67,2.95,2.75
Faux Assoiffées,Thirsty Scythes,12,30,0.4,40%,25.0,10.0,300,3,8.33,3.33,6.25,2.5
Armure d'Obsidienne,Obsidian Battle Plate,14,30,0.47,47%,20.0,9.33,280,2,10.0,4.67,6.67,3.11
Sabre Versatile,Versatil Saber,15,30,0.5,50%,18.0,9.0,270,1,18.0,9.0,9.0,4.5
Marteau Collecteur,Collecting Hammer,20,30,0.67,67%,13.3,8.87,266,2,6.65,4.43,4.43,2.96
Aveuglement,Incapacitor,30,30,1.0,100%,8.8,8.8,264,3,2.93,2.93,2.2,2.2
Chasseresse d'Âmes,Huntress of Souls,13,30,0.43,43%,20.0,8.67,260,1,20.0,8.67,10.0,4.33
Griffes Démoniaques,Demon Claws,14,30,0.47,47%,17.0,7.93,238,1,17.0,7.93,8.5,3.96
Esprit Guerrier,Spirit of the Warrior,14,30,0.47,47%,16.0,7.47,224,1,16.0,7.47,8.0,3.73
Parchemin Secret,Secret Scroll,12,30,0.4,40%,18.0,7.2,216,2,9.0,3.6,6.0,2.4
Épée Obscure,Swords of Darkness,10,30,0.33,33%,20.0,6.67,200,1,20.0,6.67,10.0,3.33
Explosion Arcanique,Arcane Explosive,16,30,0.53,53%,12.0,6.4,192,1,12.0,6.4,6.0,3.2
Masse Colossale,Colossal Mace,12,30,0.4,40%,15.0,6.0,180,0,Gratuit,Gratuit,15.0,6.0
Esprit de l'Écuyer,Spirit of the Squire,26,30,0.87,87%,6.81,5.9,177,3,2.27,1.97,1.7,1.48
Enchaînement Éclair,Unstoppable Lightning,8,30,0.27,27%,22.0,5.87,176,2,11.0,2.94,7.33,1.96
Armure d'Immortel,Immortal Breastplate,8,30,0.27,27%,20.0,5.33,160,1,20.0,5.33,10.0,2.67
Couronne du Roi Nain,Crown of the Dwarf King,11,30,0.37,37%,13.0,4.77,143,0,Gratuit,Gratuit,13.0,4.77
Danse Macabre,Dance of Death,14,30,0.47,47%,10.0,4.67,140,1,10.0,4.67,5.0,2.33
Elan de Fureur,Rampage Momentum,9,30,0.3,30%,15.0,4.5,135,1,15.0,4.5,7.5,2.25
Épé Sainte,Holy Sword,9,30,0.3,30%,15.0,4.5,135,0,Gratuit,Gratuit,15.0,4.5
Aura Légendaire,Legend Aura,3,30,0.1,10%,40.0,4.0,120,3,13.33,1.33,10.0,1.0
Bâton de Conquête,Conquering Staff,5,30,0.17,17%,24.0,4.0,120,2,12.0,2.0,8.0,1.33
Esprit omniprésent,Omnipresent Spirit,6,30,0.2,20%,18.0,3.6,108,2,9.0,1.8,6.0,1.2
Totem du Gardien,Guardian Totem,30,30,1.0,100%,3.33,3.33,100,3,1.11,1.11,0.83,0.83
Astéroïde Fatal,Final Asteroid,1,30,0.03,3%,100.0,3.33,100,0,Gratuit,Gratuit,100.0,3.33
Coup de Mort,Death Helper,7,30,0.23,23%,13.0,3.03,91,1,13.0,3.03,6.5,1.51
Faux Parfaite,Perfect Scythe,6,30,0.2,20%,15.0,3.0,90,0,Gratuit,Gratuit,15.0,3.0
Triple Météore,Trimeteor,3,30,0.1,10%,30.0,3.0,90,0,Gratuit,Gratuit,30.0,3.0
Décharge Élémentaire,Elemental Discharge,4,30,0.13,13%,20.0,2.67,80,1,20.0,2.67,10.0,1.33
Pluie de Météorites,Meteorites,1,30,0.03,3%,70.0,2.33,70,0,Gratuit,Gratuit,70.0,2.33
Bâton du Conquérant,Staff of Conquered Worlds,4,30,0.13,13%,15.0,2.0,60,0,Gratuit,Gratuit,15.0,2.0
Griffes Sauvages,Wild Claw,21,30,0.7,70%,2.71,1.9,57,3,0.9,0.63,0.68,0.47
Marteleur précis,Precise Hammer,3,30,0.1,10%,18.0,1.8,54,1,18.0,1.8,9.0,0.9
Force Divine,Divine Impetu,3,30,0.1,10%,15.0,1.5,45,0,Gratuit,Gratuit,15.0,1.5
Gantelet Impérieux,Imperious Gauntlet,2,30,0.07,7%,22.0,1.47,44,1,22.0,1.47,11.0,0.73
Pillard Féroce,Savage Looter,2,30,0.07,7%,20.0,1.33,40,1,20.0,1.33,10.0,0.67
Œil de Lynx,Hawk's Eye,4,30,0.13,13%,8.0,1.07,32,0,Gratuit,Gratuit,8.0,1.07
Soif de Sang,Thirsty Dagger,2,30,0.07,7%,15.0,1.0,30,0,Gratuit,Gratuit,15.0,1.0
Chasseur d'Âmes,Soul Hunter,1,30,0.03,3%,20.0,0.67,20,1,20.0,0.67,10.0,0.34
