,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,20,20,1.0,100%,16.1,16.1,322,2,8.05,8.05,5.37,5.37
Faux,Scythe,20,20,1.0,100%,12.75,12.75,255,3,4.25,4.25,3.19,3.19
Hache Frénétique,Berseker Ax,13,20,0.65,65%,14.0,9.1,182,2,7.0,4.55,4.67,3.03
Lame Affutée,Sharp Blade,18,20,0.9,90%,8.17,7.35,147,3,2.72,2.45,2.04,1.84
Armure d'Obsidienne,Obsidian Battle Plate,6,20,0.3,30%,20.0,6.0,120,2,10.0,3.0,6.67,2.0
Économe Sagesse du Trésorier,Treasurer's Wisdom,7,20,0.35,35%,17.0,5.95,119,2,8.5,2.98,5.67,1.98
Chasseur d'Âmes,Soul Hunter,7,20,0.35,35%,16.43,5.75,115,1,16.43,5.75,8.21,2.88
Esprit de l'Écuyer,Spirit of the Squire,16,20,0.8,80%,7.12,5.7,114,3,2.37,1.9,1.78,1.43
Aveuglement,Incapacitor,20,20,1.0,100%,5.4,5.4,108,3,1.8,1.8,1.35,1.35
Mental d'Acier,Steel Aura,6,20,0.3,30%,18.0,5.4,108,2,9.0,2.7,6.0,1.8
Assistance Divine,Sacred Help,5,20,0.25,25%,20.0,5.0,100,2,10.0,2.5,6.67,1.67
Explosion Arcanique,Arcane Explosive,7,20,0.35,35%,12.0,4.2,84,1,12.0,4.2,6.0,2.1
Marteau Collecteur,Collecting Hammer,8,20,0.4,40%,10.25,4.1,82,2,5.12,2.05,3.42,1.37
Le Marionnettiste,The Puppeteer,4,20,0.2,20%,20.0,4.0,80,2,10.0,2.0,6.67,1.33
Ascension Divine,Divine Ascent,3,20,0.15,15%,25.0,3.75,75,3,8.33,1.25,6.25,0.94
Totem du Gardien,Guardian Totem,20,20,1.0,100%,3.5,3.5,70,3,1.17,1.17,0.88,0.88
Faux Parfaite,Perfect Scythe,4,20,0.2,20%,15.0,3.0,60,0,Gratuit,Gratuit,15.0,3.0
Esprit Guerrier,Spirit of the Warrior,3,20,0.15,15%,16.0,2.4,48,1,16.0,2.4,8.0,1.2
Pillard Féroce,Savage Looter,2,20,0.1,10%,20.0,2.0,40,1,20.0,2.0,10.0,1.0
Être de Lumière,Being of Light,2,20,0.1,10%,18.0,1.8,36,1,18.0,1.8,9.0,0.9
Épée Obscure,Swords of Darkness,2,20,0.1,10%,17.0,1.7,34,1,17.0,1.7,8.5,0.85
Désintégrateur Magnétique,Magnetic Disintegrator,3,20,0.15,15%,11.0,1.65,33,0,Gratuit,Gratuit,11.0,1.65
Danse Macabre,Dance of Death,4,20,0.2,20%,8.0,1.6,32,1,8.0,1.6,4.0,0.8
Soif de Sang,Thirsty Dagger,2,20,0.1,10%,15.0,1.5,30,0,Gratuit,Gratuit,15.0,1.5
Gantelet Impérieux,Imperious Gauntlet,1,20,0.05,5%,30.0,1.5,30,1,30.0,1.5,15.0,0.75
Tombeau Rocheux,Rock Tomb,3,20,0.15,15%,10.0,1.5,30,1,10.0,1.5,5.0,0.75
Triple Météore,Trimeteor,1,20,0.05,5%,30.0,1.5,30,0,Gratuit,Gratuit,30.0,1.5
Œil de Lynx,Hawk's Eye,3,20,0.15,15%,9.33,1.4,28,0,Gratuit,Gratuit,9.33,1.4
Faux Assoiffées,Thirsty Scythes,1,20,0.05,5%,25.0,1.25,25,3,8.33,0.42,6.25,0.31
Sabre Versatile,Versatil Saber,2,20,0.1,10%,11.0,1.1,22,1,11.0,1.1,5.5,0.55
Épé Sainte,Holy Sword,2,20,0.1,10%,10.0,1.0,20,0,Gratuit,Gratuit,10.0,1.0
Coup de Mort,Death Helper,2,20,0.1,10%,10.0,1.0,20,1,10.0,1.0,5.0,0.5
Enchaînement Éclair,Unstoppable Lightning,1,20,0.05,5%,18.0,0.9,18,1,18.0,0.9,9.0,0.45
Marteleur précis,Precise Hammer,1,20,0.05,5%,18.0,0.9,18,1,18.0,0.9,9.0,0.45
Masse Colossale,Colossal Mace,1,20,0.05,5%,15.0,0.75,15,0,Gratuit,Gratuit,15.0,0.75
Elan de Fureur,Rampage Momentum,1,20,0.05,5%,15.0,0.75,15,2,7.5,0.38,5.0,0.25
Griffes Sauvages,Wild Claw,11,20,0.55,55%,1.36,0.75,15,3,0.45,0.25,0.34,0.19
