,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Faux,Scythe,9,9,1.0,100%,17.78,17.78,160,3,5.93,5.93,4.45,4.45
Totem Équivalent,Equivalent Totem,9,9,1.0,100%,15.89,15.89,143,2,7.95,7.95,5.3,5.3
Lame Insatiable,Fast Furious Blade,8,9,0.89,89%,16.0,14.22,128,2,8.0,7.11,5.33,4.74
Faux Assoiffées,Thirsty Scythes,5,9,0.56,56%,25.0,13.89,125,3,8.33,4.63,6.25,3.47
Économe Sagesse du Trésorier,Treasurer's Wisdom,7,9,0.78,78%,17.0,13.22,119,2,8.5,6.61,5.67,4.41
Aveuglement,Incapacitor,9,9,1.0,100%,10.33,10.33,93,3,3.44,3.44,2.58,2.58
Aura Légendaire,Legend Aura,2,9,0.22,22%,40.0,8.89,80,3,13.33,2.96,10.0,2.22
Armure d'Obsidienne,Obsidian Battle Plate,4,9,0.44,44%,20.0,8.89,80,2,10.0,4.45,6.67,2.96
Ascension Divine,Divine Ascent,3,9,0.33,33%,25.0,8.33,75,3,8.33,2.78,6.25,2.08
Lame Affutée,Sharp Blade,7,9,0.78,78%,10.71,8.33,75,3,3.57,2.78,2.68,2.08
Bâton de Conquête,Conquering Staff,3,9,0.33,33%,24.0,8.0,72,2,12.0,4.0,8.0,2.67
Hache Frénétique,Berseker Ax,5,9,0.56,56%,14.0,7.78,70,2,7.0,3.89,4.67,2.59
Marteau Collecteur,Collecting Hammer,5,9,0.56,56%,12.6,7.0,63,2,6.3,3.5,4.2,2.33
Esprit de l'Écuyer,Spirit of the Squire,6,9,0.67,67%,9.0,6.0,54,3,3.0,2.0,2.25,1.5
Parchemin Secret,Secret Scroll,3,9,0.33,33%,18.0,6.0,54,2,9.0,3.0,6.0,2.0
Tombeau Rocheux,Rock Tomb,5,9,0.56,56%,10.0,5.56,50,1,10.0,5.56,5.0,2.78
Armure d'Immortel,Immortal Breastplate,3,9,0.33,33%,16.0,5.33,48,1,16.0,5.33,8.0,2.67
Œil de Lynx,Hawk's Eye,4,9,0.44,44%,10.0,4.44,40,0,Gratuit,Gratuit,10.0,4.44
Chasseur d'Âmes,Soul Hunter,2,9,0.22,22%,20.0,4.44,40,1,20.0,4.44,10.0,2.22
Couronne du Roi Nain,Crown of the Dwarf King,3,9,0.33,33%,13.0,4.33,39,0,Gratuit,Gratuit,13.0,4.33
Totem du Gardien,Guardian Totem,9,9,1.0,100%,4.22,4.22,38,3,1.41,1.41,1.05,1.05
Explosion Arcanique,Arcane Explosive,3,9,0.33,33%,12.0,4.0,36,1,12.0,4.0,6.0,2.0
Enchaînement Éclair,Unstoppable Lightning,2,9,0.22,22%,18.0,4.0,36,1,18.0,4.0,9.0,2.0
Épée Obscure,Swords of Darkness,2,9,0.22,22%,17.0,3.78,34,1,17.0,3.78,8.5,1.89
Faux Parfaite,Perfect Scythe,2,9,0.22,22%,15.0,3.33,30,0,Gratuit,Gratuit,15.0,3.33
Elan de Fureur,Rampage Momentum,2,9,0.22,22%,15.0,3.33,30,2,7.5,1.67,5.0,1.11
Coup de Mort,Death Helper,2,9,0.22,22%,13.0,2.89,26,1,13.0,2.89,6.5,1.45
Bâton du Conquérant,Staff of Conquered Worlds,2,9,0.22,22%,11.0,2.44,22,0,Gratuit,Gratuit,11.0,2.44
Sabre Versatile,Versatil Saber,2,9,0.22,22%,11.0,2.44,22,1,11.0,2.44,5.5,1.22
Épé Sainte,Holy Sword,2,9,0.22,22%,10.0,2.22,20,0,Gratuit,Gratuit,10.0,2.22
Chasseresse d'Âmes,Huntress of Souls,1,9,0.11,11%,19.0,2.11,19,1,19.0,2.11,9.5,1.05
Décharge Élémentaire,Elemental Discharge,1,9,0.11,11%,18.0,2.0,18,1,18.0,2.0,9.0,1.0
Marteleur précis,Precise Hammer,1,9,0.11,11%,18.0,2.0,18,1,18.0,2.0,9.0,1.0
Griffes Démoniaques,Demon Claws,1,9,0.11,11%,17.0,1.89,17,1,17.0,1.89,8.5,0.94
Esprit Guerrier,Spirit of the Warrior,1,9,0.11,11%,16.0,1.78,16,1,16.0,1.78,8.0,0.89
Danse Macabre,Dance of Death,2,9,0.22,22%,8.0,1.78,16,1,8.0,1.78,4.0,0.89
Soif de Sang,Thirsty Dagger,1,9,0.11,11%,15.0,1.67,15,0,Gratuit,Gratuit,15.0,1.67
Force Divine,Divine Impetu,1,9,0.11,11%,15.0,1.67,15,0,Gratuit,Gratuit,15.0,1.67
Griffes Sauvages,Wild Claw,7,9,0.78,78%,1.86,1.44,13,3,0.62,0.48,0.47,0.36
Désintégrateur Magnétique,Magnetic Disintegrator,1,9,0.11,11%,11.0,1.22,11,0,Gratuit,Gratuit,11.0,1.22
