,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Faux,Scythe,12,12,1.0,100%,18.58,18.58,223,3,6.19,6.19,4.64,4.64
Faux Assoiffées,Thirsty Scythes,8,12,0.67,67%,25.0,16.67,200,3,8.33,5.56,6.25,4.17
Totem Équivalent,Equivalent Totem,12,12,1.0,100%,16.5,16.5,198,2,8.25,8.25,5.5,5.5
Armure d'Obsidienne,Obsidian Battle Plate,9,12,0.75,75%,20.0,15.0,180,2,10.0,7.5,6.67,5.0
Ascension Divine,Divine Ascent,7,12,0.58,58%,25.0,14.58,175,3,8.33,4.86,6.25,3.65
Aveuglement,Incapacitor,12,12,1.0,100%,14.5,14.5,174,3,4.83,4.83,3.62,3.62
Lame Affutée,Sharp Blade,12,12,1.0,100%,13.75,13.75,165,3,4.58,4.58,3.44,3.44
Économe Sagesse du Trésorier,Treasurer's Wisdom,9,12,0.75,75%,17.0,12.75,153,2,8.5,6.38,5.67,4.25
Bâton de Conquête,Conquering Staff,6,12,0.5,50%,24.0,12.0,144,2,12.0,6.0,8.0,4.0
Hache Frénétique,Berseker Ax,10,12,0.83,83%,14.0,11.67,140,2,7.0,5.83,4.67,3.89
Épée Obscure,Swords of Darkness,8,12,0.67,67%,17.0,11.33,136,1,17.0,11.33,8.5,5.67
Marteau Collecteur,Collecting Hammer,9,12,0.75,75%,14.11,10.58,127,2,7.05,5.29,4.7,3.53
Lame Insatiable,Fast Furious Blade,7,12,0.58,58%,16.0,9.33,112,2,8.0,4.67,5.33,3.11
Parchemin Secret,Secret Scroll,6,12,0.5,50%,18.0,9.0,108,2,9.0,4.5,6.0,3.0
Esprit de l'Écuyer,Spirit of the Squire,11,12,0.92,92%,9.55,8.75,105,3,3.18,2.92,2.39,2.19
Sabre Versatile,Versatil Saber,9,12,0.75,75%,11.0,8.25,99,1,11.0,8.25,5.5,4.12
Enchaînement Éclair,Unstoppable Lightning,5,12,0.42,42%,18.0,7.5,90,1,18.0,7.5,9.0,3.75
Elan de Fureur,Rampage Momentum,6,12,0.5,50%,15.0,7.5,90,2,7.5,3.75,5.0,2.5
Armure d'Immortel,Immortal Breastplate,6,12,0.5,50%,14.0,7.0,84,1,14.0,7.0,7.0,3.5
Tombeau Rocheux,Rock Tomb,8,12,0.67,67%,10.0,6.67,80,1,10.0,6.67,5.0,3.33
Aura Légendaire,Legend Aura,2,12,0.17,17%,40.0,6.67,80,3,13.33,2.22,10.0,1.67
Explosion Arcanique,Arcane Explosive,6,12,0.5,50%,12.0,6.0,72,1,12.0,6.0,6.0,3.0
Marteleur précis,Precise Hammer,4,12,0.33,33%,18.0,6.0,72,1,18.0,6.0,9.0,3.0
Désintégrateur Magnétique,Magnetic Disintegrator,6,12,0.5,50%,11.0,5.5,66,0,Gratuit,Gratuit,11.0,5.5
Œil de Lynx,Hawk's Eye,8,12,0.67,67%,8.25,5.5,66,0,Gratuit,Gratuit,8.25,5.5
Danse Macabre,Dance of Death,8,12,0.67,67%,8.0,5.33,64,1,8.0,5.33,4.0,2.67
Chasseresse d'Âmes,Huntress of Souls,3,12,0.25,25%,19.0,4.75,57,1,19.0,4.75,9.5,2.38
Totem du Gardien,Guardian Totem,12,12,1.0,100%,4.58,4.58,55,3,1.53,1.53,1.15,1.15
Force Divine,Divine Impetu,5,12,0.42,42%,11.0,4.58,55,0,Gratuit,Gratuit,11.0,4.58
Esprit omniprésent,Omnipresent Spirit,3,12,0.25,25%,18.0,4.5,54,2,9.0,2.25,6.0,1.5
Griffes Démoniaques,Demon Claws,3,12,0.25,25%,17.0,4.25,51,1,17.0,4.25,8.5,2.12
Esprit Guerrier,Spirit of the Warrior,3,12,0.25,25%,16.0,4.0,48,1,16.0,4.0,8.0,2.0
Masse Colossale,Colossal Mace,4,12,0.33,33%,12.0,4.0,48,0,Gratuit,Gratuit,12.0,4.0
Soif de Sang,Thirsty Dagger,3,12,0.25,25%,15.0,3.75,45,0,Gratuit,Gratuit,15.0,3.75
Faux Parfaite,Perfect Scythe,3,12,0.25,25%,15.0,3.75,45,0,Gratuit,Gratuit,15.0,3.75
Griffes Sauvages,Wild Claw,11,12,0.92,92%,4.0,3.67,44,3,1.33,1.22,1.0,0.92
Coup de Mort,Death Helper,4,12,0.33,33%,10.75,3.58,43,1,10.75,3.58,5.38,1.79
Assistance Divine,Sacred Help,2,12,0.17,17%,20.0,3.33,40,2,10.0,1.67,6.67,1.11
Couronne du Roi Nain,Crown of the Dwarf King,3,12,0.25,25%,13.0,3.25,39,0,Gratuit,Gratuit,13.0,3.25
Bâton du Conquérant,Staff of Conquered Worlds,3,12,0.25,25%,11.0,2.75,33,0,Gratuit,Gratuit,11.0,2.75
Gantelet Impérieux,Imperious Gauntlet,1,12,0.08,8%,30.0,2.5,30,1,30.0,2.5,15.0,1.25
Amulette Omnisciente,Omnipresent Amulet,2,12,0.17,17%,11.0,1.83,22,0,Gratuit,Gratuit,11.0,1.83
Pillard Féroce,Savage Looter,1,12,0.08,8%,20.0,1.67,20,1,20.0,1.67,10.0,0.83
Épé Sainte,Holy Sword,2,12,0.17,17%,10.0,1.67,20,0,Gratuit,Gratuit,10.0,1.67
Décharge Élémentaire,Elemental Discharge,1,12,0.08,8%,18.0,1.5,18,1,18.0,1.5,9.0,0.75
Masse de Siège,Siege Mace,1,12,0.08,8%,16.0,1.33,16,0,Gratuit,Gratuit,16.0,1.33
