,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Marteau Collecteur,Collecting Hammer,4,5,0.8,80%,33.25,26.6,133,2,16.62,13.3,11.08,8.87
Armure d'Obsidienne,Obsidian Battle Plate,5,5,1.0,100%,20.0,20.0,100,2,10.0,10.0,6.67,6.67
Aura Légendaire,Legend Aura,2,5,0.4,40%,40.0,16.0,80,3,13.33,5.33,10.0,4.0
Lame Affutée,Sharp Blade,5,5,1.0,100%,15.6,15.6,78,3,5.2,5.2,3.9,3.9
Faux,Scythe,5,5,1.0,100%,15.0,15.0,75,3,5.0,5.0,3.75,3.75
Totem Équivalent,Equivalent Totem,5,5,1.0,100%,14.8,14.8,74,2,7.4,7.4,4.93,4.93
Marteleur précis,Precise Hammer,4,5,0.8,80%,18.0,14.4,72,1,18.0,14.4,9.0,7.2
Hache Frénétique,Berseker Ax,5,5,1.0,100%,14.0,14.0,70,2,7.0,7.0,4.67,4.67
Lame Insatiable,Fast Furious Blade,4,5,0.8,80%,16.0,12.8,64,2,8.0,6.4,5.33,4.27
Gantelet Impérieux,Imperious Gauntlet,2,5,0.4,40%,30.0,12.0,60,1,30.0,12.0,15.0,6.0
Parchemin Secret,Secret Scroll,3,5,0.6,60%,18.0,10.8,54,2,9.0,5.4,6.0,3.6
Enchaînement Éclair,Unstoppable Lightning,3,5,0.6,60%,18.0,10.8,54,1,18.0,10.8,9.0,5.4
Épée Obscure,Swords of Darkness,3,5,0.6,60%,17.0,10.2,51,1,17.0,10.2,8.5,5.1
Faux Assoiffées,Thirsty Scythes,2,5,0.4,40%,25.0,10.0,50,3,8.33,3.33,6.25,2.5
Esprit Guerrier,Spirit of the Warrior,3,5,0.6,60%,16.0,9.6,48,1,16.0,9.6,8.0,4.8
Explosion Arcanique,Arcane Explosive,4,5,0.8,80%,12.0,9.6,48,1,12.0,9.6,6.0,4.8
Armure d'Immortel,Immortal Breastplate,3,5,0.6,60%,16.0,9.6,48,1,16.0,9.6,8.0,4.8
Elan de Fureur,Rampage Momentum,3,5,0.6,60%,15.0,9.0,45,2,7.5,4.5,5.0,3.0
Sabre Versatile,Versatil Saber,4,5,0.8,80%,11.0,8.8,44,1,11.0,8.8,5.5,4.4
Tombeau Rocheux,Rock Tomb,4,5,0.8,80%,10.0,8.0,40,1,10.0,8.0,5.0,4.0
Pillard Féroce,Savage Looter,2,5,0.4,40%,20.0,8.0,40,1,20.0,8.0,10.0,4.0
Couronne du Roi Nain,Crown of the Dwarf King,3,5,0.6,60%,13.0,7.8,39,0,Gratuit,Gratuit,13.0,7.8
Esprit de l'Écuyer,Spirit of the Squire,4,5,0.8,80%,9.75,7.8,39,3,3.25,2.6,2.44,1.95
Aveuglement,Incapacitor,5,5,1.0,100%,7.8,7.8,39,3,2.6,2.6,1.95,1.95
Chasseresse d'Âmes,Huntress of Souls,2,5,0.4,40%,19.0,7.6,38,1,19.0,7.6,9.5,3.8
Économe Sagesse du Trésorier,Treasurer's Wisdom,2,5,0.4,40%,17.0,6.8,34,2,8.5,3.4,5.67,2.27
Griffes Démoniaques,Demon Claws,2,5,0.4,40%,17.0,6.8,34,1,17.0,6.8,8.5,3.4
Masse Colossale,Colossal Mace,2,5,0.4,40%,15.0,6.0,30,0,Gratuit,Gratuit,15.0,6.0
Danse Macabre,Dance of Death,3,5,0.6,60%,8.0,4.8,24,1,8.0,4.8,4.0,2.4
Totem du Gardien,Guardian Totem,5,5,1.0,100%,4.4,4.4,22,3,1.47,1.47,1.1,1.1
Épé Sainte,Holy Sword,2,5,0.4,40%,10.0,4.0,20,0,Gratuit,Gratuit,10.0,4.0
Griffes Sauvages,Wild Claw,5,5,1.0,100%,3.6,3.6,18,3,1.2,1.2,0.9,0.9
Décharge Élémentaire,Elemental Discharge,1,5,0.2,20%,18.0,3.6,18,1,18.0,3.6,9.0,1.8
Masse de Siège,Siege Mace,1,5,0.2,20%,16.0,3.2,16,0,Gratuit,Gratuit,16.0,3.2
Faux Parfaite,Perfect Scythe,1,5,0.2,20%,15.0,3.0,15,0,Gratuit,Gratuit,15.0,3.0
Force Divine,Divine Impetu,1,5,0.2,20%,15.0,3.0,15,0,Gratuit,Gratuit,15.0,3.0
Coup de Mort,Death Helper,1,5,0.2,20%,13.0,2.6,13,1,13.0,2.6,6.5,1.3
Œil de Lynx,Hawk's Eye,1,5,0.2,20%,10.0,2.0,10,0,Gratuit,Gratuit,10.0,2.0
