,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Écailles Magiques,Magic Scales,5,9,0.56,56%,25.0,13.89,125,2,12.5,6.95,8.33,4.63
Perce-Écailles,Scale Tearer,7,9,0.78,78%,16.0,12.44,112,3,5.33,4.15,4.0,3.11
Esprit de la Faille,Spirit of the Rift,4,9,0.44,44%,25.0,11.11,100,2,12.5,5.55,8.33,3.7
Marteau Dévastateur,Destroyer Hammer,9,9,1.0,100%,8.67,8.67,78,2,4.33,4.33,2.89,2.89
Masque du Baron,Baron' s Mask,3,9,0.33,33%,25.0,8.33,75,2,12.5,4.17,8.33,2.78
Chasse au Gros,Big Worm Hunter,4,9,0.44,44%,18.75,8.33,75,3,6.25,2.78,4.69,2.08
L'Oeil du Héraut,Eye of the Void,7,9,0.78,78%,10.29,8.0,72,0,Gratuit,Gratuit,10.29,8.0
Marteau Conquérant,Conquest Hammer,2,9,0.22,22%,22.0,4.89,44,3,7.33,1.63,5.5,1.22
Première Ligne,First Line,5,9,0.56,56%,8.0,4.44,40,0,Gratuit,Gratuit,8.0,4.44
Âme de Dragon Élémentaire,Elemental Dragon Soul,1,9,0.11,11%,25.0,2.78,25,1,25.0,2.78,12.5,1.39
Sceau Profanateur,Seal of Desecration,1,9,0.11,11%,24.0,2.67,24,2,12.0,1.33,8.0,0.89
Poigne d'Or,Golden Force,1,9,0.11,11%,20.0,2.22,20,1,20.0,2.22,10.0,1.11
Gardien Sous-terrain,Underworld Guardian,1,9,0.11,11%,18.0,2.0,18,1,18.0,2.0,9.0,1.0
Protection Royale,Royal Protector,1,9,0.11,11%,17.0,1.89,17,1,17.0,1.89,8.5,0.94
Frappes Éclair,Light Swords,1,9,0.11,11%,12.0,1.33,12,0,Gratuit,Gratuit,12.0,1.33
