,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Perce-Écailles,Scale Tearer,6,6,1.0,100%,19.83,19.83,119,3,6.61,6.61,4.96,4.96
Masque du Baron,Baron' s Mask,4,6,0.67,67%,25.0,16.67,100,2,12.5,8.34,8.33,5.56
Écailles Magiques,Magic Scales,4,6,0.67,67%,25.0,16.67,100,2,12.5,8.34,8.33,5.56
Poigne d'Or,Golden Force,4,6,0.67,67%,23.0,15.33,92,1,23.0,15.33,11.5,7.67
Chasse au Gros,Big Worm Hunter,4,6,0.67,67%,22.5,15.0,90,3,7.5,5.0,5.62,3.75
Folie Meurtrière,Killer Momentum,4,6,0.67,67%,22.0,14.67,88,0,Gratuit,Gratuit,22.0,14.67
Marteau Conquérant,Conquest Hammer,4,6,0.67,67%,22.0,14.67,88,3,7.33,4.89,5.5,3.67
Marteau Dévastateur,Destroyer Hammer,6,6,1.0,100%,13.67,13.67,82,2,6.83,6.83,4.56,4.56
Esprit de la Faille,Spirit of the Rift,3,6,0.5,50%,25.0,12.5,75,2,12.5,6.25,8.33,4.17
Protection Royale,Royal Protector,4,6,0.67,67%,17.0,11.33,68,1,17.0,11.33,8.5,5.67
Gardien Sous-terrain,Underworld Guardian,4,6,0.67,67%,15.0,10.0,60,1,15.0,10.0,7.5,5.0
Sceau Profanateur,Seal of Desecration,4,6,0.67,67%,12.0,8.0,48,2,6.0,4.0,4.0,2.67
Frappes Éclair,Light Swords,4,6,0.67,67%,12.0,8.0,48,0,Gratuit,Gratuit,12.0,8.0
Première Ligne,First Line,5,6,0.83,83%,8.0,6.67,40,0,Gratuit,Gratuit,8.0,6.67
L'Oeil du Héraut,Eye of the Void,4,6,0.67,67%,9.0,6.0,36,0,Gratuit,Gratuit,9.0,6.0
Âme de Dragon Élémentaire,Elemental Dragon Soul,1,6,0.17,17%,25.0,4.17,25,1,25.0,4.17,12.5,2.08
