,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Perce-Écailles,Scale Tearer,13,13,1.0,100%,23.69,23.69,308,3,7.9,7.9,5.92,5.92
Écailles Magiques,Magic Scales,11,13,0.85,85%,25.0,21.15,275,2,12.5,10.57,8.33,7.05
Chasse au Gros,Big Worm Hunter,11,13,0.85,85%,23.18,19.62,255,3,7.73,6.54,5.79,4.91
Masque du Baron,Baron' s Mask,10,13,0.77,77%,25.0,19.23,250,2,12.5,9.62,8.33,6.41
Marteau Conquérant,Conquest Hammer,11,13,0.85,85%,22.0,18.62,242,3,7.33,6.21,5.5,4.66
Sceau Profanateur,Seal of Desecration,11,13,0.85,85%,21.09,17.85,232,2,10.54,8.93,7.03,5.95
Marteau Dévastateur,Destroyer Hammer,13,13,1.0,100%,17.08,17.08,222,2,8.54,8.54,5.69,5.69
Âme de Dragon Élémentaire,Elemental Dragon Soul,8,13,0.62,62%,25.0,15.38,200,1,25.0,15.38,12.5,7.69
Protection Royale,Royal Protector,10,13,0.77,77%,17.0,13.08,170,1,17.0,13.08,8.5,6.54
Poigne d'Or,Golden Force,6,13,0.46,46%,23.0,10.62,138,1,23.0,10.62,11.5,5.31
L'Oeil du Héraut,Eye of the Void,11,13,0.85,85%,12.27,10.38,135,0,Gratuit,Gratuit,12.27,10.38
Gardien Sous-terrain,Underworld Guardian,9,13,0.69,69%,15.0,10.38,135,1,15.0,10.38,7.5,5.19
Folie Meurtrière,Killer Momentum,6,13,0.46,46%,22.0,10.15,132,0,Gratuit,Gratuit,22.0,10.15
Première Ligne,First Line,13,13,1.0,100%,8.0,8.0,104,0,Gratuit,Gratuit,8.0,8.0
Esprit de la Faille,Spirit of the Rift,4,13,0.31,31%,25.0,7.69,100,2,12.5,3.85,8.33,2.56
Frappes Éclair,Light Swords,8,13,0.62,62%,12.0,7.38,96,0,Gratuit,Gratuit,12.0,7.38
