,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Écailles Magiques,Magic Scales,7,9,0.78,78%,20.0,15.56,140,2,10.0,7.78
Perce-Écailles,Scale Tearer,8,9,0.89,89%,14.25,12.67,114,3,4.75,4.22
Marteau Dévastateur,Destroyer Hammer,7,9,0.78,78%,9.86,7.67,69,3,3.29,2.56
Âme de Dragon Élémentaire,Elemental Dragon Soul,2,9,0.22,22%,25.0,5.56,50,1,25.0,5.56
L'Oeil du Héraut,Eye of the Void,6,9,0.67,67%,8.0,5.33,48,0,Gratuit,Gratuit
Esprit de la Faille,Spirit of the Rift,2,9,0.22,22%,20.0,4.44,40,2,10.0,2.22
Gardien Sous-terrain,Underworld Guardian,2,9,0.22,22%,15.0,3.33,30,1,15.0,3.33
Chasse au Gros,Big Worm Hunter,2,9,0.22,22%,13.0,2.89,26,3,4.33,0.96
Première Ligne,First Line,3,9,0.33,33%,8.0,2.67,24,0,Gratuit,Gratuit
Masque du Baron,Baron' s Mask,1,9,0.11,11%,20.0,2.22,20,2,10.0,1.11
Protection Royale,Royal Protector,1,9,0.11,11%,17.0,1.89,17,1,17.0,1.89
Sceau Profanateur,Seal of Desecration,2,9,0.22,22%,8.0,1.78,16,2,4.0,0.89
