,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Écailles Magiques,Magic Scales,18,25,0.72,72%,23.33,16.8,420,2,11.66,8.4,7.78,5.6
Perce-Écailles,Scale Tearer,23,25,0.92,92%,17.22,15.84,396,3,5.74,5.28,4.3,3.96
Marteau Conquérant,Conquest Hammer,18,25,0.72,72%,22.0,15.84,396,3,7.33,5.28,5.5,3.96
Marteau Dévastateur,Destroyer Hammer,24,25,0.96,96%,14.75,14.16,354,2,7.38,7.08,4.92,4.72
Masque du Baron,Baron' s Mask,14,25,0.56,56%,23.21,13.0,325,2,11.61,6.5,7.74,4.33
Esprit de la Faille,Spirit of the Rift,13,25,0.52,52%,23.08,12.0,300,2,11.54,6.0,7.69,4.0
Poigne d'Or,Golden Force,12,25,0.48,48%,23.0,11.04,276,1,23.0,11.04,11.5,5.52
Protection Royale,Royal Protector,16,25,0.64,64%,17.0,10.88,272,1,17.0,10.88,8.5,5.44
Chasse au Gros,Big Worm Hunter,14,25,0.56,56%,18.43,10.32,258,3,6.14,3.44,4.61,2.58
L'Oeil du Héraut,Eye of the Void,18,25,0.72,72%,13.89,10.0,250,0,Gratuit,Gratuit,13.89,10.0
Gardien Sous-terrain,Underworld Guardian,15,25,0.6,60%,15.0,9.0,225,1,15.0,9.0,7.5,4.5
Sceau Profanateur,Seal of Desecration,17,25,0.68,68%,12.71,8.64,216,2,6.36,4.32,4.24,2.88
Frappes Éclair,Light Swords,16,25,0.64,64%,12.0,7.68,192,0,Gratuit,Gratuit,12.0,7.68
Première Ligne,First Line,22,25,0.88,88%,8.0,7.04,176,0,Gratuit,Gratuit,8.0,7.04
Âme de Dragon Élémentaire,Elemental Dragon Soul,7,25,0.28,28%,25.0,7.0,175,1,25.0,7.0,12.5,3.5
Folie Meurtrière,Killer Momentum,7,25,0.28,28%,24.29,6.8,170,0,Gratuit,Gratuit,24.29,6.8
