,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,16,17,0.94,94%,22.69,21.35,363,3,7.56,7.12
Esprit de la Faille,Spirit of the Rift,12,17,0.71,71%,20.0,14.12,240,2,10.0,7.06
Perce-Écailles,Scale Tearer,16,17,0.94,94%,12.75,12.0,204,3,4.25,4.0
Masque du Baron,Baron' s Mask,9,17,0.53,53%,20.0,10.59,180,2,10.0,5.29
L'Oeil du Héraut,Eye of the Void,13,17,0.76,76%,13.54,10.35,176,0,Gratuit,Gratuit
Marteau Conquérant,Conquest Hammer,9,17,0.53,53%,18.0,9.53,162,1,18.0,9.53
Poigne d'Or,Golden Force,7,17,0.41,41%,23.0,9.47,161,1,23.0,9.47
Protection Royale,Royal Protector,9,17,0.53,53%,17.0,9.0,153,1,17.0,9.0
Chasse au Gros,Big Worm Hunter,10,17,0.59,59%,14.3,8.41,143,3,4.77,2.8
Sceau Profanateur,Seal of Desecration,9,17,0.53,53%,15.11,8.0,136,2,7.55,4.0
Gardien Sous-terrain,Underworld Guardian,9,17,0.53,53%,15.0,7.94,135,1,15.0,7.94
Première Ligne,First Line,15,17,0.88,88%,8.0,7.06,120,0,Gratuit,Gratuit
Brise-remparts,Wall Breaker,4,17,0.24,24%,30.0,7.06,120,0,Gratuit,Gratuit
Écailles Magiques,Magic Scales,5,17,0.29,29%,20.0,5.88,100,2,10.0,2.94
Frappes Éclair,Light Swords,8,17,0.47,47%,12.0,5.65,96,0,Gratuit,Gratuit
Folie Meurtrière,Killer Momentum,3,17,0.18,18%,30.0,5.29,90,0,Gratuit,Gratuit
Âme de Dragon Élémentaire,Elemental Dragon Soul,3,17,0.18,18%,25.0,4.41,75,1,25.0,4.41
Emblème Ancien,Ancient Emblem,1,17,0.06,6%,40.0,2.35,40,3,13.33,0.78
Sceau Draconique Ancestral,Ancestral Dragon Seal,1,17,0.06,6%,35.0,2.06,35,0,Gratuit,Gratuit
Horloge Divine,Divine Compass,1,17,0.06,6%,25.0,1.47,25,0,Gratuit,Gratuit
