,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Masque du Baron,Baron' s Mask,1,1,1.0,100%,25.0,25.0,25,2,12.5,12.5,8.33,8.33
Écailles Magiques,Magic Scales,1,1,1.0,100%,25.0,25.0,25,2,12.5,12.5,8.33,8.33
Folie Meurtrière,Killer Momentum,1,1,1.0,100%,22.0,22.0,22,0,Gratuit,Gratuit,22.0,22.0
Marteau Conquérant,Conquest Hammer,1,1,1.0,100%,22.0,22.0,22,3,7.33,7.33,5.5,5.5
Perce-Écailles,Scale Tearer,1,1,1.0,100%,21.0,21.0,21,3,7.0,7.0,5.25,5.25
Poigne d'Or,Golden Force,1,1,1.0,100%,20.0,20.0,20,1,20.0,20.0,10.0,10.0
Gardien Sous-terrain,Underworld Guardian,1,1,1.0,100%,18.0,18.0,18,1,18.0,18.0,9.0,9.0
Protection Royale,Royal Protector,1,1,1.0,100%,17.0,17.0,17,1,17.0,17.0,8.5,8.5
Marteau Dévastateur,Destroyer Hammer,1,1,1.0,100%,16.0,16.0,16,2,8.0,8.0,5.33,5.33
Chasse au Gros,Big Worm Hunter,1,1,1.0,100%,15.0,15.0,15,3,5.0,5.0,3.75,3.75
Frappes Éclair,Light Swords,1,1,1.0,100%,12.0,12.0,12,0,Gratuit,Gratuit,12.0,12.0
L'Oeil du Héraut,Eye of the Void,1,1,1.0,100%,9.0,9.0,9,0,Gratuit,Gratuit,9.0,9.0
Sceau Profanateur,Seal of Desecration,1,1,1.0,100%,8.0,8.0,8,2,4.0,4.0,2.67,2.67
Première Ligne,First Line,1,1,1.0,100%,8.0,8.0,8,0,Gratuit,Gratuit,8.0,8.0
