,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Assistance Divine,Sacred Help,17,19,0.89,89%,20.0,17.89,340,2,10.0,8.95,6.67,5.96
Totem Équivalent,Equivalent Totem,19,19,1.0,100%,14.53,14.53,276,2,7.26,7.26,4.84,4.84
Griffes Sauvages,Wild Claw,19,19,1.0,100%,14.53,14.53,276,3,4.84,4.84,3.63,3.63
Esprit de l'Écuyer,Spirit of the Squire,18,19,0.95,95%,13.33,12.63,240,3,4.44,4.21,3.33,3.16
Aveuglement,Incapacitor,19,19,1.0,100%,11.37,11.37,216,3,3.79,3.79,2.84,2.84
Armure d'Obsidienne,Obsidian Battle Plate,9,19,0.47,47%,20.0,9.47,180,2,10.0,4.74,6.67,3.16
Tombeau Rocheux,Rock Tomb,17,19,0.89,89%,10.0,8.95,170,1,10.0,8.95,5.0,4.47
Lame Affutée,Sharp Blade,18,19,0.95,95%,9.0,8.53,162,3,3.0,2.84,2.25,2.13
Faux,Scythe,19,19,1.0,100%,8.26,8.26,157,3,2.75,2.75,2.06,2.06
Esprit omniprésent,Omnipresent Spirit,8,19,0.42,42%,18.0,7.58,144,2,9.0,3.79,6.0,2.53
Chasseur de Bêtes,Beast Hunter,8,19,0.42,42%,18.0,7.58,144,2,9.0,3.79,6.0,2.53
Décharge Élémentaire,Elemental Discharge,7,19,0.37,37%,18.0,6.63,126,1,18.0,6.63,9.0,3.31
Bâton de Conquête,Conquering Staff,5,19,0.26,26%,24.0,6.32,120,2,12.0,3.16,8.0,2.11
Coup de Mort,Death Helper,9,19,0.47,47%,13.0,6.16,117,1,13.0,6.16,6.5,3.08
Être de Lumière,Being of Light,6,19,0.32,32%,18.0,5.68,108,1,18.0,5.68,9.0,2.84
Marteau Collecteur,Collecting Hammer,5,19,0.26,26%,21.0,5.53,105,2,10.5,2.77,7.0,1.84
Pillard Féroce,Savage Looter,5,19,0.26,26%,20.0,5.26,100,1,20.0,5.26,10.0,2.63
Sabre Versatile,Versatil Saber,9,19,0.47,47%,11.0,5.21,99,1,11.0,5.21,5.5,2.6
Œil de Lynx,Hawk's Eye,9,19,0.47,47%,10.0,4.74,90,0,Gratuit,Gratuit,10.0,4.74
Bâton du Conquérant,Staff of Conquered Worlds,7,19,0.37,37%,11.0,4.05,77,0,Gratuit,Gratuit,11.0,4.05
Totem du Gardien,Guardian Totem,19,19,1.0,100%,3.89,3.89,74,3,1.3,1.3,0.97,0.97
Esprit Sauvage,Wild Spirit,7,19,0.37,37%,10.0,3.68,70,0,Gratuit,Gratuit,10.0,3.68
Soif de Sang,Thirsty Dagger,4,19,0.21,21%,15.0,3.16,60,0,Gratuit,Gratuit,15.0,3.16
Force Divine,Divine Impetu,4,19,0.21,21%,15.0,3.16,60,0,Gratuit,Gratuit,15.0,3.16
Mental d'Acier,Steel Aura,3,19,0.16,16%,18.0,2.84,54,2,9.0,1.42,6.0,0.95
Épée Obscure,Swords of Darkness,3,19,0.16,16%,17.0,2.68,51,1,17.0,2.68,8.5,1.34
Économe Sagesse du Trésorier,Treasurer's Wisdom,3,19,0.16,16%,17.0,2.68,51,2,8.5,1.34,5.67,0.89
Armure d'Immortel,Immortal Breastplate,3,19,0.16,16%,16.0,2.53,48,1,16.0,2.53,8.0,1.26
Amulette Omnisciente,Omnipresent Amulet,3,19,0.16,16%,15.0,2.37,45,0,Gratuit,Gratuit,15.0,2.37
Hache Frénétique,Berseker Ax,3,19,0.16,16%,14.0,2.21,42,2,7.0,1.1,4.67,0.74
Aura Légendaire,Legend Aura,1,19,0.05,5%,40.0,2.11,40,3,13.33,0.7,10.0,0.53
Danse Macabre,Dance of Death,5,19,0.26,26%,8.0,2.11,40,1,8.0,2.11,4.0,1.05
Chasseur d'Âmes,Soul Hunter,2,19,0.11,11%,20.0,2.11,40,1,20.0,2.11,10.0,1.05
Marteleur précis,Precise Hammer,2,19,0.11,11%,18.0,1.89,36,1,18.0,1.89,9.0,0.94
Elan de Fureur,Rampage Momentum,2,19,0.11,11%,15.0,1.58,30,2,7.5,0.79,5.0,0.53
Ascension Divine,Divine Ascent,1,19,0.05,5%,25.0,1.32,25,3,8.33,0.44,6.25,0.33
Désintégrateur Magnétique,Magnetic Disintegrator,2,19,0.11,11%,11.0,1.16,22,0,Gratuit,Gratuit,11.0,1.16
Enchaînement Éclair,Unstoppable Lightning,1,19,0.05,5%,18.0,0.95,18,1,18.0,0.95,9.0,0.47
Épé Sainte,Holy Sword,1,19,0.05,5%,10.0,0.53,10,0,Gratuit,Gratuit,10.0,0.53
