,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Assistance Divine,Sacred Help,6,8,0.75,75%,20.0,15.0,120,2,10.0,7.5,6.67,5.0
Griffes Sauvages,Wild Claw,8,8,1.0,100%,15.0,15.0,120,3,5.0,5.0,3.75,3.75
Totem Équivalent,Equivalent Totem,8,8,1.0,100%,14.12,14.12,113,3,4.71,4.71,3.53,3.53
Armure d'Obsidienne,Obsidian Battle Plate,5,8,0.62,62%,20.0,12.5,100,2,10.0,6.25,6.67,4.17
Aveuglement,Incapacitor,8,8,1.0,100%,9.75,9.75,78,3,3.25,3.25,2.44,2.44
Faux,Scythe,8,8,1.0,100%,8.5,8.5,68,3,2.83,2.83,2.12,2.12
Marteau Collecteur,Collecting Hammer,3,8,0.38,38%,16.33,6.12,49,2,8.16,3.06,5.44,2.04
Esprit de l'Écuyer,Spirit of the Squire,6,8,0.75,75%,7.5,5.62,45,3,2.5,1.87,1.88,1.41
Le Marionnettiste,The Puppeteer,2,8,0.25,25%,20.0,5.0,40,2,10.0,2.5,6.67,1.67
Chasseur de Bêtes,Beast Hunter,2,8,0.25,25%,18.0,4.5,36,2,9.0,2.25,6.0,1.5
Totem du Gardien,Guardian Totem,8,8,1.0,100%,4.12,4.12,33,3,1.37,1.37,1.03,1.03
Œil de Lynx,Hawk's Eye,4,8,0.5,50%,8.0,4.0,32,0,Gratuit,Gratuit,8.0,4.0
Lame Affutée,Sharp Blade,6,8,0.75,75%,5.0,3.75,30,3,1.67,1.25,1.25,0.94
Bâton du Conquérant,Staff of Conquered Worlds,2,8,0.25,25%,15.0,3.75,30,0,Gratuit,Gratuit,15.0,3.75
Soif de Sang,Thirsty Dagger,2,8,0.25,25%,15.0,3.75,30,0,Gratuit,Gratuit,15.0,3.75
Coup de Mort,Death Helper,2,8,0.25,25%,13.0,3.25,26,1,13.0,3.25,6.5,1.62
Bâton de Conquête,Conquering Staff,1,8,0.12,12%,24.0,3.0,24,2,12.0,1.5,8.0,1.0
Pillard Féroce,Savage Looter,1,8,0.12,12%,20.0,2.5,20,1,20.0,2.5,10.0,1.25
Chasseur d'Âmes,Soul Hunter,1,8,0.12,12%,20.0,2.5,20,1,20.0,2.5,10.0,1.25
Sabre Versatile,Versatil Saber,1,8,0.12,12%,18.0,2.25,18,1,18.0,2.25,9.0,1.12
Adrénaline Arcanique,Arcane Adrenaline,1,8,0.12,12%,16.0,2.0,16,1,16.0,2.0,8.0,1.0
Esprit Sauvage,Wild Spirit,2,8,0.25,25%,8.0,2.0,16,0,Gratuit,Gratuit,8.0,2.0
Hache Frénétique,Berseker Ax,1,8,0.12,12%,16.0,2.0,16,2,8.0,1.0,5.33,0.67
