,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Assistance Divine,Sacred Help,21,22,0.95,95%,20.0,19.09,420,2,10.0,9.54,6.67,6.36
Pillard Féroce,Savage Looter,18,22,0.82,82%,20.0,16.36,360,1,20.0,16.36,10.0,8.18
Chasseur de Bêtes,Beast Hunter,20,22,0.91,91%,18.0,16.36,360,2,9.0,8.18,6.0,5.45
Griffes Sauvages,Wild Claw,22,22,1.0,100%,15.68,15.68,345,3,5.23,5.23,3.92,3.92
Totem Équivalent,Equivalent Totem,22,22,1.0,100%,14.23,14.23,313,2,7.12,7.12,4.74,4.74
Décharge Élémentaire,Elemental Discharge,14,22,0.64,64%,18.0,11.45,252,1,18.0,11.45,9.0,5.72
Marteau Collecteur,Collecting Hammer,16,22,0.73,73%,15.75,11.45,252,2,7.88,5.72,5.25,3.82
Armure d'Obsidienne,Obsidian Battle Plate,12,22,0.55,55%,20.0,10.91,240,2,10.0,5.46,6.67,3.64
Lame Affutée,Sharp Blade,21,22,0.95,95%,11.43,10.91,240,3,3.81,3.64,2.86,2.73
Esprit de l'Écuyer,Spirit of the Squire,20,22,0.91,91%,11.25,10.23,225,3,3.75,3.41,2.81,2.56
Tombeau Rocheux,Rock Tomb,22,22,1.0,100%,10.0,10.0,220,1,10.0,10.0,5.0,5.0
Être de Lumière,Being of Light,12,22,0.55,55%,18.0,9.82,216,1,18.0,9.82,9.0,4.91
Faux,Scythe,22,22,1.0,100%,9.09,9.09,200,3,3.03,3.03,2.27,2.27
Aveuglement,Incapacitor,22,22,1.0,100%,8.45,8.45,186,3,2.82,2.82,2.11,2.11
Mental d'Acier,Steel Aura,8,22,0.36,36%,18.0,6.55,144,2,9.0,3.27,6.0,2.18
Coup de Mort,Death Helper,11,22,0.5,50%,13.0,6.5,143,1,13.0,6.5,6.5,3.25
Sabre Versatile,Versatil Saber,12,22,0.55,55%,11.0,6.0,132,1,11.0,6.0,5.5,3.0
Esprit Sauvage,Wild Spirit,13,22,0.59,59%,10.0,5.91,130,0,Gratuit,Gratuit,10.0,5.91
Enchaînement Éclair,Unstoppable Lightning,7,22,0.32,32%,18.0,5.73,126,1,18.0,5.73,9.0,2.87
Aura Légendaire,Legend Aura,3,22,0.14,14%,40.0,5.45,120,3,13.33,1.82,10.0,1.36
Elan de Fureur,Rampage Momentum,8,22,0.36,36%,15.0,5.45,120,2,7.5,2.73,5.0,1.82
Armure d'Immortel,Immortal Breastplate,6,22,0.27,27%,16.0,4.36,96,1,16.0,4.36,8.0,2.18
Œil de Lynx,Hawk's Eye,9,22,0.41,41%,10.0,4.09,90,0,Gratuit,Gratuit,10.0,4.09
Force Divine,Divine Impetu,6,22,0.27,27%,15.0,4.09,90,0,Gratuit,Gratuit,15.0,4.09
Danse Macabre,Dance of Death,11,22,0.5,50%,8.0,4.0,88,1,8.0,4.0,4.0,2.0
Épée Obscure,Swords of Darkness,5,22,0.23,23%,17.0,3.86,85,1,17.0,3.86,8.5,1.93
