,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Le Traqueur,The Stalker,15,16,0.94,94%,20.0,18.75,300,3,6.67,6.25,5.0,4.69
Totem du Gardien,Guardian Totem,16,16,1.0,100%,17.88,17.88,286,3,5.96,5.96,4.47,4.47
Esprit de l'Écuyer,Spirit of the Squire,14,16,0.88,88%,16.5,14.44,231,3,5.5,4.81,4.12,3.61
Armure d'Obsidienne,Obsidian Battle Plate,10,16,0.62,62%,20.0,12.5,200,2,10.0,6.25,6.67,4.17
Totem Équivalent,Equivalent Totem,16,16,1.0,100%,12.19,12.19,195,3,4.06,4.06,3.05,3.05
Le Visionnaire,The Visionary,9,16,0.56,56%,18.0,10.12,162,2,9.0,5.06,6.0,3.37
Sabre Versatile,Versatil Saber,9,16,0.56,56%,18.0,10.12,162,1,18.0,10.12,9.0,5.06
Vision Céleste,Heavenly Vision,8,16,0.5,50%,20.0,10.0,160,2,10.0,5.0,6.67,3.33
Coup de Mort,Death Helper,12,16,0.75,75%,13.0,9.75,156,1,13.0,9.75,6.5,4.88
Œil de Lynx,Hawk's Eye,16,16,1.0,100%,8.0,8.0,128,0,Gratuit,Gratuit,8.0,8.0
Aveuglement,Incapacitor,15,16,0.94,94%,7.6,7.12,114,3,2.53,2.37,1.9,1.78
Esprit omniprésent,Omnipresent Spirit,6,16,0.38,38%,18.0,6.75,108,2,9.0,3.38,6.0,2.25
Assistance Divine,Sacred Help,5,16,0.31,31%,20.0,6.25,100,2,10.0,3.12,6.67,2.08
Marteau Collecteur,Collecting Hammer,8,16,0.5,50%,11.38,5.69,91,2,5.69,2.85,3.79,1.9
Amulette Omnisciente,Omnipresent Amulet,5,16,0.31,31%,15.0,4.69,75,0,Gratuit,Gratuit,15.0,4.69
Force Divine,Divine Impetu,3,16,0.19,19%,15.0,2.81,45,0,Gratuit,Gratuit,15.0,2.81
Armure d'Immortel,Immortal Breastplate,2,16,0.12,12%,20.0,2.5,40,1,20.0,2.5,10.0,1.25
Bâton de Conquête,Conquering Staff,1,16,0.06,6%,24.0,1.5,24,2,12.0,0.75,8.0,0.5
Le Marionnettiste,The Puppeteer,1,16,0.06,6%,20.0,1.25,20,2,10.0,0.62,6.67,0.42
Faux,Scythe,13,16,0.81,81%,1.23,1.0,16,3,0.41,0.33,0.31,0.25
Lame Affutée,Sharp Blade,4,16,0.25,25%,3.0,0.75,12,3,1.0,0.25,0.75,0.19
