,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem du Gardien,Guardian Totem,17,17,1.0,100%,17.88,17.88,304,3,5.96,5.96,4.47,4.47
Le Traqueur,The Stalker,15,17,0.88,88%,17.6,15.53,264,3,5.87,5.18,4.4,3.88
Le Visionnaire,The Visionary,13,17,0.76,76%,18.0,13.76,234,2,9.0,6.88,6.0,4.59
Totem Équivalent,Equivalent Totem,17,17,1.0,100%,12.0,12.0,204,2,6.0,6.0,4.0,4.0
Esprit de l'Écuyer,Spirit of the Squire,15,17,0.88,88%,13.4,11.82,201,3,4.47,3.94,3.35,2.96
Marteau Collecteur,Collecting Hammer,11,17,0.65,65%,17.0,11.0,187,2,8.5,5.5,5.67,3.67
Vision Céleste,Heavenly Vision,8,17,0.47,47%,22.0,10.35,176,2,11.0,5.17,7.33,3.45
Œil de Lynx,Hawk's Eye,17,17,1.0,100%,8.94,8.94,152,0,Gratuit,Gratuit,8.94,8.94
Aveuglement,Incapacitor,17,17,1.0,100%,8.65,8.65,147,3,2.88,2.88,2.16,2.16
Armure d'Obsidienne,Obsidian Battle Plate,6,17,0.35,35%,20.0,7.06,120,2,10.0,3.53,6.67,2.35
Coup de Mort,Death Helper,9,17,0.53,53%,11.33,6.0,102,1,11.33,6.0,5.67,3.0
Le Marionnettiste,The Puppeteer,5,17,0.29,29%,20.0,5.88,100,2,10.0,2.94,6.67,1.96
Assistance Divine,Sacred Help,5,17,0.29,29%,20.0,5.88,100,2,10.0,2.94,6.67,1.96
Bâton de Conquête,Conquering Staff,4,17,0.24,24%,24.0,5.65,96,2,12.0,2.83,8.0,1.88
Esprit omniprésent,Omnipresent Spirit,5,17,0.29,29%,18.0,5.29,90,2,9.0,2.65,6.0,1.76
Masse de Siège,Siege Mace,4,17,0.24,24%,16.0,3.76,64,0,Gratuit,Gratuit,16.0,3.76
Sabre Versatile,Versatil Saber,5,17,0.29,29%,11.0,3.24,55,1,11.0,3.24,5.5,1.62
Lame Affutée,Sharp Blade,11,17,0.65,65%,4.91,3.18,54,3,1.64,1.06,1.23,0.8
Amulette Omnisciente,Omnipresent Amulet,4,17,0.24,24%,12.0,2.82,48,0,Gratuit,Gratuit,12.0,2.82
Force Divine,Divine Impetu,3,17,0.18,18%,12.33,2.18,37,0,Gratuit,Gratuit,12.33,2.18
Marteleur précis,Precise Hammer,2,17,0.12,12%,18.0,2.12,36,1,18.0,2.12,9.0,1.06
Être de Lumière,Being of Light,2,17,0.12,12%,18.0,2.12,36,1,18.0,2.12,9.0,1.06
Armure d'Immortel,Immortal Breastplate,2,17,0.12,12%,15.0,1.76,30,1,15.0,1.76,7.5,0.88
Bâton du Conquérant,Staff of Conquered Worlds,2,17,0.12,12%,11.0,1.29,22,0,Gratuit,Gratuit,11.0,1.29
Soif de Sang,Thirsty Dagger,1,17,0.06,6%,15.0,0.88,15,0,Gratuit,Gratuit,15.0,0.88
Elan de Fureur,Rampage Momentum,1,17,0.06,6%,15.0,0.88,15,2,7.5,0.44,5.0,0.29
Faux,Scythe,10,17,0.59,59%,1.2,0.71,12,3,0.4,0.24,0.3,0.18
Danse Macabre,Dance of Death,1,17,0.06,6%,8.0,0.47,8,1,8.0,0.47,4.0,0.23
