,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Le Traqueur,The Stalker,5,5,1.0,100%,20.0,20.0,100,3,6.67,6.67,5.0,5.0
Totem du Gardien,Guardian Totem,5,5,1.0,100%,15.4,15.4,77,3,5.13,5.13,3.85,3.85
Totem Équivalent,Equivalent Totem,5,5,1.0,100%,11.6,11.6,58,2,5.8,5.8,3.87,3.87
Œil de Lynx,Hawk's Eye,5,5,1.0,100%,10.0,10.0,50,0,Gratuit,Gratuit,10.0,10.0
Esprit de l'Écuyer,Spirit of the Squire,4,5,0.8,80%,12.0,9.6,48,3,4.0,3.2,3.0,2.4
Aveuglement,Incapacitor,5,5,1.0,100%,8.4,8.4,42,3,2.8,2.8,2.1,2.1
Le Marionnettiste,The Puppeteer,2,5,0.4,40%,20.0,8.0,40,2,10.0,4.0,6.67,2.67
Le Visionnaire,The Visionary,2,5,0.4,40%,18.0,7.2,36,2,9.0,3.6,6.0,2.4
Coup de Mort,Death Helper,2,5,0.4,40%,13.0,5.2,26,1,13.0,5.2,6.5,2.6
Bâton de Conquête,Conquering Staff,1,5,0.2,20%,24.0,4.8,24,2,12.0,2.4,8.0,1.6
Vision Céleste,Heavenly Vision,1,5,0.2,20%,22.0,4.4,22,2,11.0,2.2,7.33,1.47
Armure d'Obsidienne,Obsidian Battle Plate,1,5,0.2,20%,20.0,4.0,20,2,10.0,2.0,6.67,1.33
Assistance Divine,Sacred Help,1,5,0.2,20%,20.0,4.0,20,2,10.0,2.0,6.67,1.33
Être de Lumière,Being of Light,1,5,0.2,20%,18.0,3.6,18,1,18.0,3.6,9.0,1.8
Lame Affutée,Sharp Blade,5,5,1.0,100%,3.6,3.6,18,3,1.2,1.2,0.9,0.9
Armure d'Immortel,Immortal Breastplate,1,5,0.2,20%,16.0,3.2,16,1,16.0,3.2,8.0,1.6
Amulette Omnisciente,Omnipresent Amulet,1,5,0.2,20%,15.0,3.0,15,0,Gratuit,Gratuit,15.0,3.0
Force Divine,Divine Impetu,1,5,0.2,20%,15.0,3.0,15,0,Gratuit,Gratuit,15.0,3.0
Sabre Versatile,Versatil Saber,1,5,0.2,20%,11.0,2.2,11,1,11.0,2.2,5.5,1.1
Faux,Scythe,4,5,0.8,80%,1.0,0.8,4,3,0.33,0.27,0.25,0.2
