,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Le Traqueur,The Stalker,8,9,0.89,89%,20.0,17.78,160,3,6.67,5.93,5.0,4.45
Totem du Gardien,Guardian Totem,9,9,1.0,100%,17.0,17.0,153,3,5.67,5.67,4.25,4.25
Esprit de l'Écuyer,Spirit of the Squire,9,9,1.0,100%,14.0,14.0,126,3,4.67,4.67,3.5,3.5
Armure d'Obsidienne,Obsidian Battle Plate,6,9,0.67,67%,20.0,13.33,120,2,10.0,6.67,6.67,4.44
Totem Équivalent,Equivalent Totem,9,9,1.0,100%,12.56,12.56,113,3,4.19,4.19,3.14,3.14
Le Visionnaire,The Visionary,6,9,0.67,67%,18.0,12.0,108,2,9.0,6.0,6.0,4.0
Œil de Lynx,Hawk's Eye,9,9,1.0,100%,8.0,8.0,72,0,Gratuit,Gratuit,8.0,8.0
Sabre Versatile,Versatil Saber,4,9,0.44,44%,18.0,8.0,72,1,18.0,8.0,9.0,4.0
Coup de Mort,Death Helper,5,9,0.56,56%,13.0,7.22,65,1,13.0,7.22,6.5,3.61
Amulette Omnisciente,Omnipresent Amulet,4,9,0.44,44%,15.0,6.67,60,0,Gratuit,Gratuit,15.0,6.67
Vision Céleste,Heavenly Vision,3,9,0.33,33%,20.0,6.67,60,2,10.0,3.33,6.67,2.22
Armure d'Immortel,Immortal Breastplate,3,9,0.33,33%,20.0,6.67,60,1,20.0,6.67,10.0,3.33
Esprit omniprésent,Omnipresent Spirit,3,9,0.33,33%,18.0,6.0,54,2,9.0,3.0,6.0,2.0
Force Divine,Divine Impetu,3,9,0.33,33%,15.0,5.0,45,0,Gratuit,Gratuit,15.0,5.0
Assistance Divine,Sacred Help,2,9,0.22,22%,20.0,4.44,40,2,10.0,2.22,6.67,1.48
Marteau Collecteur,Collecting Hammer,3,9,0.33,33%,11.67,3.89,35,2,5.83,1.95,3.89,1.3
Lame Affutée,Sharp Blade,5,9,0.56,56%,6.6,3.67,33,3,2.2,1.22,1.65,0.92
Aveuglement,Incapacitor,6,9,0.67,67%,4.5,3.0,27,3,1.5,1.0,1.12,0.75
Être de Lumière,Being of Light,1,9,0.11,11%,20.0,2.22,20,1,20.0,2.22,10.0,1.11
Danse Macabre,Dance of Death,2,9,0.22,22%,10.0,2.22,20,1,10.0,2.22,5.0,1.11
Soif de Sang,Thirsty Dagger,1,9,0.11,11%,15.0,1.67,15,0,Gratuit,Gratuit,15.0,1.67
Elan de Fureur,Rampage Momentum,1,9,0.11,11%,15.0,1.67,15,1,15.0,1.67,7.5,0.83
Faux,Scythe,7,9,0.78,78%,1.0,0.78,7,3,0.33,0.26,0.25,0.2
