,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Esprit de l'Écuyer,Spirit of the Squire,18,18,1.0,100%,21.33,21.33,384,3,7.11,7.11,5.33,5.33
Le Traqueur,The Stalker,17,18,0.94,94%,20.0,18.89,340,3,6.67,6.3,5.0,4.72
Totem du Gardien,Guardian Totem,18,18,1.0,100%,16.89,16.89,304,3,5.63,5.63,4.22,4.22
Vision Céleste,Heavenly Vision,14,18,0.78,78%,20.0,15.56,280,2,10.0,7.78,6.67,5.19
Totem Équivalent,Equivalent Totem,18,18,1.0,100%,12.89,12.89,232,3,4.3,4.3,3.22,3.22
Le Visionnaire,The Visionary,12,18,0.67,67%,18.0,12.0,216,2,9.0,6.0,6.0,4.0
Sabre Versatile,Versatil Saber,11,18,0.61,61%,18.0,11.0,198,1,18.0,11.0,9.0,5.5
Coup de Mort,Death Helper,15,18,0.83,83%,13.0,10.83,195,1,13.0,10.83,6.5,5.42
Amulette Omnisciente,Omnipresent Amulet,12,18,0.67,67%,15.0,10.0,180,0,Gratuit,Gratuit,15.0,10.0
Armure d'Obsidienne,Obsidian Battle Plate,9,18,0.5,50%,20.0,10.0,180,2,10.0,5.0,6.67,3.33
Aveuglement,Incapacitor,18,18,1.0,100%,9.67,9.67,174,3,3.22,3.22,2.42,2.42
Esprit omniprésent,Omnipresent Spirit,8,18,0.44,44%,18.0,8.0,144,2,9.0,4.0,6.0,2.67
Œil de Lynx,Hawk's Eye,18,18,1.0,100%,8.0,8.0,144,0,Gratuit,Gratuit,8.0,8.0
Assistance Divine,Sacred Help,5,18,0.28,28%,20.0,5.56,100,2,10.0,2.78,6.67,1.85
Marteau Collecteur,Collecting Hammer,9,18,0.5,50%,10.11,5.06,91,2,5.05,2.53,3.37,1.69
Force Divine,Divine Impetu,6,18,0.33,33%,15.0,5.0,90,0,Gratuit,Gratuit,15.0,5.0
Armure d'Immortel,Immortal Breastplate,4,18,0.22,22%,20.0,4.44,80,1,20.0,4.44,10.0,2.22
Le Marionnettiste,The Puppeteer,3,18,0.17,17%,20.0,3.33,60,2,10.0,1.67,6.67,1.11
Bâton de Conquête,Conquering Staff,2,18,0.11,11%,24.0,2.67,48,2,12.0,1.33,8.0,0.89
Bâton du Conquérant,Staff of Conquered Worlds,3,18,0.17,17%,15.0,2.5,45,0,Gratuit,Gratuit,15.0,2.5
Lame Affutée,Sharp Blade,6,18,0.33,33%,5.0,1.67,30,3,1.67,0.56,1.25,0.42
Épée Obscure,Swords of Darkness,1,18,0.06,6%,20.0,1.11,20,1,20.0,1.11,10.0,0.56
Faux,Scythe,13,18,0.72,72%,1.54,1.11,20,3,0.51,0.37,0.39,0.28
Danse Macabre,Dance of Death,1,18,0.06,6%,10.0,0.56,10,1,10.0,0.56,5.0,0.28
