,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem du Gardien,Guardian Totem,8,8,1.0,100%,17.62,17.62,141,3,5.87,5.87,4.41,4.41
Le Traqueur,The Stalker,7,8,0.88,88%,16.0,14.0,112,3,5.33,4.67,4.0,3.5
Totem Équivalent,Equivalent Totem,8,8,1.0,100%,12.12,12.12,97,2,6.06,6.06,4.04,4.04
Aveuglement,Incapacitor,8,8,1.0,100%,12.0,12.0,96,3,4.0,4.0,3.0,3.0
Vision Céleste,Heavenly Vision,4,8,0.5,50%,22.0,11.0,88,2,11.0,5.5,7.33,3.67
Marteau Collecteur,Collecting Hammer,5,8,0.62,62%,14.4,9.0,72,2,7.2,4.5,4.8,3.0
Esprit de l'Écuyer,Spirit of the Squire,5,8,0.62,62%,13.8,8.62,69,3,4.6,2.87,3.45,2.15
Œil de Lynx,Hawk's Eye,8,8,1.0,100%,8.0,8.0,64,0,Gratuit,Gratuit,8.0,8.0
Assistance Divine,Sacred Help,3,8,0.38,38%,20.0,7.5,60,2,10.0,3.75,6.67,2.5
Le Visionnaire,The Visionary,3,8,0.38,38%,18.0,6.75,54,2,9.0,3.38,6.0,2.25
Être de Lumière,Being of Light,3,8,0.38,38%,18.0,6.75,54,1,18.0,6.75,9.0,3.38
Bâton de Conquête,Conquering Staff,2,8,0.25,25%,24.0,6.0,48,2,12.0,3.0,8.0,2.0
Le Marionnettiste,The Puppeteer,2,8,0.25,25%,20.0,5.0,40,2,10.0,2.5,6.67,1.67
Armure d'Obsidienne,Obsidian Battle Plate,2,8,0.25,25%,20.0,5.0,40,2,10.0,2.5,6.67,1.67
Amulette Omnisciente,Omnipresent Amulet,3,8,0.38,38%,11.0,4.12,33,0,Gratuit,Gratuit,11.0,4.12
Coup de Mort,Death Helper,3,8,0.38,38%,10.0,3.75,30,1,10.0,3.75,5.0,1.88
Armure d'Immortel,Immortal Breastplate,2,8,0.25,25%,14.0,3.5,28,1,14.0,3.5,7.0,1.75
Lame Affutée,Sharp Blade,5,8,0.62,62%,5.4,3.38,27,3,1.8,1.13,1.35,0.84
Sabre Versatile,Versatil Saber,2,8,0.25,25%,11.0,2.75,22,1,11.0,2.75,5.5,1.38
Désintégrateur Magnétique,Magnetic Disintegrator,2,8,0.25,25%,11.0,2.75,22,0,Gratuit,Gratuit,11.0,2.75
Bâton du Conquérant,Staff of Conquered Worlds,2,8,0.25,25%,11.0,2.75,22,0,Gratuit,Gratuit,11.0,2.75
Marteleur précis,Precise Hammer,1,8,0.12,12%,18.0,2.25,18,1,18.0,2.25,9.0,1.12
Esprit omniprésent,Omnipresent Spirit,1,8,0.12,12%,18.0,2.25,18,2,9.0,1.12,6.0,0.75
Soif de Sang,Thirsty Dagger,1,8,0.12,12%,15.0,1.88,15,0,Gratuit,Gratuit,15.0,1.88
Faux,Scythe,5,8,0.62,62%,1.2,0.75,6,3,0.4,0.25,0.3,0.19
