,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Le Traqueur,The Stalker,26,30,0.87,87%,20.0,17.33,520,3,6.67,5.78,5.0,4.33
Totem du Gardien,Guardian Totem,30,30,1.0,100%,17.3,17.3,519,3,5.77,5.77,4.33,4.33
Esprit de l'Écuyer,Spirit of the Squire,30,30,1.0,100%,15.1,15.1,453,3,5.03,5.03,3.77,3.77
Totem Équivalent,Equivalent Totem,30,30,1.0,100%,12.73,12.73,382,3,4.24,4.24,3.18,3.18
Armure d'Obsidienne,Obsidian Battle Plate,15,30,0.5,50%,20.0,10.0,300,2,10.0,5.0,6.67,3.33
Vision Céleste,Heavenly Vision,15,30,0.5,50%,20.0,10.0,300,2,10.0,5.0,6.67,3.33
Le Visionnaire,The Visionary,15,30,0.5,50%,18.0,9.0,270,2,9.0,4.5,6.0,3.0
Coup de Mort,Death Helper,20,30,0.67,67%,13.0,8.67,260,1,13.0,8.67,6.5,4.33
Œil de Lynx,Hawk's Eye,30,30,1.0,100%,8.0,8.0,240,0,Gratuit,Gratuit,8.0,8.0
Sabre Versatile,Versatil Saber,13,30,0.43,43%,18.0,7.8,234,1,18.0,7.8,9.0,3.9
Esprit omniprésent,Omnipresent Spirit,12,30,0.4,40%,18.0,7.2,216,2,9.0,3.6,6.0,2.4
Amulette Omnisciente,Omnipresent Amulet,13,30,0.43,43%,15.0,6.5,195,0,Gratuit,Gratuit,15.0,6.5
Aveuglement,Incapacitor,27,30,0.9,90%,6.67,6.0,180,3,2.22,2.0,1.67,1.5
Assistance Divine,Sacred Help,9,30,0.3,30%,20.0,6.0,180,2,10.0,3.0,6.67,2.0
Marteau Collecteur,Collecting Hammer,12,30,0.4,40%,11.08,4.43,133,2,5.54,2.21,3.69,1.48
Force Divine,Divine Impetu,7,30,0.23,23%,15.0,3.5,105,0,Gratuit,Gratuit,15.0,3.5
Lame Affutée,Sharp Blade,17,30,0.57,57%,4.76,2.7,81,3,1.59,0.9,1.19,0.68
Armure d'Immortel,Immortal Breastplate,3,30,0.1,10%,20.0,2.0,60,1,20.0,2.0,10.0,1.0
Le Marionnettiste,The Puppeteer,3,30,0.1,10%,20.0,2.0,60,2,10.0,1.0,6.67,0.67
Bâton de Conquête,Conquering Staff,2,30,0.07,7%,24.0,1.6,48,2,12.0,0.8,8.0,0.53
Soif de Sang,Thirsty Dagger,3,30,0.1,10%,15.0,1.5,45,0,Gratuit,Gratuit,15.0,1.5
Danse Macabre,Dance of Death,4,30,0.13,13%,10.0,1.33,40,1,10.0,1.33,5.0,0.67
Faux,Scythe,20,30,0.67,67%,1.3,0.87,26,3,0.43,0.29,0.33,0.22
Épée Obscure,Swords of Darkness,1,30,0.03,3%,20.0,0.67,20,1,20.0,0.67,10.0,0.34
Être de Lumière,Being of Light,1,30,0.03,3%,20.0,0.67,20,1,20.0,0.67,10.0,0.34
Bâton du Conquérant,Staff of Conquered Worlds,1,30,0.03,3%,15.0,0.5,15,0,Gratuit,Gratuit,15.0,0.5
