,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Faux,Scythe,6,6,1.0,100%,15.83,15.83,95,3,5.28,5.28
Économe Sagesse du Trésorier,Treasurer's Wisdom,4,6,0.67,67%,17.0,11.33,68,2,8.5,5.67
Triple Météore,Trimeteor,2,6,0.33,33%,30.0,10.0,60,0,Gratuit,Gratuit
Armure d'Obsidienne,Obsidian Battle Plate,3,6,0.5,50%,20.0,10.0,60,2,10.0,5.0
Lame Affutée,Sharp Blade,5,6,0.83,83%,10.8,9.0,54,3,3.6,3.0
Aveuglement,Incapacitor,6,6,1.0,100%,8.5,8.5,51,3,2.83,2.83
Ascension Divine,Divine Ascent,2,6,0.33,33%,25.0,8.33,50,3,8.33,2.78
Hache Frénétique,Berseker Ax,3,6,0.5,50%,14.0,7.0,42,2,7.0,3.5
Aura Légendaire,Legend Aura,1,6,0.17,17%,40.0,6.67,40,3,13.33,2.22
Lance Triplée,Triple Spear,2,6,0.33,33%,20.0,6.67,40,0,Gratuit,Gratuit
Esprit omniprésent,Omnipresent Spirit,2,6,0.33,33%,18.0,6.0,36,2,9.0,3.0
Enchaînement Éclair,Unstoppable Lightning,2,6,0.33,33%,18.0,6.0,36,1,18.0,6.0
Esprit de l'Écuyer,Spirit of the Squire,4,6,0.67,67%,9.0,6.0,36,3,3.0,2.0
Elan de Fureur,Rampage Momentum,2,6,0.33,33%,15.0,5.0,30,2,7.5,2.5
Épée Obscure,Swords of Darkness,2,6,0.33,33%,15.0,5.0,30,1,15.0,5.0
Armure d'Immortel,Immortal Breastplate,2,6,0.33,33%,14.0,4.67,28,1,14.0,4.67
Le Croque-mort,The Undertaker,2,6,0.33,33%,14.0,4.67,28,1,14.0,4.67
Faux Assoiffées,Thirsty Scythes,1,6,0.17,17%,25.0,4.17,25,3,8.33,1.39
Totem du Gardien,Guardian Totem,6,6,1.0,100%,3.67,3.67,22,3,1.22,1.22
Sabre Versatile,Versatil Saber,2,6,0.33,33%,11.0,3.67,22,1,11.0,3.67
Assistance Divine,Sacred Help,1,6,0.17,17%,20.0,3.33,20,2,10.0,1.67
Coup de Mort,Death Helper,2,6,0.33,33%,10.0,3.33,20,1,10.0,3.33
Épées Jumelles,Twin Swords,2,6,0.33,33%,10.0,3.33,20,1,10.0,3.33
Tombeau Rocheux,Rock Tomb,2,6,0.33,33%,10.0,3.33,20,1,10.0,3.33
Marteleur précis,Precise Hammer,1,6,0.17,17%,18.0,3.0,18,1,18.0,3.0
Lame Insatiable,Fast Furious Blade,1,6,0.17,17%,16.0,2.67,16,2,8.0,1.33
Danse Macabre,Dance of Death,2,6,0.33,33%,8.0,2.67,16,1,8.0,2.67
Lance Doublée,Dual Spear,2,6,0.33,33%,8.0,2.67,16,0,Gratuit,Gratuit
Esprit Guerrier,Spirit of the Warrior,1,6,0.17,17%,16.0,2.67,16,1,16.0,2.67
Frappe Chirurgicale,Accurate Sword,1,6,0.17,17%,16.0,2.67,16,1,16.0,2.67
Esquive Salvatrice,Evasive Protection,1,6,0.17,17%,15.0,2.5,15,0,Gratuit,Gratuit
Soif de Sang,Thirsty Dagger,1,6,0.17,17%,15.0,2.5,15,0,Gratuit,Gratuit
Chasseur d'Âmes,Soul Hunter,1,6,0.17,17%,15.0,2.5,15,1,15.0,2.5
Bâton Élémentaire,Earthly Staff,1,6,0.17,17%,15.0,2.5,15,0,Gratuit,Gratuit
Désintégrateur Magnétique,Magnetic Disintegrator,1,6,0.17,17%,11.0,1.83,11,0,Gratuit,Gratuit
Griffes Sauvages,Wild Claw,4,6,0.67,67%,2.75,1.83,11,3,0.92,0.61
Force Divine,Divine Impetu,1,6,0.17,17%,11.0,1.83,11,0,Gratuit,Gratuit
Épé Sainte,Holy Sword,1,6,0.17,17%,10.0,1.67,10,0,Gratuit,Gratuit
Œil de Lynx,Hawk's Eye,1,6,0.17,17%,8.0,1.33,8,0,Gratuit,Gratuit
