,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,11,11,1.0,100%,16.27,16.27,179,2,8.13,8.13,5.42,5.42
Faux,Scythe,11,11,1.0,100%,12.82,12.82,141,3,4.27,4.27,3.21,3.21
Hache Frénétique,Berseker Ax,8,11,0.73,73%,14.0,10.18,112,2,7.0,5.09,4.67,3.39
Armure d'Obsidienne,Obsidian Battle Plate,5,11,0.45,45%,20.0,9.09,100,2,10.0,4.54,6.67,3.03
Lame Affutée,Sharp Blade,11,11,1.0,100%,7.64,7.64,84,3,2.55,2.55,1.91,1.91
Chasseur d'Âmes,Soul Hunter,5,11,0.45,45%,15.0,6.82,75,1,15.0,6.82,7.5,3.41
Économe Sagesse du Trésorier,Treasurer's Wisdom,4,11,0.36,36%,17.0,6.18,68,2,8.5,3.09,5.67,2.06
Esprit de l'Écuyer,Spirit of the Squire,8,11,0.73,73%,8.25,6.0,66,3,2.75,2.0,2.06,1.5
Assistance Divine,Sacred Help,3,11,0.27,27%,20.0,5.45,60,2,10.0,2.73,6.67,1.82
Mental d'Acier,Steel Aura,3,11,0.27,27%,18.0,4.91,54,2,9.0,2.46,6.0,1.64
Aveuglement,Incapacitor,11,11,1.0,100%,4.64,4.64,51,3,1.55,1.55,1.16,1.16
Le Marionnettiste,The Puppeteer,2,11,0.18,18%,20.0,3.64,40,2,10.0,1.82,6.67,1.21
Totem du Gardien,Guardian Totem,11,11,1.0,100%,3.45,3.45,38,3,1.15,1.15,0.86,0.86
Être de Lumière,Being of Light,2,11,0.18,18%,18.0,3.27,36,1,18.0,3.27,9.0,1.64
Épée Obscure,Swords of Darkness,2,11,0.18,18%,17.0,3.09,34,1,17.0,3.09,8.5,1.54
Faux Parfaite,Perfect Scythe,2,11,0.18,18%,15.0,2.73,30,0,Gratuit,Gratuit,15.0,2.73
Triple Météore,Trimeteor,1,11,0.09,9%,30.0,2.73,30,0,Gratuit,Gratuit,30.0,2.73
Gantelet Impérieux,Imperious Gauntlet,1,11,0.09,9%,30.0,2.73,30,1,30.0,2.73,15.0,1.36
Ascension Divine,Divine Ascent,1,11,0.09,9%,25.0,2.27,25,3,8.33,0.76,6.25,0.57
Explosion Arcanique,Arcane Explosive,2,11,0.18,18%,12.0,2.18,24,1,12.0,2.18,6.0,1.09
Désintégrateur Magnétique,Magnetic Disintegrator,2,11,0.18,18%,11.0,2.0,22,0,Gratuit,Gratuit,11.0,2.0
Coup de Mort,Death Helper,2,11,0.18,18%,10.0,1.82,20,1,10.0,1.82,5.0,0.91
Épé Sainte,Holy Sword,2,11,0.18,18%,10.0,1.82,20,0,Gratuit,Gratuit,10.0,1.82
Marteau Collecteur,Collecting Hammer,3,11,0.27,27%,6.33,1.73,19,2,3.17,0.86,2.11,0.58
Enchaînement Éclair,Unstoppable Lightning,1,11,0.09,9%,18.0,1.64,18,1,18.0,1.64,9.0,0.82
Danse Macabre,Dance of Death,2,11,0.18,18%,8.0,1.45,16,1,8.0,1.45,4.0,0.72
Elan de Fureur,Rampage Momentum,1,11,0.09,9%,15.0,1.36,15,2,7.5,0.68,5.0,0.45
Sabre Versatile,Versatil Saber,1,11,0.09,9%,11.0,1.0,11,1,11.0,1.0,5.5,0.5
Tombeau Rocheux,Rock Tomb,1,11,0.09,9%,10.0,0.91,10,1,10.0,0.91,5.0,0.46
Œil de Lynx,Hawk's Eye,1,11,0.09,9%,8.0,0.73,8,0,Gratuit,Gratuit,8.0,0.73
Griffes Sauvages,Wild Claw,6,11,0.55,55%,1.17,0.64,7,3,0.39,0.21,0.29,0.16
