,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,152,152,1.0,100%,16.13,16.13,2452,3,5.38,5.38,4.03,4.03
Faux,Scythe,152,152,1.0,100%,13.14,13.14,1998,3,4.38,4.38,3.29,3.29
Marteau Collecteur,Collecting Hammer,100,152,0.66,66%,16.17,10.64,1617,2,8.09,5.32,5.39,3.55
Armure d'Obsidienne,Obsidian Battle Plate,72,152,0.47,47%,20.0,9.47,1440,2,10.0,4.74,6.67,3.16
Assistance Divine,Sacred Help,58,152,0.38,38%,20.0,7.63,1160,2,10.0,3.81,6.67,2.54
Lame Affutée,Sharp Blade,129,152,0.85,85%,8.72,7.4,1125,3,2.91,2.47,2.18,1.85
Hache Frénétique,Berseker Ax,67,152,0.44,44%,16.0,7.05,1072,2,8.0,3.52,5.33,2.35
Esprit de l'Écuyer,Spirit of the Squire,125,152,0.82,82%,8.3,6.83,1038,3,2.77,2.28,2.08,1.71
Faux Parfaite,Perfect Scythe,64,152,0.42,42%,15.0,6.32,960,0,Gratuit,Gratuit,15.0,6.32
Sabre Versatile,Versatil Saber,51,152,0.34,34%,18.0,6.04,918,1,18.0,6.04,9.0,3.02
Ascension Divine,Divine Ascent,33,152,0.22,22%,25.0,5.43,825,3,8.33,1.81,6.25,1.36
Épée Obscure,Swords of Darkness,39,152,0.26,26%,20.0,5.13,780,1,20.0,5.13,10.0,2.56
Chasseur d'Âmes,Soul Hunter,37,152,0.24,24%,20.0,4.87,740,1,20.0,4.87,10.0,2.44
Marteleur précis,Precise Hammer,39,152,0.26,26%,18.0,4.62,702,1,18.0,4.62,9.0,2.31
Explosion Arcanique,Arcane Explosive,57,152,0.38,38%,12.0,4.5,684,1,12.0,4.5,6.0,2.25
Aveuglement,Incapacitor,127,152,0.84,84%,5.27,4.4,669,3,1.76,1.47,1.32,1.1
Totem du Gardien,Guardian Totem,152,152,1.0,100%,4.3,4.3,654,3,1.43,1.43,1.07,1.07
Danse Macabre,Dance of Death,64,152,0.42,42%,10.0,4.21,640,1,10.0,4.21,5.0,2.1
Gantelet Impérieux,Imperious Gauntlet,28,152,0.18,18%,22.0,4.05,616,1,22.0,4.05,11.0,2.02
Armure d'Immortel,Immortal Breastplate,26,152,0.17,17%,20.0,3.42,520,1,20.0,3.42,10.0,1.71
Coup de Mort,Death Helper,38,152,0.25,25%,13.0,3.25,494,1,13.0,3.25,6.5,1.62
Mental d'Acier,Steel Aura,26,152,0.17,17%,18.0,3.08,468,2,9.0,1.54,6.0,1.03
Lame Insatiable,Fast Furious Blade,20,152,0.13,13%,18.0,2.37,360,2,9.0,1.19,6.0,0.79
Le Marionnettiste,The Puppeteer,18,152,0.12,12%,20.0,2.37,360,2,10.0,1.19,6.67,0.79
Soif de Sang,Thirsty Dagger,20,152,0.13,13%,15.0,1.97,300,0,Gratuit,Gratuit,15.0,1.97
Elan de Fureur,Rampage Momentum,19,152,0.12,12%,15.0,1.88,285,1,15.0,1.88,7.5,0.94
Parchemin Secret,Secret Scroll,14,152,0.09,9%,18.0,1.66,252,2,9.0,0.83,6.0,0.55
Enchaînement Éclair,Unstoppable Lightning,11,152,0.07,7%,22.0,1.59,242,2,11.0,0.8,7.33,0.53
Adrénaline Arcanique,Arcane Adrenaline,14,152,0.09,9%,16.0,1.47,224,1,16.0,1.47,8.0,0.73
Force Divine,Divine Impetu,13,152,0.09,9%,15.0,1.28,195,0,Gratuit,Gratuit,15.0,1.28
Épé Sainte,Holy Sword,12,152,0.08,8%,15.0,1.18,180,0,Gratuit,Gratuit,15.0,1.18
Faux Assoiffées,Thirsty Scythes,7,152,0.05,5%,25.0,1.15,175,3,8.33,0.38,6.25,0.29
Masse Colossale,Colossal Mace,11,152,0.07,7%,15.0,1.09,165,0,Gratuit,Gratuit,15.0,1.09
Triple Météore,Trimeteor,5,152,0.03,3%,30.0,0.99,150,0,Gratuit,Gratuit,30.0,0.99
Esprit omniprésent,Omnipresent Spirit,7,152,0.05,5%,18.0,0.83,126,2,9.0,0.41,6.0,0.28
Aura Légendaire,Legend Aura,3,152,0.02,2%,40.0,0.79,120,3,13.33,0.26,10.0,0.2
Œil de Lynx,Hawk's Eye,12,152,0.08,8%,8.0,0.63,96,0,Gratuit,Gratuit,8.0,0.63
Être de Lumière,Being of Light,4,152,0.03,3%,20.0,0.53,80,1,20.0,0.53,10.0,0.27
Griffes Sauvages,Wild Claw,54,152,0.36,36%,1.37,0.49,74,3,0.46,0.16,0.34,0.12
Esprit Guerrier,Spirit of the Warrior,4,152,0.03,3%,16.0,0.42,64,1,16.0,0.42,8.0,0.21
Amulette Omnisciente,Omnipresent Amulet,4,152,0.03,3%,15.0,0.39,60,0,Gratuit,Gratuit,15.0,0.39
Pillard Féroce,Savage Looter,3,152,0.02,2%,20.0,0.39,60,1,20.0,0.39,10.0,0.2
Chasseresse d'Âmes,Huntress of Souls,2,152,0.01,1%,20.0,0.26,40,1,20.0,0.26,10.0,0.13
Griffes Démoniaques,Demon Claws,2,152,0.01,1%,17.0,0.22,34,1,17.0,0.22,8.5,0.11
Bâton de Conquête,Conquering Staff,1,152,0.01,1%,24.0,0.16,24,2,12.0,0.08,8.0,0.05
Décharge Élémentaire,Elemental Discharge,1,152,0.01,1%,20.0,0.13,20,1,20.0,0.13,10.0,0.07
Bâton du Conquérant,Staff of Conquered Worlds,1,152,0.01,1%,15.0,0.1,15,0,Gratuit,Gratuit,15.0,0.1
Couronne du Roi Nain,Crown of the Dwarf King,1,152,0.01,1%,13.0,0.09,13,0,Gratuit,Gratuit,13.0,0.09
