,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Aveuglement,85,86,0.9883720930232558,99%,17.11764705882353,16.91860465116279,1455,3,5.6395348837209305,5.705882352941177
Faux,86,86,1.0,100%,15.80232558139535,15.80232558139535,1359,3,5.267441860465117,5.267441860465117
Armure d'Obsidienne,58,86,0.6744186046511628,67%,20.0,13.488372093023257,1160,2,6.744186046511628,10.0
Lame Affutée,73,86,0.8488372093023255,85%,12.452054794520548,10.569767441860465,909,3,3.5232558139534884,4.1506849315068495
Économe Sagesse du Trésorier,52,86,0.6046511627906976,60%,17.0,10.279069767441861,884,2,5.1395348837209305,8.5
Lame Insatiable,52,86,0.6046511627906976,60%,16.0,9.674418604651162,832,2,4.837209302325581,8.0
Faux Assoiffées,33,86,0.38372093023255816,38%,25.0,9.593023255813954,825,3,3.197674418604651,8.333333333333334
Bâton de Conquête,29,86,0.3372093023255814,34%,24.0,8.093023255813954,696,2,4.046511627906977,12.0
Hache Frénétique,49,86,0.5697674418604651,57%,14.0,7.976744186046512,686,2,3.988372093023256,7.0
Épée Obscure,37,86,0.43023255813953487,43%,15.0,6.453488372093023,555,1,6.453488372093023,15.0
Parchemin Secret,30,86,0.3488372093023256,35%,18.0,6.27906976744186,540,2,3.13953488372093,9.0
Esprit Guerrier,33,86,0.38372093023255816,38%,16.0,6.1395348837209305,528,1,6.1395348837209305,16.0
Frappe Chirurgicale,31,86,0.36046511627906974,36%,16.0,5.767441860465116,496,1,5.767441860465116,16.0
Esprit de l'Écuyer,65,86,0.7558139534883721,76%,7.476923076923077,5.651162790697675,486,3,1.8837209302325582,2.4923076923076923
Épées Jumelles,37,86,0.43023255813953487,43%,12.972972972972974,5.5813953488372094,480,1,5.5813953488372094,12.972972972972974
Marteleur précis,25,86,0.29069767441860467,29%,18.0,5.232558139534884,450,1,5.232558139534884,18.0
Elan de Fureur,30,86,0.3488372093023256,35%,15.0,5.232558139534884,450,2,2.616279069767442,7.5
Chasseresse d'Âmes,23,86,0.26744186046511625,27%,19.0,5.0813953488372094,437,1,5.0813953488372094,19.0
Explosion Arcanique,36,86,0.4186046511627907,42%,12.0,5.023255813953488,432,1,5.023255813953488,12.0
Totem du Gardien,86,86,1.0,100%,4.941860465116279,4.941860465116279,425,3,1.6472868217054264,1.6472868217054264
Griffes Démoniaques,25,86,0.29069767441860467,29%,17.0,4.941860465116279,425,1,4.941860465116279,17.0
Aura Légendaire,10,86,0.11627906976744186,12%,40.0,4.651162790697675,400,3,1.550387596899225,13.333333333333334
Tombeau Rocheux,36,86,0.4186046511627907,42%,10.0,4.186046511627907,360,1,4.186046511627907,10.0
Ascension Divine,14,86,0.16279069767441862,16%,25.0,4.069767441860465,350,3,1.3565891472868217,8.333333333333334
Armure d'Immortel,24,86,0.27906976744186046,28%,14.0,3.9069767441860463,336,1,3.9069767441860463,14.0
Le Croque-mort,24,86,0.27906976744186046,28%,14.0,3.9069767441860463,336,1,3.9069767441860463,14.0
Sabre Versatile,30,86,0.3488372093023256,35%,11.0,3.8372093023255816,330,1,3.8372093023255816,11.0
Danse Macabre,40,86,0.46511627906976744,47%,8.0,3.7209302325581395,320,1,3.7209302325581395,8.0
Enchaînement Éclair,17,86,0.19767441860465115,20%,18.0,3.558139534883721,306,1,3.558139534883721,18.0
Glaive Vindicatif,15,86,0.1744186046511628,17%,20.0,3.488372093023256,300,1,3.488372093023256,20.0
Triple Météore,10,86,0.11627906976744186,12%,30.0,3.488372093023256,300,0,Gratuit,Gratuit
Désintégrateur Magnétique,26,86,0.3023255813953488,30%,11.0,3.3255813953488373,286,0,Gratuit,Gratuit
Destruction Royale,25,86,0.29069767441860467,29%,11.0,3.197674418604651,275,0,Gratuit,Gratuit
Esprit omniprésent,14,86,0.16279069767441862,16%,18.0,2.9302325581395348,252,2,1.4651162790697674,9.0
Couronne du Roi Nain,19,86,0.22093023255813954,22%,13.0,2.872093023255814,247,0,Gratuit,Gratuit
Griffes Sauvages,77,86,0.8953488372093024,90%,3.1818181818181817,2.8488372093023258,245,3,0.9496124031007752,1.0606060606060606
Esquive Salvatrice,16,86,0.18604651162790697,19%,15.0,2.7906976744186047,240,0,Gratuit,Gratuit
Lance Doublée,29,86,0.3372093023255814,34%,8.0,2.697674418604651,232,0,Gratuit,Gratuit
Lance Triplée,10,86,0.11627906976744186,12%,22.0,2.558139534883721,220,0,Gratuit,Gratuit
Pluie de Météorites,3,86,0.03488372093023256,3%,70.0,2.441860465116279,210,0,Gratuit,Gratuit
Instinct Sanguinaire,13,86,0.1511627906976744,15%,15.0,2.2674418604651163,195,2,1.1337209302325582,7.5
Œil de Lynx,24,86,0.27906976744186046,28%,8.0,2.2325581395348837,192,0,Gratuit,Gratuit
Épé Sainte,19,86,0.22093023255813954,22%,10.0,2.2093023255813953,190,0,Gratuit,Gratuit
Masse Colossale,17,86,0.19767441860465115,20%,11.0,2.1744186046511627,187,0,Gratuit,Gratuit
Bâton Élémentaire,11,86,0.12790697674418605,13%,15.0,1.9186046511627908,165,0,Gratuit,Gratuit
Pillard Féroce,8,86,0.09302325581395349,9%,20.0,1.8604651162790697,160,1,1.8604651162790697,20.0
Bâton du Conquérant,14,86,0.16279069767441862,16%,11.0,1.7906976744186047,154,0,Gratuit,Gratuit
Soif de Sang,9,86,0.10465116279069768,10%,15.0,1.569767441860465,135,0,Gratuit,Gratuit
Force Divine,12,86,0.13953488372093023,14%,11.0,1.5348837209302326,132,0,Gratuit,Gratuit
Masse de Siège,8,86,0.09302325581395349,9%,16.0,1.4883720930232558,128,0,Gratuit,Gratuit
Coup de Mort,12,86,0.13953488372093023,14%,10.0,1.3953488372093024,120,1,1.3953488372093024,10.0
Décharge Élémentaire,6,86,0.06976744186046512,7%,18.0,1.255813953488372,108,1,1.255813953488372,18.0
Le Marionnettiste,4,86,0.046511627906976744,5%,20.0,0.9302325581395349,80,2,0.46511627906976744,10.0
Chasseur d'Âmes,5,86,0.05813953488372093,6%,15.0,0.872093023255814,75,1,0.872093023255814,15.0
Le Traqueur,4,86,0.046511627906976744,5%,18.0,0.8372093023255814,72,3,0.27906976744186046,6.0
Vision Céleste,2,86,0.023255813953488372,2%,22.0,0.5116279069767442,44,2,0.2558139534883721,11.0
Amulette Omnisciente,4,86,0.046511627906976744,5%,11.0,0.5116279069767442,44,0,Gratuit,Gratuit
Assistance Divine,2,86,0.023255813953488372,2%,20.0,0.46511627906976744,40,2,0.23255813953488372,10.0
Le Visionnaire,1,86,0.011627906976744186,1%,18.0,0.20930232558139536,18,2,0.10465116279069768,9.0
