,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Aveuglement,Incapacitor,13,13,1.0,100%,17.54,17.54,228,3,5.85,5.85
Faux,Scythe,13,13,1.0,100%,13.46,13.46,175,3,4.49,4.49
Armure d'Obsidienne,Obsidian Battle Plate,8,13,0.62,62%,20.0,12.31,160,2,10.0,6.16
Lame Insatiable,Fast Furious Blade,8,13,0.62,62%,16.0,9.85,128,2,8.0,4.92
Faux Assoiffées,Thirsty Scythes,5,13,0.38,38%,25.0,9.62,125,3,8.33,3.21
Économe Sagesse du Trésorier,Treasurer's Wisdom,6,13,0.46,46%,17.0,7.85,102,2,8.5,3.92
Bâton de Conquête,Conquering Staff,4,13,0.31,31%,24.0,7.38,96,2,12.0,3.69
Hache Frénétique,Berseker Ax,6,13,0.46,46%,14.0,6.46,84,2,7.0,3.23
Totem du Gardien,Guardian Totem,13,13,1.0,100%,6.0,6.0,78,3,2.0,2.0
Lame Affutée,Sharp Blade,10,13,0.77,77%,7.8,6.0,78,3,2.6,2.0
Esprit omniprésent,Omnipresent Spirit,4,13,0.31,31%,18.0,5.54,72,2,9.0,2.77
Esprit de l'Écuyer,Spirit of the Squire,8,13,0.62,62%,7.5,4.62,60,3,2.5,1.54
Chasseresse d'Âmes,Huntress of Souls,3,13,0.23,23%,19.0,4.38,57,1,19.0,4.38
Marteleur précis,Precise Hammer,3,13,0.23,23%,18.0,4.15,54,1,18.0,4.15
Griffes Démoniaques,Demon Claws,3,13,0.23,23%,17.0,3.92,51,1,17.0,3.92
Frappe Chirurgicale,Accurate Sword,3,13,0.23,23%,16.0,3.69,48,1,16.0,3.69
Esprit Guerrier,Spirit of the Warrior,3,13,0.23,23%,16.0,3.69,48,1,16.0,3.69
Soif de Sang,Thirsty Dagger,3,13,0.23,23%,15.0,3.46,45,0,Gratuit,Gratuit
Elan de Fureur,Rampage Momentum,3,13,0.23,23%,15.0,3.46,45,2,7.5,1.73
Épée Obscure,Swords of Darkness,3,13,0.23,23%,15.0,3.46,45,1,15.0,3.46
Vision Céleste,Heavenly Vision,2,13,0.15,15%,22.0,3.38,44,2,11.0,1.69
Armure d'Immortel,Immortal Breastplate,3,13,0.23,23%,14.0,3.23,42,1,14.0,3.23
Le Croque-mort,The Undertaker,3,13,0.23,23%,14.0,3.23,42,1,14.0,3.23
Le Marionnettiste,The Puppeteer,2,13,0.15,15%,20.0,3.08,40,2,10.0,1.54
Aura Légendaire,Legend Aura,1,13,0.08,8%,40.0,3.08,40,3,13.33,1.03
Le Traqueur,The Stalker,2,13,0.15,15%,18.0,2.77,36,3,6.0,0.92
Épées Jumelles,Twin Swords,3,13,0.23,23%,10.0,2.31,30,1,10.0,2.31
Esquive Salvatrice,Evasive Protection,2,13,0.15,15%,15.0,2.31,30,0,Gratuit,Gratuit
Bâton Élémentaire,Earthly Staff,2,13,0.15,15%,15.0,2.31,30,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,2,13,0.15,15%,15.0,2.31,30,2,7.5,1.16
Triple Météore,Trimeteor,1,13,0.08,8%,30.0,2.31,30,0,Gratuit,Gratuit
Coup de Mort,Death Helper,3,13,0.23,23%,10.0,2.31,30,1,10.0,2.31
Griffes Sauvages,Wild Claw,10,13,0.77,77%,2.7,2.08,27,3,0.9,0.69
Danse Macabre,Dance of Death,3,13,0.23,23%,8.0,1.85,24,1,8.0,1.85
Lance Doublée,Dual Spear,3,13,0.23,23%,8.0,1.85,24,0,Gratuit,Gratuit
Bâton du Conquérant,Staff of Conquered Worlds,2,13,0.15,15%,11.0,1.69,22,0,Gratuit,Gratuit
Sabre Versatile,Versatil Saber,2,13,0.15,15%,11.0,1.69,22,1,11.0,1.69
Glaive Vindicatif,Large Sword of Hate,1,13,0.08,8%,20.0,1.54,20,1,20.0,1.54
Lance Triplée,Triple Spear,1,13,0.08,8%,20.0,1.54,20,0,Gratuit,Gratuit
Parchemin Secret,Secret Scroll,1,13,0.08,8%,18.0,1.38,18,2,9.0,0.69
Enchaînement Éclair,Unstoppable Lightning,1,13,0.08,8%,18.0,1.38,18,1,18.0,1.38
Le Visionnaire,The Visionary,1,13,0.08,8%,18.0,1.38,18,2,9.0,0.69
Œil de Lynx,Hawk's Eye,2,13,0.15,15%,8.0,1.23,16,0,Gratuit,Gratuit
Masse de Siège,Siege Mace,1,13,0.08,8%,16.0,1.23,16,0,Gratuit,Gratuit
Chasseur d'Âmes,Soul Hunter,1,13,0.08,8%,15.0,1.15,15,1,15.0,1.15
Couronne du Roi Nain,Crown of the Dwarf King,1,13,0.08,8%,13.0,1.0,13,0,Gratuit,Gratuit
Explosion Arcanique,Arcane Explosive,1,13,0.08,8%,12.0,0.92,12,1,12.0,0.92
Force Divine,Divine Impetu,1,13,0.08,8%,11.0,0.85,11,0,Gratuit,Gratuit
Amulette Omnisciente,Omnipresent Amulet,1,13,0.08,8%,11.0,0.85,11,0,Gratuit,Gratuit
Destruction Royale,Royal Destroyer,1,13,0.08,8%,11.0,0.85,11,0,Gratuit,Gratuit
Masse Colossale,Colossal Mace,1,13,0.08,8%,11.0,0.85,11,0,Gratuit,Gratuit
Désintégrateur Magnétique,Magnetic Disintegrator,1,13,0.08,8%,11.0,0.85,11,0,Gratuit,Gratuit
Épé Sainte,Holy Sword,1,13,0.08,8%,10.0,0.77,10,0,Gratuit,Gratuit
Tombeau Rocheux,Rock Tomb,1,13,0.08,8%,10.0,0.77,10,1,10.0,0.77
