,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Marteau Collecteur,Collecting Hammer,18,21,0.86,86%,19.06,16.33,343,2,9.53,8.16,6.35,5.44
Faux,Scythe,21,21,1.0,100%,16.19,16.19,340,3,5.4,5.4,4.05,4.05
Totem Équivalent,Equivalent Totem,21,21,1.0,100%,14.9,14.9,313,3,4.97,4.97,3.73,3.73
Lame Insatiable,Fast Furious Blade,16,21,0.76,76%,18.0,13.71,288,2,9.0,6.86,6.0,4.57
Armure d'Obsidienne,Obsidian Battle Plate,14,21,0.67,67%,20.0,13.33,280,2,10.0,6.67,6.67,4.44
Lame Affutée,Sharp Blade,19,21,0.9,90%,14.05,12.71,267,3,4.68,4.24,3.51,3.18
Hache Frénétique,Berseker Ax,15,21,0.71,71%,16.0,11.43,240,2,8.0,5.71,5.33,3.81
Chasseresse d'Âmes,Huntress of Souls,11,21,0.52,52%,20.0,10.48,220,1,20.0,10.48,10.0,5.24
Parchemin Secret,Secret Scroll,12,21,0.57,57%,18.0,10.29,216,2,9.0,5.14,6.0,3.43
Aveuglement,Incapacitor,21,21,1.0,100%,9.29,9.29,195,3,3.1,3.1,2.32,2.32
Griffes Démoniaques,Demon Claws,11,21,0.52,52%,17.0,8.9,187,1,17.0,8.9,8.5,4.45
Sabre Versatile,Versatil Saber,10,21,0.48,48%,18.0,8.57,180,1,18.0,8.57,9.0,4.29
Épée Obscure,Swords of Darkness,9,21,0.43,43%,20.0,8.57,180,1,20.0,8.57,10.0,4.29
Esprit Guerrier,Spirit of the Warrior,11,21,0.52,52%,16.0,8.38,176,1,16.0,8.38,8.0,4.19
Armure d'Immortel,Immortal Breastplate,8,21,0.38,38%,20.0,7.62,160,1,20.0,7.62,10.0,3.81
Explosion Arcanique,Arcane Explosive,13,21,0.62,62%,12.0,7.43,156,1,12.0,7.43,6.0,3.71
Masse Colossale,Colossal Mace,10,21,0.48,48%,15.0,7.14,150,0,Gratuit,Gratuit,15.0,7.14
Danse Macabre,Dance of Death,15,21,0.71,71%,10.0,7.14,150,1,10.0,7.14,5.0,3.57
Esprit de l'Écuyer,Spirit of the Squire,19,21,0.9,90%,7.26,6.57,138,3,2.42,2.19,1.81,1.64
Elan de Fureur,Rampage Momentum,9,21,0.43,43%,15.0,6.43,135,1,15.0,6.43,7.5,3.21
Enchaînement Éclair,Unstoppable Lightning,6,21,0.29,29%,22.0,6.29,132,2,11.0,3.15,7.33,2.1
Couronne du Roi Nain,Crown of the Dwarf King,10,21,0.48,48%,13.0,6.19,130,0,Gratuit,Gratuit,13.0,6.19
Marteleur précis,Precise Hammer,7,21,0.33,33%,18.0,6.0,126,1,18.0,6.0,9.0,3.0
Faux Assoiffées,Thirsty Scythes,5,21,0.24,24%,25.0,5.95,125,3,8.33,1.98,6.25,1.49
Bâton de Conquête,Conquering Staff,5,21,0.24,24%,24.0,5.71,120,2,12.0,2.85,8.0,1.9
Aura Légendaire,Legend Aura,3,21,0.14,14%,40.0,5.71,120,3,13.33,1.9,10.0,1.43
Force Divine,Divine Impetu,7,21,0.33,33%,15.0,5.0,105,0,Gratuit,Gratuit,15.0,5.0
Ascension Divine,Divine Ascent,3,21,0.14,14%,25.0,3.57,75,3,8.33,1.19,6.25,0.89
Épé Sainte,Holy Sword,5,21,0.24,24%,15.0,3.57,75,0,Gratuit,Gratuit,15.0,3.57
Totem du Gardien,Guardian Totem,21,21,1.0,100%,3.33,3.33,70,3,1.11,1.11,0.83,0.83
Pillard Féroce,Savage Looter,3,21,0.14,14%,20.0,2.86,60,1,20.0,2.86,10.0,1.43
Bâton du Conquérant,Staff of Conquered Worlds,4,21,0.19,19%,15.0,2.86,60,0,Gratuit,Gratuit,15.0,2.86
Soif de Sang,Thirsty Dagger,4,21,0.19,19%,15.0,2.86,60,0,Gratuit,Gratuit,15.0,2.86
Esprit omniprésent,Omnipresent Spirit,3,21,0.14,14%,18.0,2.57,54,2,9.0,1.28,6.0,0.86
Décharge Élémentaire,Elemental Discharge,2,21,0.1,10%,20.0,1.9,40,1,20.0,1.9,10.0,0.95
Coup de Mort,Death Helper,3,21,0.14,14%,13.0,1.86,39,1,13.0,1.86,6.5,0.93
Adrénaline Arcanique,Arcane Adrenaline,2,21,0.1,10%,16.0,1.52,32,1,16.0,1.52,8.0,0.76
Faux Parfaite,Perfect Scythe,2,21,0.1,10%,15.0,1.43,30,0,Gratuit,Gratuit,15.0,1.43
Triple Météore,Trimeteor,1,21,0.05,5%,30.0,1.43,30,0,Gratuit,Gratuit,30.0,1.43
Griffes Sauvages,Wild Claw,14,21,0.67,67%,2.0,1.33,28,3,0.67,0.44,0.5,0.33
Chasseur d'Âmes,Soul Hunter,1,21,0.05,5%,20.0,0.95,20,1,20.0,0.95,10.0,0.47
Amulette Omnisciente,Omnipresent Amulet,1,21,0.05,5%,15.0,0.71,15,0,Gratuit,Gratuit,15.0,0.71
Œil de Lynx,Hawk's Eye,1,21,0.05,5%,8.0,0.38,8,0,Gratuit,Gratuit,8.0,0.38
