,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Faux,Scythe,10,10,1.0,100%,17.5,17.5,175,3,5.83,5.83,4.38,4.38
Lame Insatiable,Fast Furious Blade,9,10,0.9,90%,18.0,16.2,162,2,9.0,8.1,6.0,5.4
Chasseresse d'Âmes,Huntress of Souls,8,10,0.8,80%,20.0,16.0,160,1,20.0,16.0,10.0,8.0
Totem Équivalent,Equivalent Totem,10,10,1.0,100%,15.6,15.6,156,3,5.2,5.2,3.9,3.9
Lame Affutée,Sharp Blade,9,10,0.9,90%,17.0,15.3,153,3,5.67,5.1,4.25,3.83
Pluie de Météorites,Meteorites,2,10,0.2,20%,70.0,14.0,140,0,Gratuit,Gratuit,70.0,14.0
Griffes Démoniaques,Demon Claws,8,10,0.8,80%,17.0,13.6,136,1,17.0,13.6,8.5,6.8
Aveuglement,Incapacitor,10,10,1.0,100%,12.9,12.9,129,3,4.3,4.3,3.23,3.23
Parchemin Secret,Secret Scroll,7,10,0.7,70%,18.0,12.6,126,2,9.0,6.3,6.0,4.2
Faux Assoiffées,Thirsty Scythes,5,10,0.5,50%,25.0,12.5,125,3,8.33,4.17,6.25,3.12
Bâton de Conquête,Conquering Staff,5,10,0.5,50%,24.0,12.0,120,2,12.0,6.0,8.0,4.0
Armure d'Obsidienne,Obsidian Battle Plate,6,10,0.6,60%,20.0,12.0,120,2,10.0,6.0,6.67,4.0
Esprit Guerrier,Spirit of the Warrior,7,10,0.7,70%,16.0,11.2,112,1,16.0,11.2,8.0,5.6
Hache Frénétique,Berseker Ax,7,10,0.7,70%,16.0,11.2,112,2,8.0,5.6,5.33,3.73
Sabre Versatile,Versatil Saber,6,10,0.6,60%,18.0,10.8,108,1,18.0,10.8,9.0,5.4
Épée Obscure,Swords of Darkness,5,10,0.5,50%,20.0,10.0,100,1,20.0,10.0,10.0,5.0
Astéroïde Fatal,Final Asteroid,1,10,0.1,10%,100.0,10.0,100,0,Gratuit,Gratuit,100.0,10.0
Marteau Collecteur,Collecting Hammer,4,10,0.4,40%,22.75,9.1,91,2,11.38,4.55,7.58,3.03
Triple Météore,Trimeteor,3,10,0.3,30%,30.0,9.0,90,0,Gratuit,Gratuit,30.0,9.0
Armure d'Immortel,Immortal Breastplate,4,10,0.4,40%,20.0,8.0,80,1,20.0,8.0,10.0,4.0
Danse Macabre,Dance of Death,8,10,0.8,80%,10.0,8.0,80,1,10.0,8.0,5.0,4.0
Aura Légendaire,Legend Aura,2,10,0.2,20%,40.0,8.0,80,3,13.33,2.67,10.0,2.0
Décharge Élémentaire,Elemental Discharge,4,10,0.4,40%,20.0,8.0,80,1,20.0,8.0,10.0,4.0
Couronne du Roi Nain,Crown of the Dwarf King,6,10,0.6,60%,13.0,7.8,78,0,Gratuit,Gratuit,13.0,7.8
Bâton du Conquérant,Staff of Conquered Worlds,5,10,0.5,50%,15.0,7.5,75,0,Gratuit,Gratuit,15.0,7.5
Masse Colossale,Colossal Mace,5,10,0.5,50%,15.0,7.5,75,0,Gratuit,Gratuit,15.0,7.5
Elan de Fureur,Rampage Momentum,5,10,0.5,50%,15.0,7.5,75,1,15.0,7.5,7.5,3.75
Explosion Arcanique,Arcane Explosive,6,10,0.6,60%,12.0,7.2,72,1,12.0,7.2,6.0,3.6
Enchaînement Éclair,Unstoppable Lightning,3,10,0.3,30%,22.0,6.6,66,2,11.0,3.3,7.33,2.2
Esprit de l'Écuyer,Spirit of the Squire,8,10,0.8,80%,7.5,6.0,60,3,2.5,2.0,1.88,1.5
Faux Parfaite,Perfect Scythe,3,10,0.3,30%,15.0,4.5,45,0,Gratuit,Gratuit,15.0,4.5
Épé Sainte,Holy Sword,3,10,0.3,30%,15.0,4.5,45,0,Gratuit,Gratuit,15.0,4.5
Gantelet Impérieux,Imperious Gauntlet,2,10,0.2,20%,22.0,4.4,44,1,22.0,4.4,11.0,2.2
Totem du Gardien,Guardian Totem,10,10,1.0,100%,3.6,3.6,36,3,1.2,1.2,0.9,0.9
Esprit omniprésent,Omnipresent Spirit,2,10,0.2,20%,18.0,3.6,36,2,9.0,1.8,6.0,1.2
Marteleur précis,Precise Hammer,2,10,0.2,20%,18.0,3.6,36,1,18.0,3.6,9.0,1.8
Griffes Sauvages,Wild Claw,9,10,0.9,90%,3.89,3.5,35,3,1.3,1.17,0.97,0.88
Coup de Mort,Death Helper,2,10,0.2,20%,13.0,2.6,26,1,13.0,2.6,6.5,1.3
Ascension Divine,Divine Ascent,1,10,0.1,10%,25.0,2.5,25,3,8.33,0.83,6.25,0.62
Œil de Lynx,Hawk's Eye,3,10,0.3,30%,8.0,2.4,24,0,Gratuit,Gratuit,8.0,2.4
Force Divine,Divine Impetu,1,10,0.1,10%,15.0,1.5,15,0,Gratuit,Gratuit,15.0,1.5
Soif de Sang,Thirsty Dagger,1,10,0.1,10%,15.0,1.5,15,0,Gratuit,Gratuit,15.0,1.5
