,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Faux,Scythe,17,17,1.0,100%,15.12,15.12,257,3,5.04,5.04,3.78,3.78
Totem Équivalent,Equivalent Totem,17,17,1.0,100%,14.94,14.94,254,2,7.47,7.47,4.98,4.98
Lame Affutée,Sharp Blade,14,17,0.82,82%,15.86,13.06,222,3,5.29,4.35,3.96,3.27
Aveuglement,Incapacitor,17,17,1.0,100%,12.18,12.18,207,3,4.06,4.06,3.04,3.04
Armure d'Obsidienne,Obsidian Battle Plate,9,17,0.53,53%,20.0,10.59,180,2,10.0,5.29,6.67,3.53
Économe Sagesse du Trésorier,Treasurer's Wisdom,10,17,0.59,59%,17.0,10.0,170,2,8.5,5.0,5.67,3.33
Hache Frénétique,Berseker Ax,12,17,0.71,71%,14.0,9.88,168,2,7.0,4.94,4.67,3.29
Épée Obscure,Swords of Darkness,9,17,0.53,53%,17.0,9.0,153,1,17.0,9.0,8.5,4.5
Esprit Guerrier,Spirit of the Warrior,9,17,0.53,53%,16.0,8.47,144,1,16.0,8.47,8.0,4.24
Lame Insatiable,Fast Furious Blade,9,17,0.53,53%,16.0,8.47,144,2,8.0,4.24,5.33,2.82
Parchemin Secret,Secret Scroll,8,17,0.47,47%,18.0,8.47,144,2,9.0,4.24,6.0,2.82
Esprit de l'Écuyer,Spirit of the Squire,13,17,0.76,76%,10.62,8.12,138,3,3.54,2.71,2.65,2.03
Enchaînement Éclair,Unstoppable Lightning,7,17,0.41,41%,18.0,7.41,126,1,18.0,7.41,9.0,3.71
Marteau Collecteur,Collecting Hammer,7,17,0.41,41%,17.43,7.18,122,2,8.71,3.59,5.81,2.39
Bâton de Conquête,Conquering Staff,5,17,0.29,29%,24.0,7.06,120,2,12.0,3.53,8.0,2.35
Elan de Fureur,Rampage Momentum,8,17,0.47,47%,15.0,7.06,120,2,7.5,3.53,5.0,2.35
Pillard Féroce,Savage Looter,5,17,0.29,29%,20.0,5.88,100,1,20.0,5.88,10.0,2.94
Faux Assoiffées,Thirsty Scythes,4,17,0.24,24%,25.0,5.88,100,3,8.33,1.96,6.25,1.47
Chasseresse d'Âmes,Huntress of Souls,5,17,0.29,29%,19.0,5.59,95,1,19.0,5.59,9.5,2.79
Gantelet Impérieux,Imperious Gauntlet,3,17,0.18,18%,30.0,5.29,90,1,30.0,5.29,15.0,2.65
Danse Macabre,Dance of Death,11,17,0.65,65%,8.0,5.18,88,1,8.0,5.18,4.0,2.59
Griffes Démoniaques,Demon Claws,5,17,0.29,29%,17.0,5.0,85,1,17.0,5.0,8.5,2.5
Tombeau Rocheux,Rock Tomb,8,17,0.47,47%,10.0,4.71,80,1,10.0,4.71,5.0,2.35
Faux Parfaite,Perfect Scythe,5,17,0.29,29%,15.0,4.41,75,0,Gratuit,Gratuit,15.0,4.41
Marteleur précis,Precise Hammer,4,17,0.24,24%,18.0,4.24,72,1,18.0,4.24,9.0,2.12
Masse Colossale,Colossal Mace,5,17,0.29,29%,14.2,4.18,71,0,Gratuit,Gratuit,14.2,4.18
Chasseur d'Âmes,Soul Hunter,4,17,0.24,24%,17.5,4.12,70,1,17.5,4.12,8.75,2.06
Sabre Versatile,Versatil Saber,6,17,0.35,35%,11.0,3.88,66,1,11.0,3.88,5.5,1.94
Œil de Lynx,Hawk's Eye,7,17,0.41,41%,9.43,3.88,66,0,Gratuit,Gratuit,9.43,3.88
Coup de Mort,Death Helper,5,17,0.29,29%,13.0,3.82,65,1,13.0,3.82,6.5,1.91
Couronne du Roi Nain,Crown of the Dwarf King,5,17,0.29,29%,13.0,3.82,65,0,Gratuit,Gratuit,13.0,3.82
Le Marionnettiste,The Puppeteer,3,17,0.18,18%,20.0,3.53,60,2,10.0,1.76,6.67,1.18
Explosion Arcanique,Arcane Explosive,5,17,0.29,29%,12.0,3.53,60,1,12.0,3.53,6.0,1.76
Force Divine,Divine Impetu,4,17,0.24,24%,14.0,3.29,56,0,Gratuit,Gratuit,14.0,3.29
Épé Sainte,Holy Sword,5,17,0.29,29%,10.0,2.94,50,0,Gratuit,Gratuit,10.0,2.94
Totem du Gardien,Guardian Totem,12,17,0.71,71%,3.92,2.76,47,3,1.31,0.92,0.98,0.69
Aura Légendaire,Legend Aura,1,17,0.06,6%,40.0,2.35,40,3,13.33,0.78,10.0,0.59
Esprit omniprésent,Omnipresent Spirit,2,17,0.12,12%,18.0,2.12,36,2,9.0,1.06,6.0,0.71
Griffes Sauvages,Wild Claw,11,17,0.65,65%,3.0,1.94,33,3,1.0,0.65,0.75,0.48
Bâton du Conquérant,Staff of Conquered Worlds,3,17,0.18,18%,11.0,1.94,33,0,Gratuit,Gratuit,11.0,1.94
Désintégrateur Magnétique,Magnetic Disintegrator,3,17,0.18,18%,11.0,1.94,33,0,Gratuit,Gratuit,11.0,1.94
Armure d'Immortel,Immortal Breastplate,2,17,0.12,12%,15.0,1.76,30,1,15.0,1.76,7.5,0.88
Triple Météore,Trimeteor,1,17,0.06,6%,30.0,1.76,30,0,Gratuit,Gratuit,30.0,1.76
Amulette Omnisciente,Omnipresent Amulet,2,17,0.12,12%,13.0,1.53,26,0,Gratuit,Gratuit,13.0,1.53
Ascension Divine,Divine Ascent,1,17,0.06,6%,25.0,1.47,25,3,8.33,0.49,6.25,0.37
Masse de Siège,Siege Mace,1,17,0.06,6%,16.0,0.94,16,0,Gratuit,Gratuit,16.0,0.94
