,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Faux,Scythe,90,90,1.0,100%,15.89,15.89,1430,3,5.3,5.3,3.97,3.97
Totem Équivalent,Equivalent Totem,90,90,1.0,100%,14.78,14.78,1330,3,4.93,4.93,3.69,3.69
Marteau Collecteur,Collecting Hammer,61,90,0.68,68%,18.48,12.52,1127,2,9.24,6.26,6.16,4.17
Armure d'Obsidienne,Obsidian Battle Plate,55,90,0.61,61%,20.0,12.22,1100,2,10.0,6.11,6.67,4.07
Hache Frénétique,Berseker Ax,67,90,0.74,74%,16.0,11.91,1072,2,8.0,5.96,5.33,3.97
Lame Affutée,Sharp Blade,75,90,0.83,83%,13.72,11.43,1029,3,4.57,3.81,3.43,2.86
Lame Insatiable,Fast Furious Blade,53,90,0.59,59%,18.0,10.6,954,2,9.0,5.3,6.0,3.53
Aveuglement,Incapacitor,87,90,0.97,97%,9.93,9.6,864,3,3.31,3.2,2.48,2.4
Faux Assoiffées,Thirsty Scythes,29,90,0.32,32%,25.0,8.06,725,3,8.33,2.69,6.25,2.02
Parchemin Secret,Secret Scroll,38,90,0.42,42%,18.0,7.6,684,2,9.0,3.8,6.0,2.53
Sabre Versatile,Versatil Saber,38,90,0.42,42%,18.0,7.6,684,1,18.0,7.6,9.0,3.8
Épée Obscure,Swords of Darkness,33,90,0.37,37%,20.0,7.33,660,1,20.0,7.33,10.0,3.67
Chasseresse d'Âmes,Huntress of Souls,33,90,0.37,37%,20.0,7.33,660,1,20.0,7.33,10.0,3.67
Esprit Guerrier,Spirit of the Warrior,39,90,0.43,43%,16.0,6.93,624,1,16.0,6.93,8.0,3.46
Griffes Démoniaques,Demon Claws,34,90,0.38,38%,17.0,6.42,578,1,17.0,6.42,8.5,3.21
Marteleur précis,Precise Hammer,31,90,0.34,34%,18.0,6.2,558,1,18.0,6.2,9.0,3.1
Danse Macabre,Dance of Death,52,90,0.58,58%,10.0,5.78,520,1,10.0,5.78,5.0,2.89
Explosion Arcanique,Arcane Explosive,43,90,0.48,48%,12.0,5.73,516,1,12.0,5.73,6.0,2.87
Esprit de l'Écuyer,Spirit of the Squire,73,90,0.81,81%,7.03,5.7,513,3,2.34,1.9,1.76,1.43
Couronne du Roi Nain,Crown of the Dwarf King,35,90,0.39,39%,13.0,5.06,455,0,Gratuit,Gratuit,13.0,5.06
Enchaînement Éclair,Unstoppable Lightning,20,90,0.22,22%,22.0,4.89,440,2,11.0,2.44,7.33,1.63
Armure d'Immortel,Immortal Breastplate,22,90,0.24,24%,20.0,4.89,440,1,20.0,4.89,10.0,2.44
Masse Colossale,Colossal Mace,29,90,0.32,32%,15.0,4.83,435,0,Gratuit,Gratuit,15.0,4.83
Bâton de Conquête,Conquering Staff,18,90,0.2,20%,24.0,4.8,432,2,12.0,2.4,8.0,1.6
Elan de Fureur,Rampage Momentum,28,90,0.31,31%,15.0,4.67,420,1,15.0,4.67,7.5,2.33
Aura Légendaire,Legend Aura,10,90,0.11,11%,40.0,4.44,400,3,13.33,1.48,10.0,1.11
Épé Sainte,Holy Sword,25,90,0.28,28%,15.0,4.17,375,0,Gratuit,Gratuit,15.0,4.17
Totem du Gardien,Guardian Totem,90,90,1.0,100%,3.9,3.9,351,3,1.3,1.3,0.97,0.97
Faux Parfaite,Perfect Scythe,22,90,0.24,24%,15.0,3.67,330,0,Gratuit,Gratuit,15.0,3.67
Triple Météore,Trimeteor,10,90,0.11,11%,30.0,3.33,300,0,Gratuit,Gratuit,30.0,3.33
Pluie de Météorites,Meteorites,4,90,0.04,4%,70.0,3.11,280,0,Gratuit,Gratuit,70.0,3.11
Décharge Élémentaire,Elemental Discharge,13,90,0.14,14%,20.0,2.89,260,1,20.0,2.89,10.0,1.45
Bâton du Conquérant,Staff of Conquered Worlds,15,90,0.17,17%,15.0,2.5,225,0,Gratuit,Gratuit,15.0,2.5
Astéroïde Fatal,Final Asteroid,2,90,0.02,2%,100.0,2.22,200,0,Gratuit,Gratuit,100.0,2.22
Force Divine,Divine Impetu,13,90,0.14,14%,15.0,2.17,195,0,Gratuit,Gratuit,15.0,2.17
Pillard Féroce,Savage Looter,9,90,0.1,10%,20.0,2.0,180,1,20.0,2.0,10.0,1.0
Esprit omniprésent,Omnipresent Spirit,10,90,0.11,11%,18.0,2.0,180,2,9.0,1.0,6.0,0.67
Griffes Sauvages,Wild Claw,69,90,0.77,77%,2.45,1.88,169,3,0.82,0.63,0.61,0.47
Gantelet Impérieux,Imperious Gauntlet,7,90,0.08,8%,22.0,1.71,154,1,22.0,1.71,11.0,0.85
Ascension Divine,Divine Ascent,6,90,0.07,7%,25.0,1.67,150,3,8.33,0.56,6.25,0.42
Soif de Sang,Thirsty Dagger,10,90,0.11,11%,15.0,1.67,150,0,Gratuit,Gratuit,15.0,1.67
Coup de Mort,Death Helper,11,90,0.12,12%,13.0,1.59,143,1,13.0,1.59,6.5,0.8
Chasseur d'Âmes,Soul Hunter,6,90,0.07,7%,20.0,1.33,120,1,20.0,1.33,10.0,0.67
Œil de Lynx,Hawk's Eye,15,90,0.17,17%,8.0,1.33,120,0,Gratuit,Gratuit,8.0,1.33
Assistance Divine,Sacred Help,3,90,0.03,3%,20.0,0.67,60,2,10.0,0.34,6.67,0.22
Amulette Omnisciente,Omnipresent Amulet,2,90,0.02,2%,15.0,0.33,30,0,Gratuit,Gratuit,15.0,0.33
