,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Esprit de la Faille,Spirit of the Rift,8,10,0.8,80%,25.0,20.0,200,2,12.5,10.0,8.33,6.67
L'Oeil du Héraut,Eye of the Void,9,10,0.9,90%,13.0,11.7,117,0,Gratuit,Gratuit,13.0,11.7
Perce-Écailles,Scale Tearer,7,10,0.7,70%,16.0,11.2,112,3,5.33,3.73,4.0,2.8
Masque du Baron,Baron' s Mask,3,10,0.3,30%,25.0,7.5,75,2,12.5,3.75,8.33,2.5
Écailles Magiques,Magic Scales,3,10,0.3,30%,25.0,7.5,75,2,12.5,3.75,8.33,2.5
Marteau Dévastateur,Destroyer Hammer,9,10,0.9,90%,7.56,6.8,68,2,3.78,3.4,2.52,2.27
Chasse au Gros,Big Worm Hunter,3,10,0.3,30%,20.0,6.0,60,3,6.67,2.0,5.0,1.5
Gardien Sous-terrain,Underworld Guardian,3,10,0.3,30%,18.0,5.4,54,1,18.0,5.4,9.0,2.7
Marteau Conquérant,Conquest Hammer,2,10,0.2,20%,22.0,4.4,44,3,7.33,1.47,5.5,1.1
Poigne d'Or,Golden Force,2,10,0.2,20%,20.0,4.0,40,1,20.0,4.0,10.0,2.0
Première Ligne,First Line,5,10,0.5,50%,8.0,4.0,40,0,Gratuit,Gratuit,8.0,4.0
Protection Royale,Royal Protector,2,10,0.2,20%,17.0,3.4,34,1,17.0,3.4,8.5,1.7
Âme de Dragon Élémentaire,Elemental Dragon Soul,1,10,0.1,10%,25.0,2.5,25,1,25.0,2.5,12.5,1.25
Folie Meurtrière,Killer Momentum,1,10,0.1,10%,22.0,2.2,22,0,Gratuit,Gratuit,22.0,2.2
Sceau Profanateur,Seal of Desecration,2,10,0.2,20%,8.0,1.6,16,2,4.0,0.8,2.67,0.53
Frappes Éclair,Light Swords,1,10,0.1,10%,12.0,1.2,12,0,Gratuit,Gratuit,12.0,1.2
