,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,6,9,0.67,67%,15.5,10.33,93,3,5.17,3.44
Esprit de la Faille,Spirit of the Rift,4,9,0.44,44%,20.0,8.89,80,2,10.0,4.45
Perce-Écailles,Scale Tearer,5,9,0.56,56%,15.6,8.67,78,3,5.2,2.89
L'Oeil du Héraut,Eye of the Void,5,9,0.56,56%,14.4,8.0,72,0,Gratuit,Gratuit
Masque du Baron,Baron' s Mask,3,9,0.33,33%,20.0,6.67,60,2,10.0,3.33
Écailles Magiques,Magic Scales,3,9,0.33,33%,20.0,6.67,60,2,10.0,3.33
Protection Royale,Royal Protector,3,9,0.33,33%,17.0,5.67,51,1,17.0,5.67
Poigne d'Or,Golden Force,2,9,0.22,22%,23.0,5.11,46,1,23.0,5.11
Chasse au Gros,Big Worm Hunter,3,9,0.33,33%,13.0,4.33,39,3,4.33,1.44
Marteau Conquérant,Conquest Hammer,2,9,0.22,22%,18.0,4.0,36,1,18.0,4.0
Première Ligne,First Line,4,9,0.44,44%,8.0,3.56,32,0,Gratuit,Gratuit
Folie Meurtrière,Killer Momentum,1,9,0.11,11%,30.0,3.33,30,0,Gratuit,Gratuit
Âme de Dragon Élémentaire,Elemental Dragon Soul,1,9,0.11,11%,25.0,2.78,25,1,25.0,2.78
Sceau Profanateur,Seal of Desecration,3,9,0.33,33%,8.0,2.67,24,2,4.0,1.33
Gardien Sous-terrain,Underworld Guardian,1,9,0.11,11%,15.0,1.67,15,1,15.0,1.67
