,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Écailles Magiques,Magic Scales,12,18,0.67,67%,25.0,16.67,300,2,12.5,8.34,8.33,5.56
Perce-Écailles,Scale Tearer,15,18,0.83,83%,19.13,15.94,287,3,6.38,5.31,4.78,3.98
Masque du Baron,Baron' s Mask,9,18,0.5,50%,25.0,12.5,225,2,12.5,6.25,8.33,4.17
Marteau Dévastateur,Destroyer Hammer,16,18,0.89,89%,13.25,11.78,212,2,6.62,5.89,4.42,3.93
Chasse au Gros,Big Worm Hunter,10,18,0.56,56%,18.0,10.0,180,3,6.0,3.33,4.5,2.5
Marteau Conquérant,Conquest Hammer,8,18,0.44,44%,22.0,9.78,176,3,7.33,3.26,5.5,2.44
Sceau Profanateur,Seal of Desecration,9,18,0.5,50%,15.11,7.56,136,2,7.55,3.78,5.04,2.52
Gardien Sous-terrain,Underworld Guardian,7,18,0.39,39%,18.0,7.0,126,1,18.0,7.0,9.0,3.5
Esprit de la Faille,Spirit of the Rift,5,18,0.28,28%,25.0,6.94,125,2,12.5,3.47,8.33,2.31
Poigne d'Or,Golden Force,6,18,0.33,33%,20.0,6.67,120,1,20.0,6.67,10.0,3.33
Protection Royale,Royal Protector,7,18,0.39,39%,17.0,6.61,119,1,17.0,6.61,8.5,3.31
Première Ligne,First Line,14,18,0.78,78%,8.0,6.22,112,0,Gratuit,Gratuit,8.0,6.22
Folie Meurtrière,Killer Momentum,5,18,0.28,28%,22.0,6.11,110,0,Gratuit,Gratuit,22.0,6.11
Âme de Dragon Élémentaire,Elemental Dragon Soul,4,18,0.22,22%,25.0,5.56,100,1,25.0,5.56,12.5,2.78
L'Oeil du Héraut,Eye of the Void,9,18,0.5,50%,10.0,5.0,90,0,Gratuit,Gratuit,10.0,5.0
Frappes Éclair,Light Swords,6,18,0.33,33%,12.0,4.0,72,0,Gratuit,Gratuit,12.0,4.0
