,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Perce-Écailles,Scale Tearer,8,9,0.89,89%,21.88,19.44,175,3,7.29,6.48,5.47,4.86
Écailles Magiques,Magic Scales,7,9,0.78,78%,25.0,19.44,175,2,12.5,9.72,8.33,6.48
Marteau Conquérant,Conquest Hammer,6,9,0.67,67%,22.0,14.67,132,3,7.33,4.89,5.5,3.67
Marteau Dévastateur,Destroyer Hammer,8,9,0.89,89%,16.5,14.67,132,2,8.25,7.33,5.5,4.89
Folie Meurtrière,Killer Momentum,5,9,0.56,56%,22.0,12.22,110,0,Gratuit,Gratuit,22.0,12.22
Âme de Dragon Élémentaire,Elemental Dragon Soul,4,9,0.44,44%,25.0,11.11,100,1,25.0,11.11,12.5,5.55
Poigne d'Or,Golden Force,5,9,0.56,56%,20.0,11.11,100,1,20.0,11.11,10.0,5.55
Esprit de la Faille,Spirit of the Rift,4,9,0.44,44%,25.0,11.11,100,2,12.5,5.55,8.33,3.7
Masque du Baron,Baron' s Mask,4,9,0.44,44%,25.0,11.11,100,2,12.5,5.55,8.33,3.7
L'Oeil du Héraut,Eye of the Void,7,9,0.78,78%,12.86,10.0,90,0,Gratuit,Gratuit,12.86,10.0
Gardien Sous-terrain,Underworld Guardian,5,9,0.56,56%,18.0,10.0,90,1,18.0,10.0,9.0,5.0
Protection Royale,Royal Protector,5,9,0.56,56%,17.0,9.44,85,1,17.0,9.44,8.5,4.72
Sceau Profanateur,Seal of Desecration,6,9,0.67,67%,13.33,8.89,80,2,6.67,4.45,4.44,2.96
Chasse au Gros,Big Worm Hunter,4,9,0.44,44%,18.75,8.33,75,3,6.25,2.78,4.69,2.08
Première Ligne,First Line,8,9,0.89,89%,8.0,7.11,64,0,Gratuit,Gratuit,8.0,7.11
Frappes Éclair,Light Swords,5,9,0.56,56%,12.0,6.67,60,0,Gratuit,Gratuit,12.0,6.67
