,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,10,10,1.0,100%,22.2,22.2,222,3,7.4,7.4
Esprit de la Faille,Spirit of the Rift,7,10,0.7,70%,20.0,14.0,140,2,10.0,7.0
Perce-Écailles,Scale Tearer,9,10,0.9,90%,14.0,12.6,126,3,4.67,4.2
Bouclier Efficient,Engineer Shield,2,10,0.2,20%,60.0,12.0,120,0,Gratuit,Gratuit
Chasse au Gros,Big Worm Hunter,5,10,0.5,50%,20.8,10.4,104,3,6.93,3.47
Protection Royale,Royal Protector,6,10,0.6,60%,17.0,10.2,102,1,17.0,10.2
L'Oeil du Héraut,Eye of the Void,8,10,0.8,80%,12.0,9.6,96,0,Gratuit,Gratuit
Poigne d'Or,Golden Force,4,10,0.4,40%,23.0,9.2,92,1,23.0,9.2
Sceau Profanateur,Seal of Desecration,6,10,0.6,60%,14.67,8.8,88,2,7.33,4.4
Emblème Ancien,Ancient Emblem,2,10,0.2,20%,40.0,8.0,80,3,13.33,2.67
Masque du Baron,Baron' s Mask,4,10,0.4,40%,20.0,8.0,80,2,10.0,4.0
Écailles Magiques,Magic Scales,4,10,0.4,40%,20.0,8.0,80,2,10.0,4.0
Première Ligne,First Line,10,10,1.0,100%,8.0,8.0,80,0,Gratuit,Gratuit
Marteau Conquérant,Conquest Hammer,4,10,0.4,40%,18.0,7.2,72,1,18.0,7.2
Folie Meurtrière,Killer Momentum,2,10,0.2,20%,30.0,6.0,60,0,Gratuit,Gratuit
Gardien Sous-terrain,Underworld Guardian,4,10,0.4,40%,15.0,6.0,60,1,15.0,6.0
Âme de Dragon Élémentaire,Elemental Dragon Soul,2,10,0.2,20%,25.0,5.0,50,1,25.0,5.0
Frappes Éclair,Light Swords,3,10,0.3,30%,12.0,3.6,36,0,Gratuit,Gratuit
Brise-remparts,Wall Breaker,1,10,0.1,10%,30.0,3.0,30,0,Gratuit,Gratuit
Horloge Divine,Divine Compass,1,10,0.1,10%,25.0,2.5,25,0,Gratuit,Gratuit
