,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Perce-Écailles,Scale Tearer,15,16,0.94,94%,16.73,15.69,251,3,5.58,5.23,4.18,3.92
Écailles Magiques,Magic Scales,10,16,0.62,62%,22.5,14.06,225,2,11.25,7.03,7.5,4.69
Poigne d'Or,Golden Force,9,16,0.56,56%,23.0,12.94,207,1,23.0,12.94,11.5,6.47
Marteau Dévastateur,Destroyer Hammer,16,16,1.0,100%,12.88,12.88,206,2,6.44,6.44,4.29,4.29
Masque du Baron,Baron' s Mask,9,16,0.56,56%,22.78,12.81,205,2,11.39,6.41,7.59,4.27
Marteau Conquérant,Conquest Hammer,9,16,0.56,56%,22.0,12.38,198,3,7.33,4.13,5.5,3.1
Folie Meurtrière,Killer Momentum,8,16,0.5,50%,23.0,11.5,184,0,Gratuit,Gratuit,23.0,11.5
Chasse au Gros,Big Worm Hunter,9,16,0.56,56%,18.67,10.5,168,3,6.22,3.5,4.67,2.62
Esprit de la Faille,Spirit of the Rift,7,16,0.44,44%,22.14,9.69,155,2,11.07,4.84,7.38,3.23
Protection Royale,Royal Protector,9,16,0.56,56%,17.0,9.56,153,1,17.0,9.56,8.5,4.78
Sceau Profanateur,Seal of Desecration,9,16,0.56,56%,15.11,8.5,136,2,7.55,4.25,5.04,2.83
Gardien Sous-terrain,Underworld Guardian,9,16,0.56,56%,15.0,8.44,135,1,15.0,8.44,7.5,4.22
L'Oeil du Héraut,Eye of the Void,11,16,0.69,69%,11.55,7.94,127,0,Gratuit,Gratuit,11.55,7.94
Âme de Dragon Élémentaire,Elemental Dragon Soul,5,16,0.31,31%,25.0,7.81,125,1,25.0,7.81,12.5,3.9
Première Ligne,First Line,12,16,0.75,75%,8.0,6.0,96,0,Gratuit,Gratuit,8.0,6.0
Frappes Éclair,Light Swords,7,16,0.44,44%,12.0,5.25,84,0,Gratuit,Gratuit,12.0,5.25
