,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,20,21,0.95,95%,25.5,24.29,510,3,8.5,8.1
Masque du Baron,Baron' s Mask,17,21,0.81,81%,20.0,16.19,340,2,10.0,8.1
Perce-Écailles,Scale Tearer,20,21,0.95,95%,16.8,16.0,336,3,5.6,5.33
Poigne d'Or,Golden Force,13,21,0.62,62%,23.0,14.24,299,1,23.0,14.24
Protection Royale,Royal Protector,17,21,0.81,81%,17.0,13.76,289,1,17.0,13.76
Écailles Magiques,Magic Scales,14,21,0.67,67%,20.0,13.33,280,2,10.0,6.67
Chasse au Gros,Big Worm Hunter,18,21,0.86,86%,14.44,12.38,260,3,4.81,4.13
Sceau Profanateur,Seal of Desecration,18,21,0.86,86%,13.33,11.43,240,2,6.67,5.71
Marteau Conquérant,Conquest Hammer,13,21,0.62,62%,18.0,11.14,234,1,18.0,11.14
Gardien Sous-terrain,Underworld Guardian,15,21,0.71,71%,15.0,10.71,225,1,15.0,10.71
Folie Meurtrière,Killer Momentum,7,21,0.33,33%,30.0,10.0,210,0,Gratuit,Gratuit
Frappes Éclair,Light Swords,16,21,0.76,76%,12.0,9.14,192,0,Gratuit,Gratuit
Première Ligne,First Line,19,21,0.9,90%,8.0,7.24,152,0,Gratuit,Gratuit
Âme de Dragon Élémentaire,Elemental Dragon Soul,6,21,0.29,29%,25.0,7.14,150,1,25.0,7.14
Sceau Draconique Ancestral,Ancestral Dragon Seal,4,21,0.19,19%,35.0,6.67,140,0,Gratuit,Gratuit
Esprit de la Faille,Spirit of the Rift,7,21,0.33,33%,20.0,6.67,140,2,10.0,3.33
Brise-remparts,Wall Breaker,4,21,0.19,19%,30.0,5.71,120,0,Gratuit,Gratuit
L'Oeil du Héraut,Eye of the Void,11,21,0.52,52%,10.91,5.71,120,0,Gratuit,Gratuit
Emblème Ancien,Ancient Emblem,2,21,0.1,10%,40.0,3.81,80,3,13.33,1.27
Horloge Divine,Divine Compass,1,21,0.05,5%,25.0,1.19,25,0,Gratuit,Gratuit
