,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Perce-Écailles,Scale Tearer,101,120,0.84,84%,18.92,15.93,1911,3,6.31,5.31,4.73,3.98
Esprit de la Faille,Spirit of the Rift,60,120,0.5,50%,25.0,12.5,1500,2,12.5,6.25,8.33,4.17
Écailles Magiques,Magic Scales,60,120,0.5,50%,25.0,12.5,1500,2,12.5,6.25,8.33,4.17
Masque du Baron,Baron' s Mask,59,120,0.49,49%,25.0,12.29,1475,2,12.5,6.14,8.33,4.1
Marteau Dévastateur,Destroyer Hammer,116,120,0.97,97%,12.71,12.28,1474,2,6.36,6.14,4.24,4.09
Chasse au Gros,Big Worm Hunter,65,120,0.54,54%,21.46,11.62,1395,3,7.15,3.87,5.37,2.9
Marteau Conquérant,Conquest Hammer,63,120,0.53,52%,22.0,11.55,1386,3,7.33,3.85,5.5,2.89
L'Oeil du Héraut,Eye of the Void,85,120,0.71,71%,12.28,8.7,1044,0,Gratuit,Gratuit,12.28,8.7
Gardien Sous-terrain,Underworld Guardian,55,120,0.46,46%,18.0,8.25,990,1,18.0,8.25,9.0,4.12
Protection Royale,Royal Protector,56,120,0.47,47%,17.0,7.93,952,1,17.0,7.93,8.5,3.96
Sceau Profanateur,Seal of Desecration,64,120,0.53,53%,13.12,7.0,840,2,6.56,3.5,4.37,2.33
Poigne d'Or,Golden Force,40,120,0.33,33%,20.0,6.67,800,1,20.0,6.67,10.0,3.33
Première Ligne,First Line,99,120,0.82,82%,8.0,6.6,792,0,Gratuit,Gratuit,8.0,6.6
Folie Meurtrière,Killer Momentum,32,120,0.27,27%,22.0,5.87,704,0,Gratuit,Gratuit,22.0,5.87
Âme de Dragon Élémentaire,Elemental Dragon Soul,23,120,0.19,19%,25.0,4.79,575,1,25.0,4.79,12.5,2.4
Frappes Éclair,Light Swords,45,120,0.38,38%,12.0,4.5,540,0,Gratuit,Gratuit,12.0,4.5
