,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Perce-Écailles,Scale Tearer,12,17,0.71,71%,18.08,12.76,217,3,6.03,4.25,4.52,3.19
Marteau Dévastateur,Destroyer Hammer,17,17,1.0,100%,10.82,10.82,184,2,5.41,5.41,3.61,3.61
Masque du Baron,Baron' s Mask,6,17,0.35,35%,25.0,8.82,150,2,12.5,4.41,8.33,2.94
Marteau Conquérant,Conquest Hammer,6,17,0.35,35%,22.0,7.76,132,3,7.33,2.59,5.5,1.94
L'Oeil du Héraut,Eye of the Void,10,17,0.59,59%,12.6,7.41,126,0,Gratuit,Gratuit,12.6,7.41
Écailles Magiques,Magic Scales,5,17,0.29,29%,25.0,7.35,125,2,12.5,3.67,8.33,2.45
Première Ligne,First Line,15,17,0.88,88%,8.0,7.06,120,0,Gratuit,Gratuit,8.0,7.06
Chasse au Gros,Big Worm Hunter,6,17,0.35,35%,17.5,6.18,105,3,5.83,2.06,4.38,1.54
Esprit de la Faille,Spirit of the Rift,4,17,0.24,24%,25.0,5.88,100,2,12.5,2.94,8.33,1.96
Protection Royale,Royal Protector,5,17,0.29,29%,17.0,5.0,85,1,17.0,5.0,8.5,2.5
Poigne d'Or,Golden Force,4,17,0.24,24%,20.0,4.71,80,1,20.0,4.71,10.0,2.35
Âme de Dragon Élémentaire,Elemental Dragon Soul,3,17,0.18,18%,25.0,4.41,75,1,25.0,4.41,12.5,2.21
Sceau Profanateur,Seal of Desecration,6,17,0.35,35%,12.0,4.24,72,2,6.0,2.12,4.0,1.41
Gardien Sous-terrain,Underworld Guardian,4,17,0.24,24%,18.0,4.24,72,1,18.0,4.24,9.0,2.12
Folie Meurtrière,Killer Momentum,3,17,0.18,18%,22.0,3.88,66,0,Gratuit,Gratuit,22.0,3.88
Frappes Éclair,Light Swords,5,17,0.29,29%,12.0,3.53,60,0,Gratuit,Gratuit,12.0,3.53
