,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Aveuglement,76,76,1.0,100%,20.32894736842105,20.32894736842105,1545,3,6.776315789473684,6.776315789473684
Griffes Sauvages,76,76,1.0,100%,19.276315789473685,19.276315789473685,1465,3,6.425438596491229,6.425438596491229
Assistance Divine,60,76,0.7894736842105263,79%,20.0,15.789473684210526,1200,2,7.894736842105263,10.0
Faux,76,76,1.0,100%,9.986842105263158,9.986842105263158,759,3,3.3289473684210527,3.3289473684210527
Armure d'Obsidienne,35,76,0.4605263157894737,46%,20.0,9.210526315789474,700,2,4.605263157894737,10.0
Bâton de Conquête,29,76,0.3815789473684211,38%,24.0,9.157894736842104,696,2,4.578947368421052,12.0
Chasseur de Bêtes,38,76,0.5,50%,18.0,9.0,684,2,4.5,9.0
Lame Affutée,67,76,0.881578947368421,88%,9.134328358208956,8.052631578947368,612,3,2.6842105263157894,3.0447761194029854
Tombeau Rocheux,60,76,0.7894736842105263,79%,10.0,7.894736842105263,600,1,7.894736842105263,10.0
Pillard Féroce,30,76,0.39473684210526316,39%,20.0,7.894736842105263,600,1,7.894736842105263,20.0
Être de Lumière,32,76,0.42105263157894735,42%,18.0,7.578947368421052,576,1,7.578947368421052,18.0
Décharge Élémentaire,30,76,0.39473684210526316,39%,18.0,7.105263157894737,540,1,7.105263157894737,18.0
Esprit de l'Écuyer,62,76,0.8157894736842105,82%,8.612903225806452,7.026315789473684,534,3,2.3421052631578947,2.870967741935484
Esprit Sauvage,49,76,0.6447368421052632,64%,10.0,6.447368421052632,490,0,Gratuit,Gratuit
Mental d'Acier,27,76,0.35526315789473684,36%,18.0,6.394736842105263,486,2,3.1973684210526314,9.0
Totem du Gardien,76,76,1.0,100%,4.302631578947368,4.302631578947368,327,3,1.4342105263157894,1.4342105263157894
Elan de Fureur,19,76,0.25,25%,15.0,3.75,285,2,1.875,7.5
Économe Sagesse du Trésorier,16,76,0.21052631578947367,21%,17.0,3.5789473684210527,272,2,1.7894736842105263,8.5
Sabre Versatile,24,76,0.3157894736842105,32%,11.0,3.473684210526316,264,1,3.473684210526316,11.0
Œil de Lynx,32,76,0.42105263157894735,42%,8.0,3.3684210526315788,256,0,Gratuit,Gratuit
Soif de Sang,16,76,0.21052631578947367,21%,15.0,3.1578947368421053,240,0,Gratuit,Gratuit
Coup de Mort,21,76,0.27631578947368424,28%,10.0,2.763157894736842,210,1,2.763157894736842,10.0
Armure d'Immortel,15,76,0.19736842105263158,20%,14.0,2.763157894736842,210,1,2.763157894736842,14.0
Épée Obscure,14,76,0.18421052631578946,18%,15.0,2.763157894736842,210,1,2.763157894736842,15.0
Danse Macabre,26,76,0.34210526315789475,34%,8.0,2.736842105263158,208,1,2.736842105263158,8.0
Esprit omniprésent,11,76,0.14473684210526316,14%,18.0,2.6052631578947367,198,2,1.3026315789473684,9.0
Bâton du Conquérant,17,76,0.2236842105263158,22%,11.0,2.460526315789474,187,0,Gratuit,Gratuit
Marteleur précis,10,76,0.13157894736842105,13%,18.0,2.3684210526315788,180,1,2.3684210526315788,18.0
Enchaînement Éclair,10,76,0.13157894736842105,13%,18.0,2.3684210526315788,180,1,2.3684210526315788,18.0
Ascension Divine,7,76,0.09210526315789473,9%,25.0,2.3026315789473686,175,3,0.7675438596491229,8.333333333333334
Épées Jumelles,14,76,0.18421052631578946,18%,12.142857142857142,2.236842105263158,170,1,2.236842105263158,12.142857142857142
Esquive Salvatrice,11,76,0.14473684210526316,14%,15.0,2.1710526315789473,165,0,Gratuit,Gratuit
Instinct Sanguinaire,10,76,0.13157894736842105,13%,15.0,1.9736842105263157,150,2,0.9868421052631579,7.5
Le Croque-mort,10,76,0.13157894736842105,13%,14.0,1.8421052631578947,140,1,1.8421052631578947,14.0
Bâton Élémentaire,9,76,0.11842105263157894,12%,15.0,1.7763157894736843,135,0,Gratuit,Gratuit
Force Divine,12,76,0.15789473684210525,16%,11.0,1.736842105263158,132,0,Gratuit,Gratuit
Hache Frénétique,8,76,0.10526315789473684,11%,14.0,1.4736842105263157,112,2,0.7368421052631579,7.0
Épé Sainte,10,76,0.13157894736842105,13%,10.0,1.3157894736842106,100,0,Gratuit,Gratuit
Le Traqueur,5,76,0.06578947368421052,7%,18.0,1.1842105263157894,90,3,0.3947368421052631,6.0
Vision Céleste,4,76,0.05263157894736842,5%,22.0,1.1578947368421053,88,2,0.5789473684210527,11.0
Désintégrateur Magnétique,7,76,0.09210526315789473,9%,11.0,1.013157894736842,77,0,Gratuit,Gratuit
Destruction Royale,7,76,0.09210526315789473,9%,11.0,1.013157894736842,77,0,Gratuit,Gratuit
Lance Doublée,9,76,0.11842105263157894,12%,8.0,0.9473684210526315,72,0,Gratuit,Gratuit
Le Marionnettiste,3,76,0.039473684210526314,4%,20.0,0.7894736842105263,60,2,0.39473684210526316,10.0
Chasseur d'Âmes,4,76,0.05263157894736842,5%,15.0,0.7894736842105263,60,1,0.7894736842105263,15.0
Explosion Arcanique,5,76,0.06578947368421052,7%,12.0,0.7894736842105263,60,1,0.7894736842105263,12.0
Amulette Omnisciente,5,76,0.06578947368421052,7%,11.0,0.7236842105263158,55,0,Gratuit,Gratuit
Aura Légendaire,1,76,0.013157894736842105,1%,40.0,0.5263157894736842,40,3,0.17543859649122806,13.333333333333334
Parchemin Secret,2,76,0.02631578947368421,3%,18.0,0.47368421052631576,36,2,0.23684210526315788,9.0
Masse de Siège,2,76,0.02631578947368421,3%,16.0,0.42105263157894735,32,0,Gratuit,Gratuit
Esprit Guerrier,2,76,0.02631578947368421,3%,16.0,0.42105263157894735,32,1,0.42105263157894735,16.0
Triple Météore,1,76,0.013157894736842105,1%,30.0,0.39473684210526316,30,0,Gratuit,Gratuit
Couronne du Roi Nain,2,76,0.02631578947368421,3%,13.0,0.34210526315789475,26,0,Gratuit,Gratuit
Faux Assoiffées,1,76,0.013157894736842105,1%,25.0,0.32894736842105265,25,3,0.10964912280701755,8.333333333333334
Masse Colossale,2,76,0.02631578947368421,3%,11.0,0.2894736842105263,22,0,Gratuit,Gratuit
Glaive Vindicatif,1,76,0.013157894736842105,1%,20.0,0.2631578947368421,20,1,0.2631578947368421,20.0
Lance Triplée,1,76,0.013157894736842105,1%,20.0,0.2631578947368421,20,0,Gratuit,Gratuit
Adrénaline Arcanique,1,76,0.013157894736842105,1%,16.0,0.21052631578947367,16,1,0.21052631578947367,16.0
Frappe Chirurgicale,1,76,0.013157894736842105,1%,16.0,0.21052631578947367,16,1,0.21052631578947367,16.0
Frappes Éclair,0,76,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Protection Royale,0,76,0.0,0%,0,0.0,0,1,0.0,0.0
Folie Meurtrière,0,76,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Gardien Sous-terrain,0,76,0.0,0%,0,0.0,0,1,0.0,0.0
Astéroïde Fatal,0,76,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Marteau Dévastateur,0,76,0.0,0%,0,0.0,0,3,0.0,0.0
Chasseresse d'Âmes,0,76,0.0,0%,0,0.0,0,1,0.0,0.0
Horloge Divine,0,76,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Perce-Écailles,0,76,0.0,0%,0,0.0,0,3,0.0,0.0
Esprit de la Faille,0,76,0.0,0%,0,0.0,0,2,0.0,0.0
Première Ligne,0,76,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Sceau Draconique Ancestral,0,76,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Pluie de Météorites,0,76,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Brise-remparts,0,76,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Le Visionnaire,0,76,0.0,0%,0,0.0,0,2,0.0,0.0
