,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Assistance Divine,Sacred Help,11,12,0.92,92%,20.0,18.33,220,2,10.0,9.16
Aveuglement,Incapacitor,12,12,1.0,100%,16.5,16.5,198,3,5.5,5.5
Griffes Sauvages,Wild Claw,12,12,1.0,100%,16.0,16.0,192,3,5.33,5.33
Esprit de l'Écuyer,Spirit of the Squire,12,12,1.0,100%,9.75,9.75,117,3,3.25,3.25
Tombeau Rocheux,Rock Tomb,10,12,0.83,83%,10.0,8.33,100,1,10.0,8.33
Faux,Scythe,12,12,1.0,100%,8.17,8.17,98,3,2.72,2.72
Décharge Élémentaire,Elemental Discharge,5,12,0.42,42%,18.0,7.5,90,1,18.0,7.5
Mental d'Acier,Steel Aura,4,12,0.33,33%,18.0,6.0,72,2,9.0,3.0
Bâton de Conquête,Conquering Staff,3,12,0.25,25%,24.0,6.0,72,2,12.0,3.0
Être de Lumière,Being of Light,4,12,0.33,33%,18.0,6.0,72,1,18.0,6.0
Lame Affutée,Sharp Blade,11,12,0.92,92%,6.0,5.5,66,3,2.0,1.83
Armure d'Obsidienne,Obsidian Battle Plate,3,12,0.25,25%,20.0,5.0,60,2,10.0,2.5
Esprit omniprésent,Omnipresent Spirit,3,12,0.25,25%,18.0,4.5,54,2,9.0,2.25
Marteleur précis,Precise Hammer,3,12,0.25,25%,18.0,4.5,54,1,18.0,4.5
Totem du Gardien,Guardian Totem,12,12,1.0,100%,3.58,3.58,43,3,1.19,1.19
Esprit Sauvage,Wild Spirit,4,12,0.33,33%,10.0,3.33,40,0,Gratuit,Gratuit
Coup de Mort,Death Helper,4,12,0.33,33%,10.0,3.33,40,1,10.0,3.33
Pillard Féroce,Savage Looter,2,12,0.17,17%,20.0,3.33,40,1,20.0,3.33
Économe Sagesse du Trésorier,Treasurer's Wisdom,2,12,0.17,17%,17.0,2.83,34,2,8.5,1.42
Sabre Versatile,Versatil Saber,3,12,0.25,25%,11.0,2.75,33,1,11.0,2.75
Soif de Sang,Thirsty Dagger,2,12,0.17,17%,15.0,2.5,30,0,Gratuit,Gratuit
Bâton Élémentaire,Earthly Staff,2,12,0.17,17%,15.0,2.5,30,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,2,12,0.17,17%,15.0,2.5,30,2,7.5,1.25
Hache Frénétique,Berseker Ax,2,12,0.17,17%,14.0,2.33,28,2,7.0,1.17
Ascension Divine,Divine Ascent,1,12,0.08,8%,25.0,2.08,25,3,8.33,0.69
Force Divine,Divine Impetu,2,12,0.17,17%,11.0,1.83,22,0,Gratuit,Gratuit
Bâton du Conquérant,Staff of Conquered Worlds,2,12,0.17,17%,11.0,1.83,22,0,Gratuit,Gratuit
Destruction Royale,Royal Destroyer,2,12,0.17,17%,11.0,1.83,22,0,Gratuit,Gratuit
Amulette Omnisciente,Omnipresent Amulet,2,12,0.17,17%,11.0,1.83,22,0,Gratuit,Gratuit
Désintégrateur Magnétique,Magnetic Disintegrator,2,12,0.17,17%,11.0,1.83,22,0,Gratuit,Gratuit
Œil de Lynx,Hawk's Eye,2,12,0.17,17%,8.0,1.33,16,0,Gratuit,Gratuit
Masse de Siège,Siege Mace,1,12,0.08,8%,16.0,1.33,16,0,Gratuit,Gratuit
Chasseur d'Âmes,Soul Hunter,1,12,0.08,8%,15.0,1.25,15,1,15.0,1.25
Le Croque-mort,The Undertaker,1,12,0.08,8%,14.0,1.17,14,1,14.0,1.17
Danse Macabre,Dance of Death,1,12,0.08,8%,8.0,0.67,8,1,8.0,0.67
