,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Griffes Sauvages,Wild Claw,22,22,1.0,100%,20.5,20.5,451,3,6.83,6.83
Aveuglement,Incapacitor,22,22,1.0,100%,16.91,16.91,372,3,5.64,5.64
Assistance Divine,Sacred Help,18,22,0.82,82%,20.0,16.36,360,2,10.0,8.18
Chasseur de Bêtes,Beast Hunter,18,22,0.82,82%,18.0,14.73,324,2,9.0,7.37
Armure d'Obsidienne,Obsidian Battle Plate,14,22,0.64,64%,20.0,12.73,280,2,10.0,6.37
Lame Affutée,Sharp Blade,21,22,0.95,95%,11.29,10.77,237,3,3.76,3.59
Faux,Scythe,22,22,1.0,100%,10.64,10.64,234,3,3.55,3.55
Esprit de l'Écuyer,Spirit of the Squire,20,22,0.91,91%,10.05,9.14,201,3,3.35,3.05
Pillard Féroce,Savage Looter,10,22,0.45,45%,20.0,9.09,200,1,20.0,9.09
Tombeau Rocheux,Rock Tomb,20,22,0.91,91%,10.0,9.09,200,1,10.0,9.09
Décharge Élémentaire,Elemental Discharge,11,22,0.5,50%,18.0,9.0,198,1,18.0,9.0
Esprit Sauvage,Wild Spirit,18,22,0.82,82%,10.0,8.18,180,0,Gratuit,Gratuit
Être de Lumière,Being of Light,9,22,0.41,41%,18.0,7.36,162,1,18.0,7.36
Bâton de Conquête,Conquering Staff,6,22,0.27,27%,24.0,6.55,144,2,12.0,3.27
Épée Obscure,Swords of Darkness,9,22,0.41,41%,15.0,6.14,135,1,15.0,6.14
Totem du Gardien,Guardian Totem,22,22,1.0,100%,5.86,5.86,129,3,1.95,1.95
Mental d'Acier,Steel Aura,7,22,0.32,32%,18.0,5.73,126,2,9.0,2.87
Sabre Versatile,Versatil Saber,11,22,0.5,50%,11.0,5.5,121,1,11.0,5.5
Économe Sagesse du Trésorier,Treasurer's Wisdom,7,22,0.32,32%,17.0,5.41,119,2,8.5,2.71
Épées Jumelles,Twin Swords,9,22,0.41,41%,12.22,5.0,110,1,12.22,5.0
Coup de Mort,Death Helper,10,22,0.45,45%,10.0,4.55,100,1,10.0,4.55
Elan de Fureur,Rampage Momentum,6,22,0.27,27%,15.0,4.09,90,2,7.5,2.04
Danse Macabre,Dance of Death,11,22,0.5,50%,8.0,4.0,88,1,8.0,4.0
Marteleur précis,Precise Hammer,4,22,0.18,18%,18.0,3.27,72,1,18.0,3.27
Soif de Sang,Thirsty Dagger,4,22,0.18,18%,15.0,2.73,60,0,Gratuit,Gratuit
Bâton Élémentaire,Earthly Staff,4,22,0.18,18%,15.0,2.73,60,0,Gratuit,Gratuit
Armure d'Immortel,Immortal Breastplate,4,22,0.18,18%,14.0,2.55,56,1,14.0,2.55
Force Divine,Divine Impetu,5,22,0.23,23%,11.0,2.5,55,0,Gratuit,Gratuit
Enchaînement Éclair,Unstoppable Lightning,3,22,0.14,14%,18.0,2.45,54,1,18.0,2.45
Esprit omniprésent,Omnipresent Spirit,3,22,0.14,14%,18.0,2.45,54,2,9.0,1.23
Épé Sainte,Holy Sword,5,22,0.23,23%,10.0,2.27,50,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,3,22,0.14,14%,15.0,2.05,45,0,Gratuit,Gratuit
Le Croque-mort,The Undertaker,3,22,0.14,14%,14.0,1.91,42,1,14.0,1.91
Œil de Lynx,Hawk's Eye,5,22,0.23,23%,8.0,1.82,40,0,Gratuit,Gratuit
Lance Doublée,Dual Spear,5,22,0.23,23%,8.0,1.82,40,0,Gratuit,Gratuit
Aura Légendaire,Legend Aura,1,22,0.05,5%,40.0,1.82,40,3,13.33,0.61
Le Traqueur,The Stalker,2,22,0.09,9%,18.0,1.64,36,3,6.0,0.55
Chasseur d'Âmes,Soul Hunter,2,22,0.09,9%,15.0,1.36,30,1,15.0,1.36
Ascension Divine,Divine Ascent,1,22,0.05,5%,25.0,1.14,25,3,8.33,0.38
Explosion Arcanique,Arcane Explosive,2,22,0.09,9%,12.0,1.09,24,1,12.0,1.09
Le Marionnettiste,The Puppeteer,1,22,0.05,5%,20.0,0.91,20,2,10.0,0.46
Frappe Chirurgicale,Accurate Sword,1,22,0.05,5%,16.0,0.73,16,1,16.0,0.73
Masse de Siège,Siege Mace,1,22,0.05,5%,16.0,0.73,16,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,1,22,0.05,5%,15.0,0.68,15,2,7.5,0.34
Bâton du Conquérant,Staff of Conquered Worlds,1,22,0.05,5%,11.0,0.5,11,0,Gratuit,Gratuit
Amulette Omnisciente,Omnipresent Amulet,1,22,0.05,5%,11.0,0.5,11,0,Gratuit,Gratuit
Destruction Royale,Royal Destroyer,1,22,0.05,5%,11.0,0.5,11,0,Gratuit,Gratuit
Masse Colossale,Colossal Mace,1,22,0.05,5%,11.0,0.5,11,0,Gratuit,Gratuit
Désintégrateur Magnétique,Magnetic Disintegrator,1,22,0.05,5%,11.0,0.5,11,0,Gratuit,Gratuit
