,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Assistance Divine,Sacred Help,16,16,1.0,100%,20.0,20.0,320,2,10.0,10.0,6.67,6.67
Griffes Sauvages,Wild Claw,16,16,1.0,100%,14.44,14.44,231,3,4.81,4.81,3.61,3.61
Esprit de l'Écuyer,Spirit of the Squire,15,16,0.94,94%,15.4,14.44,231,3,5.13,4.81,3.85,3.61
Totem Équivalent,Equivalent Totem,16,16,1.0,100%,14.31,14.31,229,3,4.77,4.77,3.58,3.58
Être de Lumière,Being of Light,11,16,0.69,69%,20.0,13.75,220,1,20.0,13.75,10.0,6.88
Armure d'Obsidienne,Obsidian Battle Plate,10,16,0.62,62%,20.0,12.5,200,2,10.0,6.25,6.67,4.17
Sabre Versatile,Versatil Saber,10,16,0.62,62%,18.0,11.25,180,1,18.0,11.25,9.0,5.62
Chasseur de Bêtes,Beast Hunter,9,16,0.56,56%,18.0,10.12,162,2,9.0,5.06,6.0,3.37
Pillard Féroce,Savage Looter,8,16,0.5,50%,20.0,10.0,160,1,20.0,10.0,10.0,5.0
Aveuglement,Incapacitor,15,16,0.94,94%,9.6,9.0,144,3,3.2,3.0,2.4,2.25
Armure d'Immortel,Immortal Breastplate,7,16,0.44,44%,20.0,8.75,140,1,20.0,8.75,10.0,4.38
Décharge Élémentaire,Elemental Discharge,7,16,0.44,44%,20.0,8.75,140,1,20.0,8.75,10.0,4.38
Faux,Scythe,16,16,1.0,100%,8.44,8.44,135,3,2.81,2.81,2.11,2.11
Coup de Mort,Death Helper,10,16,0.62,62%,13.0,8.12,130,1,13.0,8.12,6.5,4.06
Lame Affutée,Sharp Blade,13,16,0.81,81%,9.69,7.88,126,3,3.23,2.63,2.42,1.97
Le Marionnettiste,The Puppeteer,5,16,0.31,31%,20.0,6.25,100,2,10.0,3.12,6.67,2.08
Marteau Collecteur,Collecting Hammer,8,16,0.5,50%,10.5,5.25,84,2,5.25,2.62,3.5,1.75
Épée Obscure,Swords of Darkness,4,16,0.25,25%,20.0,5.0,80,1,20.0,5.0,10.0,2.5
Hache Frénétique,Berseker Ax,5,16,0.31,31%,16.0,5.0,80,2,8.0,2.5,5.33,1.67
Danse Macabre,Dance of Death,8,16,0.5,50%,10.0,5.0,80,1,10.0,5.0,5.0,2.5
Soif de Sang,Thirsty Dagger,5,16,0.31,31%,15.0,4.69,75,0,Gratuit,Gratuit,15.0,4.69
Chasseur d'Âmes,Soul Hunter,3,16,0.19,19%,20.0,3.75,60,1,20.0,3.75,10.0,1.88
Totem du Gardien,Guardian Totem,16,16,1.0,100%,3.5,3.5,56,3,1.17,1.17,0.88,0.88
Mental d'Acier,Steel Aura,3,16,0.19,19%,18.0,3.38,54,2,9.0,1.69,6.0,1.13
Esprit omniprésent,Omnipresent Spirit,3,16,0.19,19%,18.0,3.38,54,2,9.0,1.69,6.0,1.13
Esprit Sauvage,Wild Spirit,6,16,0.38,38%,8.0,3.0,48,0,Gratuit,Gratuit,8.0,3.0
Force Divine,Divine Impetu,3,16,0.19,19%,15.0,2.81,45,0,Gratuit,Gratuit,15.0,2.81
Elan de Fureur,Rampage Momentum,3,16,0.19,19%,15.0,2.81,45,1,15.0,2.81,7.5,1.41
Œil de Lynx,Hawk's Eye,5,16,0.31,31%,8.0,2.5,40,0,Gratuit,Gratuit,8.0,2.5
Marteleur précis,Precise Hammer,2,16,0.12,12%,18.0,2.25,36,1,18.0,2.25,9.0,1.12
Ascension Divine,Divine Ascent,1,16,0.06,6%,25.0,1.56,25,3,8.33,0.52,6.25,0.39
Bâton de Conquête,Conquering Staff,1,16,0.06,6%,24.0,1.5,24,2,12.0,0.75,8.0,0.5
Enchaînement Éclair,Unstoppable Lightning,1,16,0.06,6%,22.0,1.38,22,2,11.0,0.69,7.33,0.46
Adrénaline Arcanique,Arcane Adrenaline,1,16,0.06,6%,16.0,1.0,16,1,16.0,1.0,8.0,0.5
Bâton du Conquérant,Staff of Conquered Worlds,1,16,0.06,6%,15.0,0.94,15,0,Gratuit,Gratuit,15.0,0.94
Épé Sainte,Holy Sword,1,16,0.06,6%,15.0,0.94,15,0,Gratuit,Gratuit,15.0,0.94
Amulette Omnisciente,Omnipresent Amulet,1,16,0.06,6%,15.0,0.94,15,0,Gratuit,Gratuit,15.0,0.94
