,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Aveuglement,Incapacitor,13,13,1.0,100%,19.85,19.85,258,3,6.62,6.62,4.96,4.96
Griffes Sauvages,Wild Claw,13,13,1.0,100%,19.38,19.38,252,3,6.46,6.46,4.84,4.84
Totem Équivalent,Equivalent Totem,13,13,1.0,100%,15.54,15.54,202,2,7.77,7.77,5.18,5.18
Bâton de Conquête,Conquering Staff,8,13,0.62,62%,24.0,14.77,192,2,12.0,7.38,8.0,4.92
Chasseur de Bêtes,Beast Hunter,10,13,0.77,77%,18.0,13.85,180,2,9.0,6.92,6.0,4.62
Armure d'Obsidienne,Obsidian Battle Plate,8,13,0.62,62%,20.0,12.31,160,2,10.0,6.16,6.67,4.1
Faux,Scythe,13,13,1.0,100%,12.15,12.15,158,3,4.05,4.05,3.04,3.04
Décharge Élémentaire,Elemental Discharge,8,13,0.62,62%,18.0,11.08,144,1,18.0,11.08,9.0,5.54
Assistance Divine,Sacred Help,7,13,0.54,54%,20.0,10.77,140,2,10.0,5.38,6.67,3.59
Pillard Féroce,Savage Looter,7,13,0.54,54%,20.0,10.77,140,1,20.0,10.77,10.0,5.38
Esprit de l'Écuyer,Spirit of the Squire,13,13,1.0,100%,10.62,10.62,138,3,3.54,3.54,2.65,2.65
Tombeau Rocheux,Rock Tomb,13,13,1.0,100%,10.0,10.0,130,1,10.0,10.0,5.0,5.0
Marteau Collecteur,Collecting Hammer,8,13,0.62,62%,14.75,9.08,118,2,7.38,4.54,4.92,3.03
Esprit Sauvage,Wild Spirit,11,13,0.85,85%,10.0,8.46,110,0,Gratuit,Gratuit,10.0,8.46
Œil de Lynx,Hawk's Eye,11,13,0.85,85%,8.91,7.54,98,0,Gratuit,Gratuit,8.91,7.54
Mental d'Acier,Steel Aura,5,13,0.38,38%,18.0,6.92,90,2,9.0,3.46,6.0,2.31
Lame Affutée,Sharp Blade,11,13,0.85,85%,8.18,6.92,90,3,2.73,2.31,2.04,1.73
Vision Céleste,Heavenly Vision,4,13,0.31,31%,22.0,6.77,88,2,11.0,3.38,7.33,2.26
Totem du Gardien,Guardian Totem,9,13,0.69,69%,9.22,6.38,83,3,3.07,2.13,2.31,1.59
Ascension Divine,Divine Ascent,3,13,0.23,23%,25.0,5.77,75,3,8.33,1.92,6.25,1.44
Être de Lumière,Being of Light,4,13,0.31,31%,18.0,5.54,72,1,18.0,5.54,9.0,2.77
Esprit omniprésent,Omnipresent Spirit,4,13,0.31,31%,18.0,5.54,72,2,9.0,2.77,6.0,1.85
Économe Sagesse du Trésorier,Treasurer's Wisdom,4,13,0.31,31%,17.0,5.23,68,2,8.5,2.62,5.67,1.74
Coup de Mort,Death Helper,6,13,0.46,46%,11.0,5.08,66,1,11.0,5.08,5.5,2.54
Hache Frénétique,Berseker Ax,4,13,0.31,31%,14.0,4.31,56,2,7.0,2.15,4.67,1.44
Bâton du Conquérant,Staff of Conquered Worlds,5,13,0.38,38%,11.0,4.23,55,0,Gratuit,Gratuit,11.0,4.23
Sabre Versatile,Versatil Saber,5,13,0.38,38%,11.0,4.23,55,1,11.0,4.23,5.5,2.12
Épée Obscure,Swords of Darkness,3,13,0.23,23%,17.0,3.92,51,1,17.0,3.92,8.5,1.96
Faux Assoiffées,Thirsty Scythes,2,13,0.15,15%,25.0,3.85,50,3,8.33,1.28,6.25,0.96
Le Traqueur,The Stalker,3,13,0.23,23%,16.0,3.69,48,3,5.33,1.23,4.0,0.92
Soif de Sang,Thirsty Dagger,3,13,0.23,23%,15.0,3.46,45,0,Gratuit,Gratuit,15.0,3.46
Armure d'Immortel,Immortal Breastplate,3,13,0.23,23%,14.67,3.38,44,1,14.67,3.38,7.33,1.69
Force Divine,Divine Impetu,3,13,0.23,23%,11.0,2.54,33,0,Gratuit,Gratuit,11.0,2.54
Elan de Fureur,Rampage Momentum,2,13,0.15,15%,15.0,2.31,30,2,7.5,1.16,5.0,0.77
Amulette Omnisciente,Omnipresent Amulet,2,13,0.15,15%,13.0,2.0,26,0,Gratuit,Gratuit,13.0,2.0
Explosion Arcanique,Arcane Explosive,2,13,0.15,15%,12.0,1.85,24,1,12.0,1.85,6.0,0.93
Danse Macabre,Dance of Death,3,13,0.23,23%,8.0,1.85,24,1,8.0,1.85,4.0,0.93
Parchemin Secret,Secret Scroll,1,13,0.08,8%,18.0,1.38,18,2,9.0,0.69,6.0,0.46
Marteleur précis,Precise Hammer,1,13,0.08,8%,18.0,1.38,18,1,18.0,1.38,9.0,0.69
Adrénaline Arcanique,Arcane Adrenaline,1,13,0.08,8%,16.0,1.23,16,1,16.0,1.23,8.0,0.61
Masse de Siège,Siege Mace,1,13,0.08,8%,16.0,1.23,16,0,Gratuit,Gratuit,16.0,1.23
Masse Colossale,Colossal Mace,1,13,0.08,8%,11.0,0.85,11,0,Gratuit,Gratuit,11.0,0.85
Désintégrateur Magnétique,Magnetic Disintegrator,1,13,0.08,8%,11.0,0.85,11,0,Gratuit,Gratuit,11.0,0.85
