,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Aveuglement,Incapacitor,11,11,1.0,100%,20.18,20.18,222,3,6.73,6.73
Griffes Sauvages,Wild Claw,11,11,1.0,100%,19.73,19.73,217,3,6.58,6.58
Assistance Divine,Sacred Help,8,11,0.73,73%,20.0,14.55,160,2,10.0,7.28
Mental d'Acier,Steel Aura,7,11,0.64,64%,18.0,11.45,126,2,9.0,5.72
Bâton de Conquête,Conquering Staff,5,11,0.45,45%,24.0,10.91,120,2,12.0,5.46
Faux,Scythe,11,11,1.0,100%,10.45,10.45,115,3,3.48,3.48
Chasseur de Bêtes,Beast Hunter,5,11,0.45,45%,18.0,8.18,90,2,9.0,4.09
Armure d'Obsidienne,Obsidian Battle Plate,4,11,0.36,36%,20.0,7.27,80,2,10.0,3.63
Esprit Sauvage,Wild Spirit,8,11,0.73,73%,10.0,7.27,80,0,Gratuit,Gratuit
Être de Lumière,Being of Light,4,11,0.36,36%,18.0,6.55,72,1,18.0,6.55
Instinct Sanguinaire,Bloody Instinct,4,11,0.36,36%,15.0,5.45,60,2,7.5,2.73
Tombeau Rocheux,Rock Tomb,6,11,0.55,55%,10.0,5.45,60,1,10.0,5.45
Pillard Féroce,Savage Looter,3,11,0.27,27%,20.0,5.45,60,1,20.0,5.45
Esprit de l'Écuyer,Spirit of the Squire,8,11,0.73,73%,6.0,4.36,48,3,2.0,1.45
Lame Affutée,Sharp Blade,8,11,0.73,73%,6.0,4.36,48,3,2.0,1.45
Totem du Gardien,Guardian Totem,11,11,1.0,100%,3.82,3.82,42,3,1.27,1.27
Décharge Élémentaire,Elemental Discharge,2,11,0.18,18%,18.0,3.27,36,1,18.0,3.27
Œil de Lynx,Hawk's Eye,4,11,0.36,36%,8.0,2.91,32,0,Gratuit,Gratuit
Faux Assoiffées,Thirsty Scythes,1,11,0.09,9%,25.0,2.27,25,3,8.33,0.76
Ascension Divine,Divine Ascent,1,11,0.09,9%,25.0,2.27,25,3,8.33,0.76
Vision Céleste,Heavenly Vision,1,11,0.09,9%,22.0,2.0,22,2,11.0,1.0
Esprit omniprésent,Omnipresent Spirit,1,11,0.09,9%,18.0,1.64,18,2,9.0,0.82
Marteleur précis,Precise Hammer,1,11,0.09,9%,18.0,1.64,18,1,18.0,1.64
Enchaînement Éclair,Unstoppable Lightning,1,11,0.09,9%,18.0,1.64,18,1,18.0,1.64
Économe Sagesse du Trésorier,Treasurer's Wisdom,1,11,0.09,9%,17.0,1.55,17,2,8.5,0.78
Soif de Sang,Thirsty Dagger,1,11,0.09,9%,15.0,1.36,15,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,1,11,0.09,9%,15.0,1.36,15,0,Gratuit,Gratuit
Épée Obscure,Swords of Darkness,1,11,0.09,9%,15.0,1.36,15,1,15.0,1.36
Bâton Élémentaire,Earthly Staff,1,11,0.09,9%,15.0,1.36,15,0,Gratuit,Gratuit
Elan de Fureur,Rampage Momentum,1,11,0.09,9%,15.0,1.36,15,2,7.5,0.68
Armure d'Immortel,Immortal Breastplate,1,11,0.09,9%,14.0,1.27,14,1,14.0,1.27
Hache Frénétique,Berseker Ax,1,11,0.09,9%,14.0,1.27,14,2,7.0,0.64
Sabre Versatile,Versatil Saber,1,11,0.09,9%,11.0,1.0,11,1,11.0,1.0
Bâton du Conquérant,Staff of Conquered Worlds,1,11,0.09,9%,11.0,1.0,11,0,Gratuit,Gratuit
Épées Jumelles,Twin Swords,1,11,0.09,9%,10.0,0.91,10,1,10.0,0.91
Coup de Mort,Death Helper,1,11,0.09,9%,10.0,0.91,10,1,10.0,0.91
Danse Macabre,Dance of Death,1,11,0.09,9%,8.0,0.73,8,1,8.0,0.73
Lance Doublée,Dual Spear,1,11,0.09,9%,8.0,0.73,8,0,Gratuit,Gratuit
