,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Griffes Sauvages,Wild Claw,10,10,1.0,100%,16.5,16.5,165,3,5.5,5.5,4.12,4.12
Totem Équivalent,Equivalent Totem,10,10,1.0,100%,13.9,13.9,139,2,6.95,6.95,4.63,4.63
Chasseur de Bêtes,Beast Hunter,7,10,0.7,70%,18.0,12.6,126,2,9.0,6.3,6.0,4.2
Mental d'Acier,Steel Aura,6,10,0.6,60%,18.0,10.8,108,2,9.0,5.4,6.0,3.6
Décharge Élémentaire,Elemental Discharge,6,10,0.6,60%,18.0,10.8,108,1,18.0,10.8,9.0,5.4
Assistance Divine,Sacred Help,5,10,0.5,50%,20.0,10.0,100,2,10.0,5.0,6.67,3.33
Armure d'Obsidienne,Obsidian Battle Plate,5,10,0.5,50%,20.0,10.0,100,2,10.0,5.0,6.67,3.33
Tombeau Rocheux,Rock Tomb,9,10,0.9,90%,10.0,9.0,90,1,10.0,9.0,5.0,4.5
Faux,Scythe,10,10,1.0,100%,9.0,9.0,90,3,3.0,3.0,2.25,2.25
Esprit de l'Écuyer,Spirit of the Squire,7,10,0.7,70%,10.71,7.5,75,3,3.57,2.5,2.68,1.88
Aveuglement,Incapacitor,9,10,0.9,90%,8.0,7.2,72,3,2.67,2.4,2.0,1.8
Esprit Sauvage,Wild Spirit,7,10,0.7,70%,10.0,7.0,70,0,Gratuit,Gratuit,10.0,7.0
Marteau Collecteur,Collecting Hammer,4,10,0.4,40%,15.25,6.1,61,2,7.62,3.05,5.08,2.03
Le Marionnettiste,The Puppeteer,3,10,0.3,30%,20.0,6.0,60,2,10.0,3.0,6.67,2.0
Pillard Féroce,Savage Looter,3,10,0.3,30%,20.0,6.0,60,1,20.0,6.0,10.0,3.0
Lame Affutée,Sharp Blade,10,10,1.0,100%,5.4,5.4,54,3,1.8,1.8,1.35,1.35
Être de Lumière,Being of Light,3,10,0.3,30%,18.0,5.4,54,1,18.0,5.4,9.0,2.7
Esprit omniprésent,Omnipresent Spirit,3,10,0.3,30%,18.0,5.4,54,2,9.0,2.7,6.0,1.8
Hache Frénétique,Berseker Ax,3,10,0.3,30%,14.0,4.2,42,2,7.0,2.1,4.67,1.4
Sabre Versatile,Versatil Saber,3,10,0.3,30%,11.0,3.3,33,1,11.0,3.3,5.5,1.65
Coup de Mort,Death Helper,3,10,0.3,30%,10.0,3.0,30,1,10.0,3.0,5.0,1.5
Bâton de Conquête,Conquering Staff,1,10,0.1,10%,24.0,2.4,24,2,12.0,1.2,8.0,0.8
Totem du Gardien,Guardian Totem,9,10,0.9,90%,2.56,2.3,23,3,0.85,0.77,0.64,0.57
Marteleur précis,Precise Hammer,1,10,0.1,10%,18.0,1.8,18,1,18.0,1.8,9.0,0.9
Économe Sagesse du Trésorier,Treasurer's Wisdom,1,10,0.1,10%,17.0,1.7,17,2,8.5,0.85,5.67,0.57
Adrénaline Arcanique,Arcane Adrenaline,1,10,0.1,10%,16.0,1.6,16,1,16.0,1.6,8.0,0.8
Soif de Sang,Thirsty Dagger,1,10,0.1,10%,15.0,1.5,15,0,Gratuit,Gratuit,15.0,1.5
Elan de Fureur,Rampage Momentum,1,10,0.1,10%,15.0,1.5,15,2,7.5,0.75,5.0,0.5
Chasseur d'Âmes,Soul Hunter,1,10,0.1,10%,15.0,1.5,15,1,15.0,1.5,7.5,0.75
Armure d'Immortel,Immortal Breastplate,1,10,0.1,10%,14.0,1.4,14,1,14.0,1.4,7.0,0.7
Explosion Arcanique,Arcane Explosive,1,10,0.1,10%,12.0,1.2,12,1,12.0,1.2,6.0,0.6
Bâton du Conquérant,Staff of Conquered Worlds,1,10,0.1,10%,11.0,1.1,11,0,Gratuit,Gratuit,11.0,1.1
Épé Sainte,Holy Sword,1,10,0.1,10%,10.0,1.0,10,0,Gratuit,Gratuit,10.0,1.0
Œil de Lynx,Hawk's Eye,1,10,0.1,10%,8.0,0.8,8,0,Gratuit,Gratuit,8.0,0.8
Danse Macabre,Dance of Death,1,10,0.1,10%,8.0,0.8,8,1,8.0,0.8,4.0,0.4
