,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Aveuglement,Incapacitor,10,10,1.0,100%,26.4,26.4,264,3,8.8,8.8
Griffes Sauvages,Wild Claw,10,10,1.0,100%,19.5,19.5,195,3,6.5,6.5
Bâton de Conquête,Conquering Staff,7,10,0.7,70%,24.0,16.8,168,2,12.0,8.4
Assistance Divine,Sacred Help,8,10,0.8,80%,20.0,16.0,160,2,10.0,8.0
Chasseur de Bêtes,Beast Hunter,7,10,0.7,70%,18.0,12.6,126,2,9.0,6.3
Mental d'Acier,Steel Aura,6,10,0.6,60%,18.0,10.8,108,2,9.0,5.4
Faux,Scythe,10,10,1.0,100%,10.0,10.0,100,3,3.33,3.33
Être de Lumière,Being of Light,4,10,0.4,40%,18.0,7.2,72,1,18.0,7.2
Esprit Sauvage,Wild Spirit,7,10,0.7,70%,10.0,7.0,70,0,Gratuit,Gratuit
Esprit de l'Écuyer,Spirit of the Squire,9,10,0.9,90%,7.33,6.6,66,3,2.44,2.2
Esprit omniprésent,Omnipresent Spirit,3,10,0.3,30%,18.0,5.4,54,2,9.0,2.7
Lame Affutée,Sharp Blade,8,10,0.8,80%,6.38,5.1,51,3,2.13,1.7
Tombeau Rocheux,Rock Tomb,5,10,0.5,50%,10.0,5.0,50,1,10.0,5.0
Instinct Sanguinaire,Bloody Instinct,3,10,0.3,30%,15.0,4.5,45,2,7.5,2.25
Armure d'Obsidienne,Obsidian Battle Plate,2,10,0.2,20%,20.0,4.0,40,2,10.0,2.0
Aura Légendaire,Legend Aura,1,10,0.1,10%,40.0,4.0,40,3,13.33,1.33
Œil de Lynx,Hawk's Eye,5,10,0.5,50%,8.0,4.0,40,0,Gratuit,Gratuit
Pillard Féroce,Savage Looter,2,10,0.2,20%,20.0,4.0,40,1,20.0,4.0
Totem du Gardien,Guardian Totem,10,10,1.0,100%,3.9,3.9,39,3,1.3,1.3
Décharge Élémentaire,Elemental Discharge,2,10,0.2,20%,18.0,3.6,36,1,18.0,3.6
Économe Sagesse du Trésorier,Treasurer's Wisdom,2,10,0.2,20%,17.0,3.4,34,2,8.5,1.7
Bâton du Conquérant,Staff of Conquered Worlds,3,10,0.3,30%,11.0,3.3,33,0,Gratuit,Gratuit
Soif de Sang,Thirsty Dagger,2,10,0.2,20%,15.0,3.0,30,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,2,10,0.2,20%,15.0,3.0,30,0,Gratuit,Gratuit
Hache Frénétique,Berseker Ax,2,10,0.2,20%,14.0,2.8,28,2,7.0,1.4
Armure d'Immortel,Immortal Breastplate,2,10,0.2,20%,14.0,2.8,28,1,14.0,2.8
Sabre Versatile,Versatil Saber,2,10,0.2,20%,11.0,2.2,22,1,11.0,2.2
Désintégrateur Magnétique,Magnetic Disintegrator,2,10,0.2,20%,11.0,2.2,22,0,Gratuit,Gratuit
Destruction Royale,Royal Destroyer,2,10,0.2,20%,11.0,2.2,22,0,Gratuit,Gratuit
Enchaînement Éclair,Unstoppable Lightning,1,10,0.1,10%,18.0,1.8,18,1,18.0,1.8
Chasseur d'Âmes,Soul Hunter,1,10,0.1,10%,15.0,1.5,15,1,15.0,1.5
Elan de Fureur,Rampage Momentum,1,10,0.1,10%,15.0,1.5,15,2,7.5,0.75
Bâton Élémentaire,Earthly Staff,1,10,0.1,10%,15.0,1.5,15,0,Gratuit,Gratuit
Le Croque-mort,The Undertaker,1,10,0.1,10%,14.0,1.4,14,1,14.0,1.4
Explosion Arcanique,Arcane Explosive,1,10,0.1,10%,12.0,1.2,12,1,12.0,1.2
Force Divine,Divine Impetu,1,10,0.1,10%,11.0,1.1,11,0,Gratuit,Gratuit
Coup de Mort,Death Helper,1,10,0.1,10%,10.0,1.0,10,1,10.0,1.0
Épé Sainte,Holy Sword,1,10,0.1,10%,10.0,1.0,10,0,Gratuit,Gratuit
Danse Macabre,Dance of Death,1,10,0.1,10%,8.0,0.8,8,1,8.0,0.8
