,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Griffes Sauvages,Wild Claw,15,15,1.0,100%,16.07,16.07,241,3,5.36,5.36,4.02,4.02
Totem Équivalent,Equivalent Totem,15,15,1.0,100%,14.4,14.4,216,2,7.2,7.2,4.8,4.8
Mental d'Acier,Steel Aura,9,15,0.6,60%,18.0,10.8,162,2,9.0,5.4,6.0,3.6
Chasseur de Bêtes,Beast Hunter,8,15,0.53,53%,18.0,9.6,144,2,9.0,4.8,6.0,3.2
Assistance Divine,Sacred Help,7,15,0.47,47%,20.0,9.33,140,2,10.0,4.67,6.67,3.11
Aveuglement,Incapacitor,15,15,1.0,100%,9.0,9.0,135,3,3.0,3.0,2.25,2.25
Faux,Scythe,15,15,1.0,100%,8.93,8.93,134,3,2.98,2.98,2.23,2.23
Tombeau Rocheux,Rock Tomb,12,15,0.8,80%,10.0,8.0,120,1,10.0,8.0,5.0,4.0
Esprit Sauvage,Wild Spirit,10,15,0.67,67%,10.0,6.67,100,0,Gratuit,Gratuit,10.0,6.67
Esprit de l'Écuyer,Spirit of the Squire,12,15,0.8,80%,8.25,6.6,99,3,2.75,2.2,2.06,1.65
Esprit omniprésent,Omnipresent Spirit,5,15,0.33,33%,18.0,6.0,90,2,9.0,3.0,6.0,2.0
Lame Affutée,Sharp Blade,11,15,0.73,73%,7.64,5.6,84,3,2.55,1.87,1.91,1.4
Armure d'Obsidienne,Obsidian Battle Plate,4,15,0.27,27%,20.0,5.33,80,2,10.0,2.67,6.67,1.78
Bâton de Conquête,Conquering Staff,3,15,0.2,20%,24.0,4.8,72,2,12.0,2.4,8.0,1.6
Être de Lumière,Being of Light,4,15,0.27,27%,18.0,4.8,72,1,18.0,4.8,9.0,2.4
Décharge Élémentaire,Elemental Discharge,4,15,0.27,27%,18.0,4.8,72,1,18.0,4.8,9.0,2.4
Marteau Collecteur,Collecting Hammer,5,15,0.33,33%,11.4,3.8,57,2,5.7,1.9,3.8,1.27
Coup de Mort,Death Helper,5,15,0.33,33%,10.6,3.53,53,1,10.6,3.53,5.3,1.76
Totem du Gardien,Guardian Totem,10,15,0.67,67%,3.8,2.53,38,3,1.27,0.84,0.95,0.63
Œil de Lynx,Hawk's Eye,4,15,0.27,27%,9.5,2.53,38,0,Gratuit,Gratuit,9.5,2.53
Bâton du Conquérant,Staff of Conquered Worlds,3,15,0.2,20%,11.0,2.2,33,0,Gratuit,Gratuit,11.0,2.2
Danse Macabre,Dance of Death,3,15,0.2,20%,8.0,1.6,24,1,8.0,1.6,4.0,0.8
Désintégrateur Magnétique,Magnetic Disintegrator,2,15,0.13,13%,11.0,1.47,22,0,Gratuit,Gratuit,11.0,1.47
Pillard Féroce,Savage Looter,1,15,0.07,7%,20.0,1.33,20,1,20.0,1.33,10.0,0.67
Marteleur précis,Precise Hammer,1,15,0.07,7%,18.0,1.2,18,1,18.0,1.2,9.0,0.6
Économe Sagesse du Trésorier,Treasurer's Wisdom,1,15,0.07,7%,17.0,1.13,17,2,8.5,0.56,5.67,0.38
Chasseur d'Âmes,Soul Hunter,1,15,0.07,7%,15.0,1.0,15,1,15.0,1.0,7.5,0.5
Soif de Sang,Thirsty Dagger,1,15,0.07,7%,15.0,1.0,15,0,Gratuit,Gratuit,15.0,1.0
Sabre Versatile,Versatil Saber,1,15,0.07,7%,11.0,0.73,11,1,11.0,0.73,5.5,0.36
