,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Assistance Divine,Sacred Help,9,9,1.0,100%,20.0,20.0,180,2,10.0,10.0,6.67,6.67
Griffes Sauvages,Wild Claw,9,9,1.0,100%,16.0,16.0,144,3,5.33,5.33,4.0,4.0
Totem Équivalent,Equivalent Totem,9,9,1.0,100%,14.44,14.44,130,3,4.81,4.81,3.61,3.61
Armure d'Obsidienne,Obsidian Battle Plate,6,9,0.67,67%,20.0,13.33,120,2,10.0,6.67,6.67,4.44
Décharge Élémentaire,Elemental Discharge,6,9,0.67,67%,20.0,13.33,120,1,20.0,13.33,10.0,6.67
Esprit de l'Écuyer,Spirit of the Squire,9,9,1.0,100%,13.0,13.0,117,3,4.33,4.33,3.25,3.25
Sabre Versatile,Versatil Saber,6,9,0.67,67%,18.0,12.0,108,1,18.0,12.0,9.0,6.0
Aveuglement,Incapacitor,9,9,1.0,100%,10.33,10.33,93,3,3.44,3.44,2.58,2.58
Coup de Mort,Death Helper,7,9,0.78,78%,13.0,10.11,91,1,13.0,10.11,6.5,5.05
Chasseur de Bêtes,Beast Hunter,5,9,0.56,56%,18.0,10.0,90,2,9.0,5.0,6.0,3.33
Armure d'Immortel,Immortal Breastplate,4,9,0.44,44%,20.0,8.89,80,1,20.0,8.89,10.0,4.45
Faux,Scythe,9,9,1.0,100%,8.89,8.89,80,3,2.96,2.96,2.22,2.22
Bâton de Conquête,Conquering Staff,3,9,0.33,33%,24.0,8.0,72,2,12.0,4.0,8.0,2.67
Bâton du Conquérant,Staff of Conquered Worlds,4,9,0.44,44%,15.0,6.67,60,0,Gratuit,Gratuit,15.0,6.67
Être de Lumière,Being of Light,3,9,0.33,33%,20.0,6.67,60,1,20.0,6.67,10.0,3.33
Pillard Féroce,Savage Looter,3,9,0.33,33%,20.0,6.67,60,1,20.0,6.67,10.0,3.33
Marteau Collecteur,Collecting Hammer,4,9,0.44,44%,12.25,5.44,49,2,6.12,2.72,4.08,1.81
Esprit Sauvage,Wild Spirit,6,9,0.67,67%,8.0,5.33,48,0,Gratuit,Gratuit,8.0,5.33
Le Marionnettiste,The Puppeteer,2,9,0.22,22%,20.0,4.44,40,2,10.0,2.22,6.67,1.48
Lame Affutée,Sharp Blade,6,9,0.67,67%,6.5,4.33,39,3,2.17,1.44,1.62,1.08
Hache Frénétique,Berseker Ax,2,9,0.22,22%,16.0,3.56,32,2,8.0,1.78,5.33,1.19
Amulette Omnisciente,Omnipresent Amulet,2,9,0.22,22%,15.0,3.33,30,0,Gratuit,Gratuit,15.0,3.33
Ascension Divine,Divine Ascent,1,9,0.11,11%,25.0,2.78,25,3,8.33,0.93,6.25,0.69
Œil de Lynx,Hawk's Eye,3,9,0.33,33%,8.0,2.67,24,0,Gratuit,Gratuit,8.0,2.67
Totem du Gardien,Guardian Totem,9,9,1.0,100%,2.44,2.44,22,3,0.81,0.81,0.61,0.61
Esprit omniprésent,Omnipresent Spirit,1,9,0.11,11%,18.0,2.0,18,2,9.0,1.0,6.0,0.67
Mental d'Acier,Steel Aura,1,9,0.11,11%,18.0,2.0,18,2,9.0,1.0,6.0,0.67
Elan de Fureur,Rampage Momentum,1,9,0.11,11%,15.0,1.67,15,1,15.0,1.67,7.5,0.83
Épé Sainte,Holy Sword,1,9,0.11,11%,15.0,1.67,15,0,Gratuit,Gratuit,15.0,1.67
Soif de Sang,Thirsty Dagger,1,9,0.11,11%,15.0,1.67,15,0,Gratuit,Gratuit,15.0,1.67
Danse Macabre,Dance of Death,1,9,0.11,11%,10.0,1.11,10,1,10.0,1.11,5.0,0.56
