,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Assistance Divine,Sacred Help,12,12,1.0,100%,20.0,20.0,240,2,10.0,10.0,6.67,6.67
Griffes Sauvages,Wild Claw,12,12,1.0,100%,15.92,15.92,191,3,5.31,5.31,3.98,3.98
Totem Équivalent,Equivalent Totem,12,12,1.0,100%,14.5,14.5,174,3,4.83,4.83,3.62,3.62
Faux,Scythe,12,12,1.0,100%,8.92,8.92,107,3,2.97,2.97,2.23,2.23
Aveuglement,Incapacitor,11,12,0.92,92%,9.55,8.75,105,3,3.18,2.92,2.39,2.19
Armure d'Obsidienne,Obsidian Battle Plate,5,12,0.42,42%,20.0,8.33,100,2,10.0,4.17,6.67,2.78
Être de Lumière,Being of Light,5,12,0.42,42%,20.0,8.33,100,1,20.0,8.33,10.0,4.17
Lame Affutée,Sharp Blade,11,12,0.92,92%,9.0,8.25,99,3,3.0,2.75,2.25,2.06
Esprit de l'Écuyer,Spirit of the Squire,11,12,0.92,92%,8.18,7.5,90,3,2.73,2.5,2.04,1.88
Pillard Féroce,Savage Looter,4,12,0.33,33%,20.0,6.67,80,1,20.0,6.67,10.0,3.33
Chasseur de Bêtes,Beast Hunter,4,12,0.33,33%,18.0,6.0,72,2,9.0,3.0,6.0,2.0
Mental d'Acier,Steel Aura,4,12,0.33,33%,18.0,6.0,72,2,9.0,3.0,6.0,2.0
Sabre Versatile,Versatil Saber,4,12,0.33,33%,18.0,6.0,72,1,18.0,6.0,9.0,3.0
Le Marionnettiste,The Puppeteer,3,12,0.25,25%,20.0,5.0,60,2,10.0,2.5,6.67,1.67
Danse Macabre,Dance of Death,6,12,0.5,50%,10.0,5.0,60,1,10.0,5.0,5.0,2.5
Décharge Élémentaire,Elemental Discharge,3,12,0.25,25%,20.0,5.0,60,1,20.0,5.0,10.0,2.5
Esprit Sauvage,Wild Spirit,7,12,0.58,58%,8.0,4.67,56,0,Gratuit,Gratuit,8.0,4.67
Coup de Mort,Death Helper,4,12,0.33,33%,13.0,4.33,52,1,13.0,4.33,6.5,2.17
Bâton de Conquête,Conquering Staff,2,12,0.17,17%,24.0,4.0,48,2,12.0,2.0,8.0,1.33
Épée Obscure,Swords of Darkness,2,12,0.17,17%,20.0,3.33,40,1,20.0,3.33,10.0,1.67
Chasseur d'Âmes,Soul Hunter,2,12,0.17,17%,20.0,3.33,40,1,20.0,3.33,10.0,1.67
Totem du Gardien,Guardian Totem,12,12,1.0,100%,3.17,3.17,38,3,1.06,1.06,0.79,0.79
Esprit omniprésent,Omnipresent Spirit,2,12,0.17,17%,18.0,3.0,36,2,9.0,1.5,6.0,1.0
Hache Frénétique,Berseker Ax,2,12,0.17,17%,16.0,2.67,32,2,8.0,1.33,5.33,0.89
Œil de Lynx,Hawk's Eye,4,12,0.33,33%,8.0,2.67,32,0,Gratuit,Gratuit,8.0,2.67
Marteau Collecteur,Collecting Hammer,3,12,0.25,25%,9.33,2.33,28,2,4.67,1.17,3.11,0.78
Bâton du Conquérant,Staff of Conquered Worlds,1,12,0.08,8%,15.0,1.25,15,0,Gratuit,Gratuit,15.0,1.25
Elan de Fureur,Rampage Momentum,1,12,0.08,8%,15.0,1.25,15,1,15.0,1.25,7.5,0.62
Épé Sainte,Holy Sword,1,12,0.08,8%,15.0,1.25,15,0,Gratuit,Gratuit,15.0,1.25
Soif de Sang,Thirsty Dagger,1,12,0.08,8%,15.0,1.25,15,0,Gratuit,Gratuit,15.0,1.25
