,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,9,9,1.0,100%,16.89,16.89,152,2,8.45,8.45,5.63,5.63
Faux,Scythe,9,9,1.0,100%,16.78,16.78,151,3,5.59,5.59,4.2,4.2
Hache Frénétique,Berseker Ax,8,9,0.89,89%,14.0,12.44,112,2,7.0,6.22,4.67,4.15
Économe Sagesse du Trésorier,Treasurer's Wisdom,6,9,0.67,67%,17.0,11.33,102,2,8.5,5.67,5.67,3.78
Ascension Divine,Divine Ascent,4,9,0.44,44%,25.0,11.11,100,3,8.33,3.7,6.25,2.78
Faux Assoiffées,Thirsty Scythes,4,9,0.44,44%,25.0,11.11,100,3,8.33,3.7,6.25,2.78
Esprit de l'Écuyer,Spirit of the Squire,9,9,1.0,100%,10.33,10.33,93,3,3.44,3.44,2.58,2.58
Gantelet Impérieux,Imperious Gauntlet,3,9,0.33,33%,30.0,10.0,90,1,30.0,10.0,15.0,5.0
Faux Parfaite,Perfect Scythe,6,9,0.67,67%,15.0,10.0,90,0,Gratuit,Gratuit,15.0,10.0
Adrénaline Arcanique,Arcane Adrenaline,5,9,0.56,56%,16.0,8.89,80,1,16.0,8.89,8.0,4.45
Lame Affutée,Sharp Blade,9,9,1.0,100%,7.67,7.67,69,3,2.56,2.56,1.92,1.92
Aveuglement,Incapacitor,8,9,0.89,89%,7.88,7.0,63,3,2.63,2.33,1.97,1.75
Armure d'Obsidienne,Obsidian Battle Plate,3,9,0.33,33%,20.0,6.67,60,2,10.0,3.33,6.67,2.22
Lame Insatiable,Fast Furious Blade,3,9,0.33,33%,16.0,5.33,48,2,8.0,2.67,5.33,1.78
Assistance Divine,Sacred Help,2,9,0.22,22%,20.0,4.44,40,2,10.0,2.22,6.67,1.48
Coup de Mort,Death Helper,4,9,0.44,44%,10.0,4.44,40,1,10.0,4.44,5.0,2.22
Chasseresse d'Âmes,Huntress of Souls,2,9,0.22,22%,19.0,4.22,38,1,19.0,4.22,9.5,2.11
Totem du Gardien,Guardian Totem,9,9,1.0,100%,4.22,4.22,38,3,1.41,1.41,1.05,1.05
Marteau Collecteur,Collecting Hammer,5,9,0.56,56%,7.2,4.0,36,2,3.6,2.0,2.4,1.33
Explosion Arcanique,Arcane Explosive,3,9,0.33,33%,12.0,4.0,36,1,12.0,4.0,6.0,2.0
Griffes Démoniaques,Demon Claws,2,9,0.22,22%,17.0,3.78,34,1,17.0,3.78,8.5,1.89
Épée Obscure,Swords of Darkness,2,9,0.22,22%,17.0,3.78,34,1,17.0,3.78,8.5,1.89
Tombeau Rocheux,Rock Tomb,3,9,0.33,33%,10.0,3.33,30,1,10.0,3.33,5.0,1.67
Armure d'Immortel,Immortal Breastplate,2,9,0.22,22%,14.0,3.11,28,1,14.0,3.11,7.0,1.55
Bâton de Conquête,Conquering Staff,1,9,0.11,11%,24.0,2.67,24,2,12.0,1.33,8.0,0.89
Sabre Versatile,Versatil Saber,2,9,0.22,22%,11.0,2.44,22,1,11.0,2.44,5.5,1.22
Parchemin Secret,Secret Scroll,1,9,0.11,11%,18.0,2.0,18,2,9.0,1.0,6.0,0.67
Esprit omniprésent,Omnipresent Spirit,1,9,0.11,11%,18.0,2.0,18,2,9.0,1.0,6.0,0.67
Enchaînement Éclair,Unstoppable Lightning,1,9,0.11,11%,18.0,2.0,18,1,18.0,2.0,9.0,1.0
Marteleur précis,Precise Hammer,1,9,0.11,11%,18.0,2.0,18,1,18.0,2.0,9.0,1.0
Soif de Sang,Thirsty Dagger,1,9,0.11,11%,15.0,1.67,15,0,Gratuit,Gratuit,15.0,1.67
Chasseur d'Âmes,Soul Hunter,1,9,0.11,11%,15.0,1.67,15,1,15.0,1.67,7.5,0.83
Elan de Fureur,Rampage Momentum,1,9,0.11,11%,15.0,1.67,15,2,7.5,0.83,5.0,0.56
Force Divine,Divine Impetu,1,9,0.11,11%,11.0,1.22,11,0,Gratuit,Gratuit,11.0,1.22
Griffes Sauvages,Wild Claw,6,9,0.67,67%,1.67,1.11,10,3,0.56,0.37,0.42,0.28
Danse Macabre,Dance of Death,1,9,0.11,11%,8.0,0.89,8,1,8.0,0.89,4.0,0.45
Œil de Lynx,Hawk's Eye,1,9,0.11,11%,8.0,0.89,8,0,Gratuit,Gratuit,8.0,0.89
