,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,14,14,1.0,100%,16.64,16.64,233,2,8.32,8.32,5.55,5.55
Faux,Scythe,14,14,1.0,100%,15.57,15.57,218,3,5.19,5.19,3.89,3.89
Armure d'Obsidienne,Obsidian Battle Plate,10,14,0.71,71%,20.0,14.29,200,2,10.0,7.14,6.67,4.76
Gantelet Impérieux,Imperious Gauntlet,6,14,0.43,43%,30.0,12.86,180,1,30.0,12.86,15.0,6.43
Faux Parfaite,Perfect Scythe,11,14,0.79,79%,15.0,11.79,165,0,Gratuit,Gratuit,15.0,11.79
Lame Insatiable,Fast Furious Blade,8,14,0.57,57%,16.0,9.14,128,2,8.0,4.57,5.33,3.05
Hache Frénétique,Berseker Ax,9,14,0.64,64%,14.0,9.0,126,2,7.0,4.5,4.67,3.0
Lame Affutée,Sharp Blade,11,14,0.79,79%,10.91,8.57,120,3,3.64,2.86,2.73,2.14
Économe Sagesse du Trésorier,Treasurer's Wisdom,7,14,0.5,50%,17.0,8.5,119,2,8.5,4.25,5.67,2.83
Ascension Divine,Divine Ascent,4,14,0.29,29%,25.0,7.14,100,3,8.33,2.38,6.25,1.78
Aveuglement,Incapacitor,13,14,0.93,93%,6.69,6.21,87,3,2.23,2.07,1.67,1.55
Adrénaline Arcanique,Arcane Adrenaline,5,14,0.36,36%,16.0,5.71,80,1,16.0,5.71,8.0,2.85
Chasseresse d'Âmes,Huntress of Souls,4,14,0.29,29%,19.0,5.43,76,1,19.0,5.43,9.5,2.71
Faux Assoiffées,Thirsty Scythes,3,14,0.21,21%,25.0,5.36,75,3,8.33,1.79,6.25,1.34
Épée Obscure,Swords of Darkness,4,14,0.29,29%,17.0,4.86,68,1,17.0,4.86,8.5,2.43
Griffes Démoniaques,Demon Claws,4,14,0.29,29%,17.0,4.86,68,1,17.0,4.86,8.5,2.43
Esprit de l'Écuyer,Spirit of the Squire,8,14,0.57,57%,7.88,4.5,63,3,2.63,1.5,1.97,1.12
Marteau Collecteur,Collecting Hammer,6,14,0.43,43%,10.17,4.36,61,2,5.08,2.18,3.39,1.45
Triple Météore,Trimeteor,2,14,0.14,14%,30.0,4.29,60,0,Gratuit,Gratuit,30.0,4.29
Enchaînement Éclair,Unstoppable Lightning,3,14,0.21,21%,18.0,3.86,54,1,18.0,3.86,9.0,1.93
Elan de Fureur,Rampage Momentum,3,14,0.21,21%,15.0,3.21,45,2,7.5,1.6,5.0,1.07
Œil de Lynx,Hawk's Eye,5,14,0.36,36%,8.4,3.0,42,0,Gratuit,Gratuit,8.4,3.0
Assistance Divine,Sacred Help,2,14,0.14,14%,20.0,2.86,40,2,10.0,1.43,6.67,0.95
Aura Légendaire,Legend Aura,1,14,0.07,7%,40.0,2.86,40,3,13.33,0.95,10.0,0.71
Le Marionnettiste,The Puppeteer,2,14,0.14,14%,20.0,2.86,40,2,10.0,1.43,6.67,0.95
Mental d'Acier,Steel Aura,2,14,0.14,14%,18.0,2.57,36,2,9.0,1.28,6.0,0.86
Marteleur précis,Precise Hammer,2,14,0.14,14%,18.0,2.57,36,1,18.0,2.57,9.0,1.28
Parchemin Secret,Secret Scroll,2,14,0.14,14%,18.0,2.57,36,2,9.0,1.28,6.0,0.86
Être de Lumière,Being of Light,2,14,0.14,14%,18.0,2.57,36,1,18.0,2.57,9.0,1.28
Totem du Gardien,Guardian Totem,9,14,0.64,64%,3.89,2.5,35,3,1.3,0.83,0.97,0.62
