,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,12,12,1.0,100%,15.92,15.92,191,2,7.96,7.96,5.31,5.31
Faux,Scythe,12,12,1.0,100%,13.42,13.42,161,3,4.47,4.47,3.35,3.35
Faux Parfaite,Perfect Scythe,9,12,0.75,75%,15.0,11.25,135,0,Gratuit,Gratuit,15.0,11.25
Hache Frénétique,Berseker Ax,7,12,0.58,58%,14.0,8.17,98,2,7.0,4.08,4.67,2.72
Adrénaline Arcanique,Arcane Adrenaline,6,12,0.5,50%,16.0,8.0,96,1,16.0,8.0,8.0,4.0
Gantelet Impérieux,Imperious Gauntlet,3,12,0.25,25%,30.0,7.5,90,1,30.0,7.5,15.0,3.75
Lame Affutée,Sharp Blade,9,12,0.75,75%,9.67,7.25,87,3,3.22,2.42,2.42,1.81
Aveuglement,Incapacitor,11,12,0.92,92%,7.09,6.5,78,3,2.36,2.17,1.77,1.62
Marteau Collecteur,Collecting Hammer,7,12,0.58,58%,10.0,5.83,70,2,5.0,2.92,3.33,1.94
Esprit de l'Écuyer,Spirit of the Squire,9,12,0.75,75%,7.67,5.75,69,3,2.56,1.92,1.92,1.44
Économe Sagesse du Trésorier,Treasurer's Wisdom,4,12,0.33,33%,17.0,5.67,68,2,8.5,2.83,5.67,1.89
Assistance Divine,Sacred Help,3,12,0.25,25%,20.0,5.0,60,2,10.0,2.5,6.67,1.67
Totem du Gardien,Guardian Totem,9,12,0.75,75%,5.33,4.0,48,3,1.78,1.33,1.33,1.0
Bâton de Conquête,Conquering Staff,2,12,0.17,17%,24.0,4.0,48,2,12.0,2.0,8.0,1.33
Armure d'Obsidienne,Obsidian Battle Plate,2,12,0.17,17%,20.0,3.33,40,2,10.0,1.67,6.67,1.11
Marteleur précis,Precise Hammer,2,12,0.17,17%,18.0,3.0,36,1,18.0,3.0,9.0,1.5
Désintégrateur Magnétique,Magnetic Disintegrator,3,12,0.25,25%,11.0,2.75,33,0,Gratuit,Gratuit,11.0,2.75
Esprit Guerrier,Spirit of the Warrior,2,12,0.17,17%,16.0,2.67,32,1,16.0,2.67,8.0,1.33
Lame Insatiable,Fast Furious Blade,2,12,0.17,17%,16.0,2.67,32,2,8.0,1.33,5.33,0.89
Armure d'Immortel,Immortal Breastplate,2,12,0.17,17%,15.0,2.5,30,1,15.0,2.5,7.5,1.25
Œil de Lynx,Hawk's Eye,3,12,0.25,25%,9.33,2.33,28,0,Gratuit,Gratuit,9.33,2.33
Coup de Mort,Death Helper,2,12,0.17,17%,13.0,2.17,26,1,13.0,2.17,6.5,1.08
Ascension Divine,Divine Ascent,1,12,0.08,8%,25.0,2.08,25,3,8.33,0.69,6.25,0.52
Pillard Féroce,Savage Looter,1,12,0.08,8%,20.0,1.67,20,1,20.0,1.67,10.0,0.83
Épée Obscure,Swords of Darkness,1,12,0.08,8%,17.0,1.42,17,1,17.0,1.42,8.5,0.71
Danse Macabre,Dance of Death,2,12,0.17,17%,8.0,1.33,16,1,8.0,1.33,4.0,0.67
Elan de Fureur,Rampage Momentum,1,12,0.08,8%,15.0,1.25,15,2,7.5,0.62,5.0,0.42
Masse Colossale,Colossal Mace,1,12,0.08,8%,15.0,1.25,15,0,Gratuit,Gratuit,15.0,1.25
Explosion Arcanique,Arcane Explosive,1,12,0.08,8%,12.0,1.0,12,1,12.0,1.0,6.0,0.5
Sabre Versatile,Versatil Saber,1,12,0.08,8%,11.0,0.92,11,1,11.0,0.92,5.5,0.46
Tombeau Rocheux,Rock Tomb,1,12,0.08,8%,10.0,0.83,10,1,10.0,0.83,5.0,0.41
Épé Sainte,Holy Sword,1,12,0.08,8%,10.0,0.83,10,0,Gratuit,Gratuit,10.0,0.83
Griffes Sauvages,Wild Claw,4,12,0.33,33%,1.25,0.42,5,3,0.42,0.14,0.31,0.1
